n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.layer.best.quality.increase	xor._.hebbian.layer.best.quality.increase.min	xor._.hebbian.layer.best.quality.increase.max	xor._.hebbian.neuron.best.quality.increase	xor._.hebbian.neuron.best.quality.increase.min	xor._.hebbian.neuron.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
1.080e+04	3.855e-01	3.034e-01	4.479e-01	4.872e-01	4.260e-01	5.186e-01	8.729e-01	8.245e-01	9.316e-01	8.663e-01	7.932e-01	8.900e-01	5.639e-01	3.169e-01	6.896e-01
1.090e+04	3.972e-01	3.323e-01	4.213e-01	4.491e-01	3.786e-01	4.801e-01	8.800e-01	8.297e-01	9.218e-01	8.744e-01	8.274e-01	9.163e-01	5.451e-01	3.077e-01	7.249e-01
1.100e+04	3.714e-01	2.873e-01	4.122e-01	4.674e-01	4.055e-01	5.205e-01	8.715e-01	7.816e-01	9.094e-01	8.704e-01	8.472e-01	9.095e-01	5.642e-01	3.771e-01	7.248e-01
1.110e+04	3.622e-01	2.931e-01	4.453e-01	4.511e-01	3.375e-01	5.012e-01	8.657e-01	8.191e-01	8.908e-01	8.803e-01	8.436e-01	9.135e-01	5.647e-01	2.890e-01	7.317e-01
1.120e+04	3.765e-01	3.192e-01	4.100e-01	4.478e-01	3.840e-01	5.185e-01	8.690e-01	8.311e-01	9.072e-01	8.727e-01	8.279e-01	9.056e-01	5.310e-01	3.086e-01	7.249e-01
1.130e+04	3.684e-01	3.195e-01	4.442e-01	4.471e-01	3.652e-01	4.927e-01	8.746e-01	8.051e-01	8.928e-01	8.868e-01	8.257e-01	9.163e-01	5.881e-01	4.249e-01	6.935e-01
1.140e+04	3.658e-01	2.863e-01	4.276e-01	4.537e-01	3.976e-01	4.983e-01	8.586e-01	8.127e-01	8.958e-01	8.895e-01	8.520e-01	9.162e-01	5.441e-01	3.770e-01	7.248e-01
1.150e+04	3.492e-01	2.874e-01	3.952e-01	4.420e-01	3.837e-01	4.996e-01	8.670e-01	8.014e-01	9.209e-01	8.716e-01	8.542e-01	9.100e-01	5.440e-01	3.077e-01	7.250e-01
1.160e+04	3.654e-01	2.726e-01	3.996e-01	4.688e-01	4.042e-01	5.265e-01	8.477e-01	7.889e-01	9.065e-01	8.728e-01	8.313e-01	9.142e-01	6.036e-01	3.789e-01	6.668e-01
1.170e+04	3.859e-01	3.132e-01	4.253e-01	4.575e-01	3.801e-01	5.022e-01	8.798e-01	8.330e-01	9.124e-01	8.444e-01	8.198e-01	8.872e-01	6.254e-01	3.608e-01	7.250e-01
1.180e+04	3.532e-01	2.760e-01	4.128e-01	4.515e-01	3.629e-01	4.961e-01	8.443e-01	8.009e-01	8.759e-01	8.820e-01	8.540e-01	9.068e-01	5.408e-01	3.356e-01	6.737e-01
1.190e+04	3.653e-01	2.862e-01	4.018e-01	4.336e-01	3.566e-01	4.812e-01	8.829e-01	8.242e-01	9.087e-01	8.477e-01	8.107e-01	8.832e-01	5.245e-01	2.893e-01	7.202e-01
1.200e+04	3.717e-01	2.773e-01	4.215e-01	4.505e-01	3.804e-01	5.264e-01	8.700e-01	8.160e-01	8.972e-01	8.688e-01	7.994e-01	9.035e-01	5.504e-01	3.930e-01	7.249e-01
1.210e+04	3.730e-01	2.988e-01	4.118e-01	4.142e-01	3.780e-01	4.803e-01	8.799e-01	8.574e-01	9.134e-01	8.767e-01	8.262e-01	9.029e-01	4.904e-01	2.673e-01	6.467e-01
1.220e+04	3.596e-01	3.026e-01	4.284e-01	4.656e-01	3.874e-01	5.073e-01	8.505e-01	8.065e-01	8.817e-01	8.637e-01	8.140e-01	8.947e-01	5.642e-01	3.770e-01	7.249e-01
1.230e+04	3.702e-01	3.074e-01	4.388e-01	4.465e-01	3.990e-01	4.870e-01	8.536e-01	7.875e-01	8.920e-01	8.846e-01	8.221e-01	9.216e-01	5.643e-01	3.719e-01	7.224e-01
1.240e+04	3.854e-01	3.365e-01	4.184e-01	4.784e-01	3.985e-01	5.003e-01	8.738e-01	8.102e-01	9.007e-01	8.643e-01	8.327e-01	9.009e-01	6.101e-01	3.769e-01	7.187e-01
1.250e+04	3.803e-01	2.894e-01	4.350e-01	4.410e-01	3.712e-01	5.323e-01	8.619e-01	8.048e-01	8.931e-01	8.781e-01	8.228e-01	9.039e-01	5.550e-01	3.735e-01	6.966e-01
1.260e+04	3.944e-01	3.422e-01	4.278e-01	4.450e-01	4.017e-01	5.046e-01	8.649e-01	8.035e-01	9.107e-01	8.728e-01	8.188e-01	8.843e-01	5.430e-01	3.768e-01	6.465e-01
1.270e+04	3.643e-01	2.995e-01	4.201e-01	4.809e-01	4.027e-01	5.261e-01	8.772e-01	8.265e-01	9.046e-01	8.784e-01	8.342e-01	9.157e-01	5.517e-01	3.100e-01	7.250e-01
1.280e+04	3.577e-01	2.939e-01	3.982e-01	4.725e-01	3.904e-01	5.080e-01	8.448e-01	8.052e-01	8.781e-01	8.701e-01	8.214e-01	8.895e-01	4.753e-01	3.357e-01	6.811e-01
1.290e+04	3.642e-01	2.930e-01	4.135e-01	4.655e-01	4.000e-01	5.320e-01	8.941e-01	8.145e-01	9.235e-01	8.833e-01	8.362e-01	9.296e-01	5.847e-01	3.610e-01	7.076e-01
1.300e+04	3.361e-01	3.063e-01	4.406e-01	4.730e-01	4.130e-01	5.267e-01	8.785e-01	8.079e-01	9.077e-01	8.731e-01	8.264e-01	9.020e-01	5.337e-01	3.036e-01	6.849e-01
1.310e+04	3.504e-01	2.917e-01	3.866e-01	4.922e-01	4.015e-01	5.305e-01	8.724e-01	7.997e-01	9.115e-01	8.624e-01	8.009e-01	9.161e-01	5.643e-01	4.053e-01	7.090e-01
1.320e+04	4.040e-01	3.103e-01	4.297e-01	4.438e-01	3.701e-01	4.820e-01	8.621e-01	8.069e-01	8.924e-01	8.677e-01	8.210e-01	8.927e-01	5.943e-01	3.609e-01	7.249e-01
1.330e+04	3.901e-01	2.548e-01	4.224e-01	4.360e-01	3.546e-01	5.339e-01	8.443e-01	7.999e-01	8.777e-01	8.497e-01	7.887e-01	8.776e-01	5.134e-01	3.767e-01	6.752e-01
1.340e+04	3.808e-01	2.956e-01	4.328e-01	4.405e-01	3.976e-01	4.913e-01	8.742e-01	8.059e-01	9.000e-01	8.655e-01	8.167e-01	9.183e-01	5.278e-01	3.770e-01	7.012e-01
1.350e+04	3.758e-01	3.170e-01	4.483e-01	4.689e-01	4.043e-01	5.000e-01	8.618e-01	7.763e-01	8.880e-01	8.536e-01	7.986e-01	9.096e-01	5.250e-01	3.770e-01	6.753e-01
1.360e+04	3.880e-01	3.209e-01	4.322e-01	4.381e-01	3.720e-01	5.256e-01	8.462e-01	8.107e-01	8.949e-01	8.575e-01	8.321e-01	8.917e-01	5.526e-01	3.456e-01	7.290e-01
1.370e+04	3.748e-01	2.962e-01	4.030e-01	4.562e-01	3.932e-01	5.272e-01	8.825e-01	8.350e-01	9.126e-01	8.638e-01	8.193e-01	9.090e-01	5.500e-01	3.606e-01	6.764e-01
1.380e+04	4.088e-01	2.899e-01	4.495e-01	4.583e-01	3.897e-01	5.129e-01	8.736e-01	8.112e-01	9.037e-01	8.687e-01	8.201e-01	8.952e-01	5.166e-01	3.769e-01	7.249e-01
1.390e+04	3.550e-01	3.018e-01	4.238e-01	4.441e-01	3.736e-01	5.227e-01	8.522e-01	8.208e-01	8.893e-01	8.411e-01	8.260e-01	8.927e-01	5.441e-01	3.766e-01	7.249e-01
1.400e+04	3.842e-01	2.909e-01	4.263e-01	4.651e-01	3.555e-01	5.074e-01	8.621e-01	8.265e-01	8.982e-01	9.031e-01	8.472e-01	9.308e-01	5.504e-01	3.103e-01	6.752e-01
1.410e+04	3.799e-01	2.797e-01	4.598e-01	4.521e-01	3.964e-01	5.224e-01	8.723e-01	8.302e-01	8.912e-01	8.618e-01	7.987e-01	8.902e-01	5.552e-01	3.950e-01	7.736e-01
1.420e+04	3.859e-01	2.672e-01	4.263e-01	4.341e-01	3.242e-01	4.709e-01	8.527e-01	8.155e-01	8.972e-01	8.383e-01	7.821e-01	8.894e-01	5.549e-01	3.768e-01	7.021e-01
1.430e+04	3.637e-01	2.949e-01	4.264e-01	4.587e-01	3.361e-01	5.152e-01	8.510e-01	7.979e-01	9.159e-01	8.444e-01	8.171e-01	8.847e-01	5.440e-01	4.266e-01	7.300e-01
1.440e+04	3.930e-01	2.896e-01	4.421e-01	4.526e-01	3.807e-01	4.967e-01	8.729e-01	8.166e-01	9.081e-01	8.728e-01	8.244e-01	8.953e-01	5.550e-01	3.115e-01	7.294e-01
1.450e+04	3.329e-01	2.640e-01	4.193e-01	4.604e-01	3.981e-01	5.207e-01	8.722e-01	7.917e-01	9.125e-01	8.451e-01	8.061e-01	8.626e-01	5.646e-01	3.771e-01	7.346e-01
1.460e+04	3.834e-01	2.722e-01	4.310e-01	4.393e-01	3.381e-01	5.116e-01	8.590e-01	7.698e-01	9.038e-01	8.454e-01	8.219e-01	8.838e-01	5.039e-01	3.052e-01	6.735e-01
1.470e+04	3.713e-01	2.656e-01	4.294e-01	4.496e-01	4.022e-01	5.197e-01	8.803e-01	8.285e-01	9.160e-01	8.628e-01	8.159e-01	8.906e-01	5.250e-01	3.576e-01	7.811e-01
1.480e+04	3.421e-01	2.920e-01	3.878e-01	4.526e-01	3.851e-01	5.240e-01	8.401e-01	7.973e-01	8.950e-01	8.524e-01	8.162e-01	9.108e-01	5.641e-01	3.769e-01	7.234e-01
1.490e+04	3.792e-01	3.277e-01	4.397e-01	4.408e-01	3.718e-01	4.933e-01	8.832e-01	7.927e-01	9.258e-01	8.522e-01	8.109e-01	8.846e-01	5.641e-01	4.275e-01	7.628e-01
1.500e+04	3.674e-01	3.006e-01	4.179e-01	4.722e-01	3.641e-01	5.205e-01	8.660e-01	8.026e-01	9.001e-01	8.605e-01	8.193e-01	8.974e-01	5.377e-01	3.769e-01	7.372e-01
1.510e+04	3.861e-01	3.154e-01	4.233e-01	4.471e-01	3.525e-01	5.173e-01	8.668e-01	7.902e-01	9.021e-01	8.605e-01	7.884e-01	9.150e-01	5.644e-01	3.137e-01	7.087e-01
1.520e+04	3.481e-01	2.629e-01	4.108e-01	4.345e-01	3.566e-01	4.984e-01	8.602e-01	7.900e-01	9.028e-01	8.607e-01	8.189e-01	8.946e-01	5.050e-01	3.461e-01	7.183e-01
1.530e+04	3.630e-01	2.363e-01	4.302e-01	4.247e-01	3.217e-01	4.892e-01	8.486e-01	7.924e-01	8.979e-01	8.521e-01	8.075e-01	8.899e-01	5.549e-01	3.431e-01	7.728e-01
1.540e+04	3.790e-01	2.363e-01	4.142e-01	4.632e-01	3.808e-01	5.212e-01	8.538e-01	7.874e-01	8.904e-01	8.844e-01	8.071e-01	9.046e-01	5.242e-01	3.462e-01	7.508e-01
1.550e+04	3.830e-01	2.363e-01	4.285e-01	4.633e-01	4.058e-01	5.136e-01	8.660e-01	8.092e-01	9.037e-01	8.324e-01	8.162e-01	8.839e-01	5.643e-01	3.769e-01	7.411e-01
1.560e+04	3.466e-01	2.378e-01	4.046e-01	4.509e-01	3.497e-01	4.803e-01	8.741e-01	7.685e-01	8.964e-01	8.362e-01	7.905e-01	8.912e-01	5.260e-01	3.771e-01	7.006e-01
1.570e+04	3.510e-01	2.378e-01	3.959e-01	4.832e-01	3.705e-01	5.307e-01	8.835e-01	8.029e-01	9.014e-01	8.480e-01	8.290e-01	8.896e-01	5.641e-01	3.771e-01	7.550e-01
1.580e+04	3.608e-01	2.356e-01	4.368e-01	4.545e-01	3.908e-01	5.079e-01	8.453e-01	8.045e-01	8.924e-01	8.733e-01	8.101e-01	8.920e-01	5.235e-01	3.373e-01	7.750e-01
1.590e+04	3.696e-01	2.356e-01	4.490e-01	4.400e-01	3.670e-01	5.179e-01	8.427e-01	8.000e-01	8.762e-01	8.628e-01	8.007e-01	8.936e-01	5.440e-01	3.462e-01	8.153e-01
1.600e+04	3.593e-01	2.356e-01	4.249e-01	3.807e-01	3.159e-01	4.957e-01	8.544e-01	8.059e-01	8.854e-01	8.321e-01	8.100e-01	8.865e-01	5.250e-01	3.769e-01	7.579e-01
1.610e+04	3.838e-01	2.356e-01	4.311e-01	4.314e-01	3.267e-01	5.166e-01	8.765e-01	8.191e-01	9.168e-01	8.661e-01	8.289e-01	8.782e-01	5.640e-01	3.770e-01	8.151e-01
1.620e+04	3.430e-01	2.327e-01	4.190e-01	4.487e-01	3.345e-01	5.327e-01	8.825e-01	8.358e-01	9.078e-01	8.553e-01	8.021e-01	8.994e-01	5.503e-01	3.374e-01	7.218e-01
1.630e+04	3.699e-01	2.327e-01	4.271e-01	4.482e-01	3.269e-01	5.093e-01	8.637e-01	7.985e-01	8.871e-01	8.554e-01	7.847e-01	9.133e-01	5.161e-01	3.908e-01	7.136e-01
1.640e+04	3.460e-01	2.327e-01	4.217e-01	4.494e-01	3.601e-01	4.988e-01	8.513e-01	8.250e-01	8.840e-01	8.645e-01	7.894e-01	8.859e-01	5.763e-01	3.769e-01	6.917e-01
1.650e+04	3.179e-01	2.327e-01	3.699e-01	4.334e-01	3.400e-01	4.978e-01	8.648e-01	8.025e-01	8.984e-01	8.480e-01	8.058e-01	8.738e-01	5.189e-01	3.254e-01	6.531e-01
1.660e+04	3.653e-01	2.327e-01	4.378e-01	4.156e-01	3.431e-01	4.645e-01	8.422e-01	8.069e-01	8.991e-01	8.300e-01	7.877e-01	9.147e-01	5.649e-01	3.772e-01	7.949e-01
1.670e+04	3.787e-01	2.349e-01	4.209e-01	4.411e-01	3.565e-01	5.125e-01	8.654e-01	8.128e-01	8.915e-01	8.719e-01	8.220e-01	9.025e-01	5.212e-01	3.567e-01	7.064e-01
1.680e+04	3.523e-01	2.335e-01	4.072e-01	4.211e-01	3.537e-01	4.644e-01	8.367e-01	7.899e-01	8.891e-01	8.493e-01	8.083e-01	9.078e-01	5.764e-01	3.436e-01	7.967e-01
1.690e+04	3.653e-01	2.335e-01	4.109e-01	4.597e-01	3.318e-01	5.165e-01	8.663e-01	8.057e-01	8.969e-01	8.651e-01	8.413e-01	8.873e-01	4.950e-01	3.768e-01	6.752e-01
1.700e+04	3.588e-01	2.327e-01	3.950e-01	4.369e-01	3.666e-01	5.043e-01	8.719e-01	7.948e-01	8.921e-01	8.628e-01	8.317e-01	9.001e-01	5.643e-01	3.371e-01	6.543e-01
1.710e+04	3.484e-01	2.295e-01	3.864e-01	4.226e-01	3.310e-01	4.755e-01	8.287e-01	7.959e-01	8.966e-01	8.194e-01	7.832e-01	8.937e-01	5.550e-01	3.777e-01	7.727e-01
1.720e+04	3.584e-01	2.295e-01	3.973e-01	3.931e-01	3.162e-01	4.890e-01	8.390e-01	8.050e-01	9.143e-01	8.463e-01	8.017e-01	8.662e-01	5.549e-01	3.768e-01	7.424e-01
1.730e+04	3.369e-01	2.403e-01	4.290e-01	3.922e-01	3.376e-01	4.599e-01	8.602e-01	7.889e-01	8.865e-01	8.316e-01	8.007e-01	9.016e-01	5.642e-01	3.318e-01	7.167e-01
1.740e+04	3.562e-01	2.403e-01	3.842e-01	4.287e-01	3.706e-01	4.874e-01	8.369e-01	7.914e-01	8.870e-01	8.304e-01	8.036e-01	8.551e-01	5.549e-01	4.450e-01	6.811e-01
1.750e+04	3.313e-01	2.403e-01	3.763e-01	4.412e-01	3.249e-01	4.789e-01	8.358e-01	7.999e-01	8.614e-01	8.502e-01	8.004e-01	8.989e-01	5.217e-01	3.117e-01	6.753e-01
1.760e+04	3.416e-01	2.446e-01	4.317e-01	4.248e-01	3.313e-01	4.865e-01	8.287e-01	7.650e-01	8.864e-01	8.586e-01	8.002e-01	9.126e-01	4.750e-01	2.488e-01	6.451e-01
1.770e+04	3.510e-01	2.446e-01	4.229e-01	4.414e-01	3.367e-01	4.899e-01	8.296e-01	7.830e-01	8.929e-01	8.559e-01	8.127e-01	8.979e-01	5.235e-01	3.768e-01	7.845e-01
1.780e+04	3.485e-01	2.446e-01	4.192e-01	4.268e-01	3.298e-01	4.875e-01	8.417e-01	7.608e-01	8.856e-01	8.430e-01	8.015e-01	8.578e-01	5.132e-01	3.773e-01	7.883e-01
1.790e+04	3.530e-01	2.448e-01	4.205e-01	4.264e-01	3.192e-01	5.284e-01	8.631e-01	7.926e-01	8.964e-01	8.461e-01	8.061e-01	8.883e-01	4.851e-01	3.441e-01	7.285e-01
1.800e+04	3.460e-01	2.448e-01	3.999e-01	4.014e-01	3.189e-01	4.864e-01	8.541e-01	8.046e-01	8.789e-01	8.289e-01	8.052e-01	8.741e-01	5.293e-01	3.449e-01	8.156e-01
1.810e+04	3.596e-01	2.400e-01	3.855e-01	4.462e-01	3.333e-01	4.853e-01	8.687e-01	8.099e-01	8.949e-01	8.570e-01	8.266e-01	9.011e-01	5.202e-01	3.452e-01	7.601e-01
1.820e+04	3.574e-01	2.451e-01	3.987e-01	3.992e-01	3.443e-01	4.673e-01	8.553e-01	7.923e-01	8.937e-01	8.435e-01	8.010e-01	8.844e-01	5.351e-01	3.773e-01	7.759e-01
1.830e+04	3.369e-01	2.451e-01	3.960e-01	3.920e-01	3.473e-01	4.955e-01	8.223e-01	7.699e-01	8.558e-01	8.301e-01	7.994e-01	8.694e-01	5.643e-01	3.770e-01	6.756e-01
1.840e+04	3.425e-01	2.451e-01	4.041e-01	4.587e-01	3.224e-01	5.266e-01	8.514e-01	8.126e-01	8.793e-01	8.283e-01	7.909e-01	8.894e-01	5.642e-01	4.223e-01	7.534e-01
1.850e+04	3.268e-01	2.451e-01	4.091e-01	4.143e-01	3.286e-01	5.039e-01	8.311e-01	7.727e-01	8.935e-01	8.383e-01	8.033e-01	8.740e-01	5.044e-01	3.451e-01	7.760e-01
1.860e+04	3.596e-01	2.451e-01	4.036e-01	4.597e-01	3.182e-01	4.954e-01	8.350e-01	7.816e-01	8.741e-01	8.418e-01	8.117e-01	8.763e-01	5.249e-01	3.562e-01	7.764e-01
1.870e+04	3.627e-01	2.451e-01	3.905e-01	4.137e-01	3.367e-01	4.832e-01	8.618e-01	7.727e-01	8.948e-01	8.336e-01	8.041e-01	8.600e-01	5.532e-01	3.458e-01	6.783e-01
1.880e+04	3.479e-01	2.451e-01	4.178e-01	4.124e-01	3.179e-01	4.639e-01	8.404e-01	7.932e-01	8.987e-01	8.414e-01	7.880e-01	8.725e-01	5.641e-01	4.266e-01	7.649e-01
1.890e+04	3.398e-01	2.451e-01	3.765e-01	4.156e-01	3.179e-01	4.443e-01	8.409e-01	7.535e-01	8.872e-01	8.414e-01	7.971e-01	8.757e-01	5.649e-01	3.373e-01	7.021e-01
1.900e+04	3.391e-01	2.451e-01	3.947e-01	4.384e-01	3.270e-01	5.086e-01	8.310e-01	7.595e-01	8.654e-01	8.219e-01	7.791e-01	8.605e-01	5.251e-01	3.374e-01	7.750e-01
1.910e+04	3.629e-01	2.451e-01	4.451e-01	4.034e-01	2.973e-01	4.833e-01	8.388e-01	7.911e-01	8.713e-01	8.256e-01	7.876e-01	8.739e-01	5.155e-01	3.072e-01	7.382e-01
1.920e+04	3.557e-01	2.403e-01	4.252e-01	3.741e-01	3.095e-01	4.761e-01	8.578e-01	7.658e-01	8.746e-01	8.271e-01	8.107e-01	8.578e-01	5.645e-01	3.078e-01	7.210e-01
1.930e+04	3.407e-01	2.403e-01	4.187e-01	4.257e-01	3.417e-01	5.036e-01	8.407e-01	7.811e-01	8.981e-01	8.475e-01	8.037e-01	8.900e-01	5.534e-01	3.371e-01	7.641e-01
1.940e+04	3.459e-01	2.403e-01	4.192e-01	4.350e-01	3.548e-01	5.184e-01	8.137e-01	7.562e-01	8.756e-01	8.342e-01	7.886e-01	8.655e-01	5.405e-01	3.476e-01	7.249e-01
1.950e+04	3.675e-01	2.403e-01	4.638e-01	4.413e-01	3.550e-01	5.238e-01	8.408e-01	7.758e-01	8.584e-01	8.284e-01	7.932e-01	8.658e-01	5.219e-01	2.243e-01	7.250e-01
1.960e+04	3.712e-01	2.403e-01	4.085e-01	4.371e-01	3.100e-01	5.194e-01	8.337e-01	7.563e-01	8.750e-01	8.599e-01	7.957e-01	9.082e-01	5.641e-01	3.066e-01	7.250e-01
1.970e+04	3.316e-01	2.403e-01	4.017e-01	4.348e-01	3.385e-01	5.135e-01	8.332e-01	7.697e-01	9.216e-01	8.348e-01	7.794e-01	8.762e-01	5.239e-01	3.621e-01	7.126e-01
1.980e+04	3.562e-01	2.339e-01	4.150e-01	4.212e-01	3.420e-01	5.215e-01	8.391e-01	7.282e-01	8.639e-01	8.392e-01	7.913e-01	8.746e-01	4.752e-01	3.443e-01	7.578e-01
1.990e+04	3.732e-01	2.339e-01	4.072e-01	3.947e-01	3.124e-01	4.929e-01	8.488e-01	7.682e-01	8.883e-01	8.502e-01	8.150e-01	8.827e-01	5.549e-01	3.050e-01	7.750e-01
2.000e+04	3.694e-01	2.339e-01	4.244e-01	4.226e-01	3.185e-01	4.806e-01	8.294e-01	7.789e-01	8.795e-01	8.304e-01	7.975e-01	8.783e-01	5.110e-01	3.079e-01	7.560e-01
2.010e+04	3.506e-01	2.336e-01	4.160e-01	4.222e-01	3.107e-01	5.186e-01	8.585e-01	7.625e-01	8.835e-01	8.216e-01	7.615e-01	8.501e-01	5.260e-01	3.076e-01	7.720e-01
2.020e+04	3.381e-01	2.336e-01	3.993e-01	4.079e-01	3.109e-01	5.040e-01	8.391e-01	7.777e-01	8.696e-01	8.325e-01	7.783e-01	8.966e-01	5.245e-01	3.366e-01	6.782e-01
2.030e+04	3.502e-01	2.455e-01	3.789e-01	4.382e-01	3.378e-01	5.008e-01	8.503e-01	8.037e-01	8.945e-01	8.286e-01	7.709e-01	8.814e-01	5.261e-01	3.599e-01	6.750e-01
2.040e+04	3.419e-01	2.455e-01	4.048e-01	4.027e-01	3.273e-01	5.109e-01	8.357e-01	7.742e-01	8.771e-01	8.555e-01	7.822e-01	9.151e-01	5.644e-01	3.769e-01	6.649e-01
2.050e+04	3.340e-01	2.349e-01	3.861e-01	4.210e-01	3.185e-01	5.364e-01	8.289e-01	7.715e-01	8.861e-01	8.484e-01	8.166e-01	8.748e-01	5.643e-01	3.078e-01	7.750e-01
2.060e+04	3.471e-01	2.349e-01	3.999e-01	4.421e-01	3.149e-01	4.842e-01	8.250e-01	7.391e-01	8.668e-01	8.422e-01	8.106e-01	8.926e-01	5.233e-01	3.078e-01	6.774e-01
2.070e+04	3.743e-01	2.413e-01	3.992e-01	3.767e-01	3.086e-01	4.797e-01	8.421e-01	7.799e-01	8.809e-01	8.330e-01	8.020e-01	8.850e-01	5.240e-01	3.455e-01	7.727e-01
2.080e+04	3.506e-01	2.413e-01	3.978e-01	4.386e-01	3.053e-01	4.920e-01	8.409e-01	7.586e-01	8.752e-01	8.228e-01	7.763e-01	8.800e-01	5.245e-01	3.052e-01	7.723e-01
2.090e+04	3.630e-01	2.413e-01	4.392e-01	3.926e-01	3.148e-01	4.692e-01	8.280e-01	7.930e-01	8.600e-01	8.309e-01	7.591e-01	8.799e-01	5.549e-01	3.371e-01	7.388e-01
2.100e+04	3.371e-01	2.413e-01	4.127e-01	4.131e-01	3.283e-01	5.064e-01	8.037e-01	7.673e-01	8.677e-01	8.440e-01	7.947e-01	8.623e-01	5.217e-01	3.372e-01	6.814e-01
2.110e+04	3.561e-01	2.413e-01	4.309e-01	3.711e-01	3.063e-01	4.714e-01	8.280e-01	7.414e-01	8.924e-01	8.165e-01	7.823e-01	8.558e-01	5.607e-01	3.079e-01	7.542e-01
2.120e+04	3.282e-01	2.349e-01	4.116e-01	4.148e-01	3.157e-01	5.498e-01	8.212e-01	7.242e-01	8.839e-01	8.328e-01	7.520e-01	8.871e-01	4.846e-01	3.078e-01	6.739e-01
2.130e+04	3.357e-01	2.349e-01	4.359e-01	4.300e-01	3.293e-01	5.050e-01	8.079e-01	7.309e-01	8.639e-01	8.336e-01	7.831e-01	8.749e-01	4.801e-01	2.250e-01	6.715e-01
2.140e+04	3.438e-01	2.349e-01	4.072e-01	3.912e-01	2.997e-01	4.911e-01	8.697e-01	7.915e-01	8.984e-01	8.311e-01	8.144e-01	8.759e-01	4.806e-01	2.850e-01	7.232e-01
2.150e+04	3.404e-01	2.349e-01	4.130e-01	4.102e-01	3.151e-01	5.042e-01	8.264e-01	7.625e-01	8.682e-01	8.282e-01	7.627e-01	8.758e-01	4.750e-01	2.778e-01	6.694e-01
2.160e+04	3.245e-01	2.349e-01	3.950e-01	3.955e-01	2.859e-01	4.722e-01	8.206e-01	7.501e-01	8.605e-01	8.277e-01	8.017e-01	8.951e-01	4.751e-01	3.075e-01	6.996e-01
2.170e+04	3.382e-01	2.349e-01	4.196e-01	4.131e-01	3.567e-01	4.666e-01	8.123e-01	7.436e-01	8.595e-01	8.220e-01	7.660e-01	8.597e-01	4.850e-01	2.478e-01	7.726e-01
2.180e+04	3.521e-01	2.324e-01	4.112e-01	4.231e-01	3.127e-01	5.077e-01	7.914e-01	7.558e-01	8.440e-01	8.353e-01	7.820e-01	8.696e-01	4.501e-01	2.250e-01	6.724e-01
2.190e+04	3.573e-01	2.306e-01	4.264e-01	4.043e-01	3.148e-01	4.876e-01	8.070e-01	7.716e-01	8.435e-01	8.483e-01	7.986e-01	8.715e-01	4.927e-01	3.080e-01	7.231e-01
2.200e+04	3.441e-01	2.306e-01	4.021e-01	4.056e-01	3.198e-01	4.595e-01	8.129e-01	7.697e-01	8.612e-01	8.530e-01	8.073e-01	8.815e-01	5.188e-01	3.722e-01	6.752e-01
2.210e+04	3.474e-01	2.306e-01	4.065e-01	4.058e-01	3.327e-01	4.920e-01	8.138e-01	7.608e-01	8.529e-01	8.260e-01	7.681e-01	8.957e-01	4.750e-01	2.770e-01	7.050e-01
2.220e+04	3.637e-01	2.306e-01	4.248e-01	4.252e-01	3.095e-01	4.854e-01	8.201e-01	7.616e-01	8.534e-01	8.298e-01	7.864e-01	8.699e-01	4.639e-01	3.076e-01	6.748e-01
2.230e+04	3.385e-01	2.381e-01	3.786e-01	4.102e-01	3.199e-01	5.011e-01	8.238e-01	7.659e-01	8.628e-01	8.161e-01	7.887e-01	8.680e-01	4.703e-01	2.373e-01	7.236e-01
2.240e+04	3.318e-01	2.329e-01	3.890e-01	4.243e-01	3.446e-01	4.694e-01	8.571e-01	7.709e-01	8.911e-01	8.320e-01	7.891e-01	8.651e-01	4.751e-01	2.943e-01	6.732e-01
2.250e+04	3.288e-01	2.355e-01	3.895e-01	4.274e-01	3.438e-01	5.076e-01	8.532e-01	7.740e-01	8.984e-01	8.207e-01	7.754e-01	8.629e-01	4.815e-01	2.912e-01	7.062e-01
2.260e+04	3.522e-01	2.362e-01	4.037e-01	4.221e-01	3.343e-01	5.295e-01	8.298e-01	8.019e-01	8.729e-01	8.323e-01	7.888e-01	8.694e-01	5.635e-01	3.554e-01	7.542e-01
2.270e+04	3.211e-01	2.362e-01	4.119e-01	3.677e-01	3.172e-01	4.798e-01	8.100e-01	7.730e-01	8.779e-01	8.234e-01	7.819e-01	8.557e-01	4.853e-01	3.077e-01	7.603e-01
2.280e+04	3.624e-01	2.362e-01	4.141e-01	4.178e-01	3.556e-01	5.128e-01	8.311e-01	7.720e-01	8.733e-01	8.501e-01	8.002e-01	8.855e-01	4.850e-01	2.123e-01	7.234e-01
2.290e+04	3.713e-01	2.347e-01	4.167e-01	4.214e-01	3.688e-01	4.679e-01	8.381e-01	7.543e-01	8.729e-01	8.070e-01	7.776e-01	8.530e-01	5.088e-01	2.049e-01	7.023e-01
