n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.layer.best.quality.increase	xor._.hebbian.layer.best.quality.increase.min	xor._.hebbian.layer.best.quality.increase.max	xor._.hebbian.neuron.best.quality.increase	xor._.hebbian.neuron.best.quality.increase.min	xor._.hebbian.neuron.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
2.600e+03	4.493e-01	3.789e-01	4.717e-01	4.950e-01	4.622e-01	5.138e-01	9.454e-01	8.853e-01	9.648e-01	8.583e-01	6.949e-01	9.550e-01	5.244e-01	3.244e-01	7.248e-01
2.700e+03	4.183e-01	3.762e-01	4.765e-01	5.006e-01	4.544e-01	5.349e-01	9.295e-01	8.490e-01	9.569e-01	9.100e-01	7.588e-01	9.463e-01	5.679e-01	3.274e-01	6.402e-01
2.800e+03	4.422e-01	3.650e-01	4.784e-01	4.863e-01	4.362e-01	5.166e-01	9.335e-01	8.732e-01	9.556e-01	8.977e-01	7.959e-01	9.389e-01	5.387e-01	3.749e-01	6.751e-01
2.900e+03	4.148e-01	3.848e-01	4.627e-01	4.883e-01	4.738e-01	5.390e-01	8.995e-01	8.282e-01	9.556e-01	9.216e-01	8.228e-01	9.554e-01	5.563e-01	3.363e-01	6.754e-01
3.000e+03	4.405e-01	3.861e-01	4.719e-01	5.035e-01	4.575e-01	5.224e-01	9.314e-01	8.909e-01	9.517e-01	8.982e-01	7.958e-01	9.507e-01	5.936e-01	3.769e-01	7.221e-01
3.100e+03	4.250e-01	3.746e-01	4.712e-01	4.854e-01	4.533e-01	5.030e-01	9.325e-01	8.703e-01	9.527e-01	9.201e-01	7.971e-01	9.500e-01	5.646e-01	3.757e-01	6.825e-01
3.200e+03	4.081e-01	3.610e-01	4.419e-01	5.061e-01	4.560e-01	5.315e-01	9.267e-01	8.914e-01	9.472e-01	8.921e-01	8.200e-01	9.465e-01	5.950e-01	3.768e-01	7.183e-01
3.300e+03	4.038e-01	3.158e-01	4.692e-01	5.047e-01	4.663e-01	5.376e-01	9.074e-01	8.468e-01	9.394e-01	9.157e-01	7.592e-01	9.617e-01	5.729e-01	3.106e-01	6.751e-01
3.400e+03	4.185e-01	3.863e-01	4.705e-01	5.055e-01	4.539e-01	5.340e-01	9.373e-01	9.087e-01	9.540e-01	8.842e-01	7.768e-01	9.456e-01	5.672e-01	3.481e-01	7.311e-01
3.500e+03	4.180e-01	3.634e-01	4.576e-01	4.792e-01	4.407e-01	5.360e-01	9.206e-01	8.587e-01	9.549e-01	9.054e-01	8.469e-01	9.465e-01	5.420e-01	3.770e-01	6.507e-01
