n.evals.q.1.0.	xor._.hebbian.network.best.quality.inconsistency	xor._.hebbian.network.best.quality.inconsistency.min	xor._.hebbian.network.best.quality.inconsistency.max	xor._.hebbian.layer.best.quality.inconsistency	xor._.hebbian.layer.best.quality.inconsistency.min	xor._.hebbian.layer.best.quality.inconsistency.max	xor._.hebbian.neuron.best.quality.inconsistency	xor._.hebbian.neuron.best.quality.inconsistency.min	xor._.hebbian.neuron.best.quality.inconsistency.max	xor._.hebbian.synapse.best.quality.inconsistency	xor._.hebbian.synapse.best.quality.inconsistency.min	xor._.hebbian.synapse.best.quality.inconsistency.max	xor._.freeForm.best.quality.inconsistency	xor._.freeForm.best.quality.inconsistency.min	xor._.freeForm.best.quality.inconsistency.max
5.800e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	1.298e-03	1.164e-04	3.585e-02	1.345e-03	4.310e-05	6.826e-02	6.614e-01	7.571e-07	7.599e-01
5.900e+03	8.930e-01	8.929e-01	8.930e-01	8.660e-01	8.659e-01	8.660e-01	1.894e-03	2.708e-05	7.118e-03	2.414e-03	7.001e-05	3.665e-02	6.614e-01	1.046e-04	7.599e-01
6.000e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	1.829e-03	8.447e-06	4.453e-02	2.986e-03	5.401e-06	4.225e-02	6.614e-01	7.798e-04	7.599e-01
6.100e+03	8.930e-01	8.926e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	6.735e-03	2.284e-05	7.706e-02	2.629e-02	7.449e-04	1.421e-01	6.614e-01	1.460e-04	7.599e-01
6.200e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.658e-01	8.660e-01	3.113e-03	2.338e-04	5.619e-02	1.066e-02	7.455e-04	1.447e-01	6.614e-01	2.528e-04	7.599e-01
6.300e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	2.651e-03	1.604e-04	6.712e-02	6.576e-04	5.048e-06	7.220e-03	6.614e-01	5.819e-07	7.595e-01
6.400e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.652e-01	8.660e-01	2.623e-03	2.941e-05	2.740e-02	1.285e-03	4.698e-05	1.291e-01	6.614e-01	2.694e-07	7.595e-01
6.500e+03	8.930e-01	8.929e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	3.271e-03	2.495e-05	5.140e-02	4.624e-03	6.756e-05	4.058e-02	6.614e-01	1.927e-06	7.576e-01
6.600e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	3.664e-03	7.073e-06	5.535e-02	3.324e-03	7.558e-06	3.196e-02	6.614e-01	1.439e-05	7.576e-01
6.700e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	4.930e-04	3.642e-05	3.260e-02	8.348e-04	9.064e-06	3.459e-02	6.614e-01	7.796e-04	7.576e-01
6.800e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	2.467e-04	4.719e-06	1.018e-02	4.129e-04	4.535e-06	4.279e-02	6.614e-01	7.798e-04	7.576e-01
6.900e+03	8.930e-01	8.903e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	1.615e-03	1.497e-05	2.517e-02	1.748e-03	1.162e-05	7.204e-02	6.614e-01	1.046e-04	7.576e-01
7.000e+03	8.930e-01	8.921e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	3.483e-04	6.023e-06	8.450e-03	6.127e-03	1.136e-04	6.871e-02	6.614e-01	4.901e-06	7.576e-01
7.100e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	4.615e-04	1.704e-06	1.367e-02	8.912e-04	1.621e-05	6.665e-02	6.614e-01	2.673e-06	7.576e-01
7.200e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.653e-01	8.660e-01	1.078e-03	4.371e-05	4.488e-02	2.474e-04	5.445e-06	1.287e-02	6.614e-01	7.800e-04	7.576e-01
7.300e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.653e-01	8.660e-01	3.342e-04	5.907e-06	6.363e-03	4.051e-03	5.356e-05	1.776e-02	6.614e-01	5.673e-03	7.576e-01
7.400e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	2.132e-03	2.069e-05	3.257e-02	1.386e-04	3.394e-05	7.501e-03	6.614e-01	1.911e-06	7.576e-01
7.500e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	2.928e-03	4.158e-05	2.013e-02	1.786e-03	1.778e-05	2.139e-02	6.614e-01	5.673e-03	7.576e-01
7.600e+03	8.930e-01	8.903e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	8.622e-03	6.417e-06	5.921e-02	6.100e-04	3.403e-05	2.668e-02	6.614e-01	1.932e-06	7.576e-01
7.700e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.659e-01	8.660e-01	1.693e-04	1.469e-06	7.329e-03	8.474e-04	5.340e-06	8.052e-02	6.611e-01	1.927e-06	7.576e-01
7.800e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	5.147e-04	1.085e-05	3.526e-02	1.587e-03	1.950e-05	2.356e-02	6.603e-01	7.798e-04	7.576e-01
7.900e+03	8.930e-01	8.928e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	1.289e-04	7.633e-06	1.079e-02	4.961e-03	2.399e-05	5.568e-02	6.611e-01	1.057e-04	7.576e-01
8.000e+03	8.930e-01	7.675e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	1.092e-04	2.548e-06	5.551e-03	1.183e-03	6.636e-06	8.049e-02	6.614e-01	2.624e-07	7.576e-01
8.100e+03	8.930e-01	8.929e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	1.040e-03	4.502e-05	7.101e-03	2.759e-04	5.319e-07	7.730e-03	6.611e-01	1.927e-06	7.576e-01
8.200e+03	8.930e-01	8.929e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	3.257e-04	3.534e-06	2.635e-02	4.993e-05	1.310e-06	5.563e-03	6.610e-01	2.666e-07	7.576e-01
8.300e+03	8.930e-01	8.732e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	7.009e-04	2.101e-06	2.449e-02	3.734e-05	1.633e-06	7.722e-03	6.614e-01	1.057e-04	7.576e-01
8.400e+03	8.930e-01	8.928e-01	8.930e-01	8.660e-01	8.657e-01	8.660e-01	4.493e-04	9.126e-07	3.372e-03	1.009e-03	6.251e-06	1.678e-02	6.614e-01	1.051e-04	7.576e-01
8.500e+03	8.930e-01	8.929e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	8.462e-04	1.992e-06	2.213e-02	1.591e-03	3.411e-05	1.151e-02	6.614e-01	7.636e-08	7.576e-01
8.600e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	8.053e-04	2.223e-06	3.734e-02	1.793e-04	5.400e-06	9.205e-03	6.614e-01	1.439e-05	7.576e-01
8.700e+03	8.930e-01	8.499e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	7.538e-04	1.451e-06	1.731e-02	3.344e-04	1.477e-07	6.047e-03	6.614e-01	2.409e-07	7.576e-01
8.800e+03	8.930e-01	8.338e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	2.904e-04	2.348e-06	1.003e-02	2.296e-03	4.330e-06	1.929e-02	6.599e-01	2.666e-07	7.166e-01
8.900e+03	8.930e-01	8.754e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	1.153e-02	4.101e-05	6.277e-02	5.977e-04	3.820e-06	3.529e-02	6.599e-01	2.693e-07	7.166e-01
9.000e+03	8.930e-01	8.512e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	8.158e-04	1.878e-05	2.247e-02	2.549e-04	4.310e-06	2.372e-03	6.599e-01	2.502e-05	7.166e-01
9.100e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	6.376e-05	5.976e-07	5.565e-02	1.437e-04	8.528e-06	4.257e-03	6.599e-01	1.091e-06	7.166e-01
9.200e+03	8.930e-01	8.930e-01	8.930e-01	8.660e-01	8.660e-01	8.660e-01	1.188e-03	1.529e-05	1.032e-02	5.790e-04	2.505e-06	2.698e-02	6.599e-01	1.092e-06	7.166e-01
