n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
2.500e+03	5.533e-01	4.310e-01	8.536e-01	4.314e-01	2.356e-01	4.753e-01	2.411e-01	2.218e-01	3.363e-01	3.046e-01	2.714e-01	3.404e-01	3.649e-01	1.058e-04	7.141e-01
2.600e+03	5.533e-01	4.310e-01	8.536e-01	4.314e-01	2.356e-01	4.753e-01	2.411e-01	2.218e-01	3.363e-01	3.115e-01	2.714e-01	3.716e-01	1.952e-01	1.435e-05	7.141e-01
2.700e+03	5.533e-01	4.310e-01	8.536e-01	4.314e-01	2.356e-01	4.753e-01	2.411e-01	2.218e-01	3.363e-01	3.115e-01	2.714e-01	3.716e-01	3.121e-01	1.435e-05	7.141e-01
2.800e+03	5.533e-01	4.310e-01	8.536e-01	4.314e-01	2.356e-01	4.753e-01	2.411e-01	2.218e-01	3.363e-01	3.018e-01	2.714e-01	3.716e-01	2.488e-01	1.435e-05	7.141e-01
2.900e+03	5.533e-01	4.310e-01	8.536e-01	4.314e-01	2.356e-01	4.753e-01	2.411e-01	2.218e-01	3.363e-01	3.018e-01	2.714e-01	3.761e-01	2.488e-01	2.674e-06	7.141e-01
3.000e+03	5.533e-01	4.310e-01	8.536e-01	4.288e-01	2.462e-01	4.753e-01	2.411e-01	2.218e-01	3.363e-01	3.018e-01	2.695e-01	3.761e-01	1.952e-01	1.292e-06	7.141e-01
3.100e+03	5.533e-01	4.310e-01	8.536e-01	4.288e-01	2.462e-01	4.753e-01	2.411e-01	2.218e-01	3.363e-01	3.018e-01	2.695e-01	3.761e-01	1.257e-01	1.292e-06	7.141e-01
3.200e+03	5.533e-01	4.310e-01	8.536e-01	4.177e-01	2.462e-01	4.753e-01	2.411e-01	2.218e-01	3.363e-01	3.115e-01	2.714e-01	3.801e-01	1.257e-01	1.292e-06	5.286e-01
3.300e+03	5.533e-01	4.310e-01	8.536e-01	4.177e-01	2.462e-01	4.753e-01	2.411e-01	2.218e-01	3.363e-01	3.115e-01	2.714e-01	3.801e-01	1.257e-01	1.292e-06	5.286e-01
3.400e+03	5.533e-01	4.310e-01	8.536e-01	4.177e-01	2.462e-01	4.753e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.801e-01	1.257e-01	1.292e-06	5.286e-01
3.500e+03	5.533e-01	4.310e-01	8.536e-01	4.177e-01	2.462e-01	4.753e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.801e-01	1.257e-01	1.292e-06	5.286e-01
3.600e+03	5.533e-01	4.311e-01	8.536e-01	4.177e-01	2.582e-01	4.753e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.801e-01	1.257e-01	1.292e-06	5.286e-01
3.700e+03	5.533e-01	4.311e-01	8.536e-01	3.924e-01	2.356e-01	4.681e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.801e-01	1.257e-01	1.292e-06	5.286e-01
3.800e+03	5.533e-01	4.311e-01	8.536e-01	3.924e-01	2.356e-01	4.681e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.822e-01	1.257e-01	1.292e-06	5.286e-01
3.900e+03	5.533e-01	4.311e-01	8.536e-01	3.924e-01	2.356e-01	4.681e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.822e-01	1.257e-01	1.292e-06	5.286e-01
4.000e+03	5.533e-01	4.311e-01	8.536e-01	3.924e-01	2.356e-01	4.681e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.822e-01	1.257e-01	1.292e-06	5.286e-01
4.100e+03	5.533e-01	4.311e-01	8.536e-01	3.924e-01	2.356e-01	4.681e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.822e-01	1.923e-01	1.292e-06	5.286e-01
4.200e+03	5.533e-01	4.311e-01	8.536e-01	3.924e-01	2.356e-01	4.681e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.822e-01	1.257e-01	1.292e-06	3.649e-01
4.300e+03	5.533e-01	4.311e-01	8.536e-01	3.924e-01	2.356e-01	4.681e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.822e-01	1.257e-01	8.241e-07	2.511e-01
4.400e+03	5.533e-01	4.311e-01	8.536e-01	3.907e-01	2.309e-01	4.415e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.822e-01	1.257e-01	8.241e-07	2.511e-01
4.500e+03	5.533e-01	4.311e-01	8.536e-01	3.907e-01	2.309e-01	4.415e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.822e-01	1.257e-01	8.241e-07	2.511e-01
4.600e+03	5.533e-01	4.311e-01	8.536e-01	3.907e-01	2.309e-01	4.415e-01	2.376e-01	2.218e-01	3.076e-01	3.179e-01	2.714e-01	3.822e-01	1.257e-01	1.067e-07	2.511e-01
4.700e+03	5.533e-01	4.311e-01	8.536e-01	3.907e-01	2.309e-01	4.415e-01	2.376e-01	2.218e-01	3.076e-01	3.115e-01	2.598e-01	3.801e-01	1.257e-01	1.067e-07	2.511e-01
4.800e+03	5.533e-01	4.311e-01	8.536e-01	3.907e-01	2.309e-01	4.415e-01	2.376e-01	2.218e-01	3.076e-01	3.115e-01	2.598e-01	3.801e-01	1.257e-01	1.067e-07	2.511e-01
4.900e+03	5.533e-01	4.311e-01	8.536e-01	3.907e-01	2.309e-01	4.415e-01	2.376e-01	2.218e-01	3.076e-01	3.115e-01	2.598e-01	3.801e-01	1.858e-01	1.067e-07	2.511e-01
5.000e+03	5.533e-01	4.311e-01	8.536e-01	4.046e-01	2.309e-01	4.415e-01	2.376e-01	2.218e-01	3.076e-01	2.972e-01	2.577e-01	3.801e-01	1.858e-01	1.067e-07	2.511e-01
5.100e+03	5.291e-01	4.311e-01	8.536e-01	4.046e-01	2.309e-01	4.415e-01	2.376e-01	2.218e-01	3.076e-01	2.952e-01	2.348e-01	3.801e-01	1.858e-01	1.669e-07	2.511e-01
5.200e+03	5.291e-01	4.311e-01	8.536e-01	4.046e-01	2.309e-01	4.415e-01	2.376e-01	2.218e-01	3.076e-01	2.952e-01	2.313e-01	3.801e-01	1.952e-01	1.669e-07	2.511e-01
5.300e+03	5.291e-01	4.311e-01	8.536e-01	4.046e-01	2.309e-01	4.415e-01	2.376e-01	2.218e-01	3.076e-01	2.952e-01	2.313e-01	3.801e-01	1.952e-01	1.669e-07	2.511e-01
5.400e+03	4.600e-01	4.309e-01	7.928e-01	4.046e-01	2.309e-01	4.415e-01	2.376e-01	2.218e-01	3.076e-01	2.871e-01	2.313e-01	3.761e-01	1.952e-01	1.669e-07	2.511e-01
5.500e+03	4.600e-01	4.309e-01	7.928e-01	3.907e-01	2.085e-01	4.408e-01	2.376e-01	2.218e-01	3.076e-01	2.871e-01	2.313e-01	3.761e-01	1.952e-01	1.669e-07	2.511e-01
5.600e+03	4.600e-01	4.309e-01	7.928e-01	3.907e-01	2.085e-01	4.408e-01	2.376e-01	2.218e-01	3.076e-01	2.871e-01	2.313e-01	3.761e-01	1.952e-01	1.669e-07	2.511e-01
