n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.inconsistency	xor._.me.hebbian.network.best.quality.inconsistency.min	xor._.me.hebbian.network.best.quality.inconsistency.max	xor._.me.hebbian.layer.best.quality.inconsistency	xor._.me.hebbian.layer.best.quality.inconsistency.min	xor._.me.hebbian.layer.best.quality.inconsistency.max	xor._.me.hebbian.neuron.best.quality.inconsistency	xor._.me.hebbian.neuron.best.quality.inconsistency.min	xor._.me.hebbian.neuron.best.quality.inconsistency.max	xor._.me.hebbian.synapse.best.quality.inconsistency	xor._.me.hebbian.synapse.best.quality.inconsistency.min	xor._.me.hebbian.synapse.best.quality.inconsistency.max	xor._.me.freeForm.best.quality.inconsistency	xor._.me.freeForm.best.quality.inconsistency.min	xor._.me.freeForm.best.quality.inconsistency.max
2.500e+03	5.779e-01	4.312e-01	8.930e-01	4.315e-01	2.017e-01	5.219e-01	2.536e-01	2.130e-01	3.286e-01	3.120e-01	2.677e-01	3.776e-01	2.978e-01	4.812e-08	7.141e-01
2.600e+03	5.779e-01	4.312e-01	8.930e-01	4.315e-01	2.017e-01	5.219e-01	2.536e-01	2.130e-01	3.286e-01	3.120e-01	2.677e-01	3.776e-01	2.978e-01	4.812e-08	7.141e-01
2.700e+03	5.779e-01	4.312e-01	8.930e-01	4.288e-01	1.956e-01	5.007e-01	2.375e-01	2.000e-01	2.976e-01	3.120e-01	2.677e-01	3.776e-01	2.978e-01	4.812e-08	7.141e-01
2.800e+03	5.779e-01	4.312e-01	8.930e-01	4.288e-01	1.956e-01	5.007e-01	2.375e-01	2.000e-01	2.976e-01	3.120e-01	2.677e-01	3.776e-01	2.978e-01	4.812e-08	7.141e-01
2.900e+03	5.779e-01	4.312e-01	8.930e-01	4.182e-01	1.956e-01	4.837e-01	2.375e-01	2.000e-01	2.976e-01	3.120e-01	2.677e-01	3.776e-01	2.907e-01	4.812e-08	7.141e-01
3.000e+03	5.779e-01	4.312e-01	8.930e-01	4.182e-01	2.192e-01	4.837e-01	2.375e-01	2.000e-01	2.976e-01	3.120e-01	2.677e-01	3.776e-01	2.275e-01	4.812e-08	7.141e-01
3.100e+03	5.779e-01	4.312e-01	8.930e-01	3.992e-01	1.956e-01	4.775e-01	2.375e-01	2.000e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	2.907e-01	1.239e-07	7.141e-01
3.200e+03	5.779e-01	4.312e-01	8.930e-01	4.021e-01	2.017e-01	4.775e-01	2.375e-01	2.000e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	2.275e-01	4.812e-08	7.141e-01
3.300e+03	5.779e-01	4.312e-01	8.930e-01	4.051e-01	2.218e-01	4.775e-01	2.375e-01	2.000e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	2.275e-01	4.812e-08	7.141e-01
3.400e+03	5.779e-01	4.312e-01	8.930e-01	4.051e-01	2.218e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	2.275e-01	4.812e-08	7.141e-01
3.500e+03	5.779e-01	4.312e-01	8.930e-01	4.051e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	2.275e-01	4.812e-08	7.141e-01
3.600e+03	5.779e-01	4.312e-01	8.930e-01	4.051e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	2.468e-01	1.239e-07	6.614e-01
3.700e+03	5.779e-01	4.312e-01	8.930e-01	4.059e-01	2.606e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	2.275e-01	7.251e-08	6.614e-01
3.800e+03	5.779e-01	4.312e-01	8.930e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	1.952e-01	7.251e-08	6.614e-01
3.900e+03	5.779e-01	4.312e-01	8.930e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	1.952e-01	7.251e-08	6.614e-01
4.000e+03	5.779e-01	4.312e-01	8.930e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	1.952e-01	7.251e-08	6.608e-01
4.100e+03	5.779e-01	4.312e-01	8.930e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	3.865e-02	7.251e-08	6.592e-01
4.200e+03	5.779e-01	4.312e-01	8.930e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	3.865e-02	7.251e-08	6.250e-01
4.300e+03	5.763e-01	4.312e-01	8.921e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	3.865e-02	7.251e-08	6.250e-01
4.400e+03	5.763e-01	4.312e-01	8.921e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	3.865e-02	7.251e-08	6.250e-01
4.500e+03	5.763e-01	4.312e-01	8.921e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	3.865e-02	7.251e-08	6.250e-01
4.600e+03	5.763e-01	4.312e-01	8.921e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.186e-01	2.960e-01	3.673e-01	3.865e-02	7.251e-08	6.250e-01
4.700e+03	5.547e-01	4.311e-01	8.921e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.183e-01	2.833e-01	3.673e-01	3.865e-02	7.251e-08	6.250e-01
4.800e+03	5.547e-01	4.311e-01	8.921e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.183e-01	2.833e-01	3.673e-01	3.865e-02	7.251e-08	6.250e-01
4.900e+03	5.547e-01	4.311e-01	8.921e-01	4.059e-01	2.253e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.183e-01	2.833e-01	3.673e-01	3.865e-02	7.251e-08	6.250e-01
5.000e+03	5.547e-01	4.311e-01	8.921e-01	4.059e-01	2.606e-01	4.775e-01	2.368e-01	1.941e-01	2.976e-01	3.183e-01	2.833e-01	3.673e-01	4.663e-02	7.251e-08	6.250e-01
5.100e+03	5.547e-01	4.311e-01	8.921e-01	4.059e-01	2.606e-01	4.775e-01	2.250e-01	1.941e-01	2.976e-01	3.183e-01	2.833e-01	3.673e-01	4.663e-02	7.251e-08	6.250e-01
5.200e+03	5.547e-01	4.311e-01	8.921e-01	4.059e-01	2.606e-01	4.775e-01	2.250e-01	1.941e-01	2.976e-01	3.183e-01	2.833e-01	3.673e-01	1.912e-01	1.239e-07	6.250e-01
5.300e+03	5.547e-01	4.311e-01	8.921e-01	4.059e-01	2.739e-01	4.687e-01	2.250e-01	1.941e-01	2.976e-01	3.183e-01	2.833e-01	3.673e-01	1.912e-01	1.239e-07	6.250e-01
5.400e+03	5.293e-01	4.310e-01	8.526e-01	4.059e-01	2.739e-01	4.687e-01	2.250e-01	1.941e-01	2.976e-01	3.183e-01	2.833e-01	3.673e-01	1.912e-01	1.239e-07	6.250e-01
5.500e+03	5.293e-01	4.310e-01	8.526e-01	4.059e-01	2.739e-01	4.687e-01	2.250e-01	1.941e-01	2.976e-01	3.120e-01	2.533e-01	3.673e-01	1.897e-01	1.239e-07	6.250e-01
5.600e+03	5.293e-01	4.310e-01	8.526e-01	4.059e-01	2.739e-01	4.687e-01	2.250e-01	1.941e-01	2.976e-01	3.120e-01	2.533e-01	3.673e-01	1.897e-01	1.239e-07	6.250e-01
5.700e+03	5.293e-01	4.310e-01	8.526e-01	4.286e-01	2.821e-01	4.687e-01	2.250e-01	1.941e-01	2.976e-01	3.120e-01	2.533e-01	3.673e-01	1.897e-01	1.239e-07	6.250e-01
