n.evals.q.1.0.	nav.lives._.me.mlp.best.quality.inconsistency	nav.lives._.me.mlp.best.quality.inconsistency.min	nav.lives._.me.mlp.best.quality.inconsistency.max
8.300e+03	3.871e-05	1.426e-05	4.157e-05
8.400e+03	3.871e-05	1.426e-05	4.157e-05
8.500e+03	3.871e-05	1.426e-05	4.157e-05
8.600e+03	3.871e-05	1.426e-05	4.157e-05
8.700e+03	3.871e-05	1.426e-05	4.157e-05
8.800e+03	3.871e-05	1.426e-05	4.157e-05
8.900e+03	3.871e-05	1.426e-05	4.157e-05
9.000e+03	3.871e-05	1.426e-05	4.157e-05
9.100e+03	3.871e-05	1.426e-05	4.157e-05
9.200e+03	3.871e-05	1.426e-05	4.157e-05
9.300e+03	3.871e-05	1.426e-05	4.157e-05
9.400e+03	3.871e-05	1.426e-05	4.157e-05
9.500e+03	3.871e-05	1.426e-05	4.157e-05
9.600e+03	3.871e-05	1.426e-05	4.157e-05
9.700e+03	3.871e-05	1.426e-05	4.157e-05
9.800e+03	3.871e-05	1.426e-05	4.157e-05
9.900e+03	3.871e-05	1.426e-05	4.157e-05
1.000e+04	3.871e-05	1.426e-05	4.157e-05
1.010e+04	3.871e-05	1.426e-05	4.157e-05
1.020e+04	3.871e-05	1.426e-05	4.157e-05
1.030e+04	3.871e-05	1.426e-05	4.157e-05
1.040e+04	3.871e-05	1.426e-05	4.157e-05
1.050e+04	3.871e-05	1.426e-05	4.157e-05
1.060e+04	3.871e-05	1.426e-05	4.157e-05
1.070e+04	3.871e-05	1.826e-05	4.157e-05
1.080e+04	3.871e-05	1.826e-05	4.157e-05
1.090e+04	3.871e-05	1.826e-05	4.157e-05
1.100e+04	3.871e-05	1.826e-05	4.157e-05
1.110e+04	3.871e-05	1.826e-05	4.157e-05
1.120e+04	3.871e-05	1.826e-05	4.157e-05
1.130e+04	3.871e-05	1.826e-05	4.157e-05
1.140e+04	3.871e-05	1.826e-05	4.157e-05
1.150e+04	3.871e-05	1.826e-05	4.157e-05
1.160e+04	3.871e-05	1.826e-05	4.157e-05
1.170e+04	3.871e-05	1.826e-05	4.157e-05
1.180e+04	3.871e-05	1.826e-05	4.157e-05
1.190e+04	3.871e-05	1.826e-05	4.157e-05
1.200e+04	3.871e-05	1.826e-05	4.157e-05
1.210e+04	3.871e-05	1.826e-05	4.157e-05
1.220e+04	3.871e-05	1.826e-05	4.157e-05
1.230e+04	1.826e-05	0.000e+00	3.871e-05
1.240e+04	1.826e-05	0.000e+00	3.871e-05
1.250e+04	1.826e-05	0.000e+00	3.871e-05
1.260e+04	1.826e-05	0.000e+00	3.871e-05
1.270e+04	1.826e-05	0.000e+00	3.871e-05
1.280e+04	1.826e-05	0.000e+00	3.871e-05
1.290e+04	1.826e-05	0.000e+00	3.871e-05
1.300e+04	1.826e-05	0.000e+00	3.871e-05
1.310e+04	1.826e-05	0.000e+00	3.871e-05
1.320e+04	1.826e-05	0.000e+00	3.871e-05
1.330e+04	1.826e-05	0.000e+00	3.871e-05
1.340e+04	1.826e-05	0.000e+00	3.871e-05
1.350e+04	1.826e-05	0.000e+00	3.871e-05
1.360e+04	1.826e-05	0.000e+00	3.871e-05
1.370e+04	1.826e-05	0.000e+00	3.871e-05
1.380e+04	1.826e-05	0.000e+00	3.871e-05
1.390e+04	1.826e-05	0.000e+00	3.871e-05
1.400e+04	1.826e-05	0.000e+00	3.871e-05
1.410e+04	1.826e-05	0.000e+00	3.871e-05
1.420e+04	1.826e-05	0.000e+00	3.871e-05
1.430e+04	1.826e-05	0.000e+00	3.871e-05
1.440e+04	1.826e-05	0.000e+00	3.871e-05
1.450e+04	1.826e-05	0.000e+00	3.871e-05
1.460e+04	1.826e-05	0.000e+00	3.871e-05
1.470e+04	1.826e-05	0.000e+00	3.871e-05
1.480e+04	1.826e-05	0.000e+00	3.871e-05
1.490e+04	1.826e-05	0.000e+00	3.871e-05
1.500e+04	1.826e-05	0.000e+00	3.871e-05
1.510e+04	1.826e-05	0.000e+00	3.871e-05
1.520e+04	1.826e-05	0.000e+00	3.871e-05
1.530e+04	1.826e-05	0.000e+00	3.871e-05
1.540e+04	1.826e-05	0.000e+00	3.871e-05
1.550e+04	1.826e-05	0.000e+00	3.871e-05
1.560e+04	1.826e-05	0.000e+00	3.871e-05
1.570e+04	1.826e-05	0.000e+00	3.871e-05
1.580e+04	1.826e-05	0.000e+00	4.157e-05
1.590e+04	1.826e-05	0.000e+00	4.157e-05
1.600e+04	1.826e-05	0.000e+00	4.157e-05
1.610e+04	1.826e-05	0.000e+00	4.157e-05
1.620e+04	1.826e-05	0.000e+00	4.157e-05
1.630e+04	1.826e-05	0.000e+00	4.157e-05
1.640e+04	1.826e-05	0.000e+00	4.157e-05
1.650e+04	1.826e-05	0.000e+00	4.157e-05
1.660e+04	1.826e-05	0.000e+00	4.157e-05
1.670e+04	1.826e-05	0.000e+00	4.157e-05
1.680e+04	1.826e-05	0.000e+00	4.157e-05
1.690e+04	1.826e-05	0.000e+00	4.157e-05
1.700e+04	1.826e-05	0.000e+00	4.157e-05
1.710e+04	1.826e-05	0.000e+00	4.157e-05
1.720e+04	1.826e-05	0.000e+00	4.157e-05
1.730e+04	1.826e-05	0.000e+00	4.157e-05
1.740e+04	1.826e-05	0.000e+00	4.157e-05
1.750e+04	1.826e-05	0.000e+00	4.157e-05
1.760e+04	1.826e-05	0.000e+00	4.157e-05
1.770e+04	1.826e-05	0.000e+00	4.157e-05
1.780e+04	1.826e-05	0.000e+00	4.157e-05
1.790e+04	1.826e-05	0.000e+00	4.157e-05
1.800e+04	1.826e-05	0.000e+00	4.157e-05
1.810e+04	1.826e-05	0.000e+00	4.157e-05
1.820e+04	1.826e-05	0.000e+00	4.157e-05
1.830e+04	1.826e-05	0.000e+00	4.157e-05
1.840e+04	1.826e-05	0.000e+00	4.157e-05
1.850e+04	1.826e-05	0.000e+00	4.157e-05
1.860e+04	1.826e-05	0.000e+00	4.157e-05
1.870e+04	1.826e-05	0.000e+00	4.157e-05
1.880e+04	1.826e-05	0.000e+00	4.157e-05
1.890e+04	1.826e-05	0.000e+00	4.157e-05
1.900e+04	1.826e-05	0.000e+00	4.157e-05
1.910e+04	1.826e-05	0.000e+00	4.157e-05
1.920e+04	1.826e-05	0.000e+00	4.157e-05
1.930e+04	1.826e-05	0.000e+00	4.157e-05
1.940e+04	1.826e-05	0.000e+00	4.157e-05
1.950e+04	1.826e-05	0.000e+00	4.157e-05
1.960e+04	1.826e-05	0.000e+00	4.157e-05
1.970e+04	1.826e-05	0.000e+00	4.157e-05
1.980e+04	1.826e-05	0.000e+00	4.157e-05
1.990e+04	1.826e-05	0.000e+00	4.157e-05
2.000e+04	1.826e-05	0.000e+00	4.157e-05
2.010e+04	1.826e-05	0.000e+00	4.157e-05
2.020e+04	1.826e-05	0.000e+00	4.157e-05
2.030e+04	1.826e-05	0.000e+00	4.157e-05
2.040e+04	1.826e-05	0.000e+00	4.157e-05
2.050e+04	1.826e-05	0.000e+00	4.157e-05
2.060e+04	1.826e-05	0.000e+00	4.157e-05
2.070e+04	1.826e-05	0.000e+00	4.157e-05
2.080e+04	1.826e-05	0.000e+00	4.157e-05
2.090e+04	1.826e-05	0.000e+00	4.157e-05
2.100e+04	1.826e-05	0.000e+00	4.157e-05
2.110e+04	1.826e-05	6.345e-06	4.157e-05
2.120e+04	1.826e-05	6.345e-06	4.157e-05
2.130e+04	1.826e-05	6.345e-06	4.157e-05
2.140e+04	1.826e-05	6.345e-06	4.157e-05
2.150e+04	1.826e-05	6.345e-06	4.157e-05
2.160e+04	1.826e-05	6.345e-06	4.157e-05
2.170e+04	1.826e-05	6.345e-06	4.157e-05
2.180e+04	1.826e-05	6.345e-06	4.157e-05
2.190e+04	1.826e-05	6.345e-06	4.157e-05
2.200e+04	1.826e-05	6.345e-06	4.157e-05
2.210e+04	1.826e-05	6.345e-06	4.157e-05
2.220e+04	1.826e-05	6.345e-06	4.157e-05
2.230e+04	1.826e-05	6.345e-06	4.157e-05
2.240e+04	1.826e-05	6.345e-06	4.157e-05
2.250e+04	1.826e-05	6.345e-06	4.157e-05
2.260e+04	1.826e-05	6.345e-06	4.157e-05
2.270e+04	1.826e-05	6.345e-06	4.157e-05
2.280e+04	1.826e-05	6.345e-06	4.157e-05
2.290e+04	1.826e-05	6.345e-06	4.157e-05
2.300e+04	1.826e-05	6.345e-06	4.157e-05
2.310e+04	1.826e-05	6.345e-06	4.157e-05
2.320e+04	1.826e-05	6.345e-06	4.157e-05
2.330e+04	1.826e-05	6.345e-06	4.157e-05
2.340e+04	1.826e-05	6.345e-06	4.157e-05
2.350e+04	1.826e-05	6.345e-06	4.157e-05
2.360e+04	1.826e-05	6.345e-06	4.157e-05
2.370e+04	1.826e-05	6.345e-06	4.157e-05
2.380e+04	1.826e-05	6.345e-06	4.157e-05
2.390e+04	1.826e-05	6.345e-06	4.157e-05
2.400e+04	1.826e-05	6.345e-06	4.157e-05
2.410e+04	1.826e-05	6.345e-06	4.157e-05
2.420e+04	1.826e-05	6.345e-06	4.157e-05
2.430e+04	1.826e-05	6.345e-06	4.157e-05
2.440e+04	1.826e-05	6.345e-06	4.157e-05
2.450e+04	1.826e-05	6.345e-06	4.157e-05
2.460e+04	1.826e-05	6.345e-06	4.157e-05
2.470e+04	1.826e-05	6.345e-06	4.157e-05
2.480e+04	1.826e-05	6.345e-06	4.157e-05
2.490e+04	1.826e-05	6.345e-06	4.157e-05
2.500e+04	1.826e-05	6.345e-06	4.157e-05
2.510e+04	1.826e-05	6.345e-06	4.157e-05
2.520e+04	1.826e-05	6.345e-06	4.157e-05
2.530e+04	1.826e-05	6.345e-06	4.157e-05
2.540e+04	1.826e-05	6.345e-06	4.157e-05
2.550e+04	1.826e-05	6.345e-06	4.157e-05
2.560e+04	1.826e-05	6.345e-06	4.157e-05
2.570e+04	1.826e-05	6.345e-06	4.157e-05
2.580e+04	1.826e-05	6.345e-06	4.157e-05
2.590e+04	1.826e-05	6.345e-06	4.157e-05
2.600e+04	1.826e-05	6.345e-06	4.157e-05
2.610e+04	1.826e-05	6.345e-06	4.157e-05
2.620e+04	1.826e-05	6.345e-06	4.157e-05
2.630e+04	1.826e-05	6.345e-06	4.157e-05
2.640e+04	1.826e-05	6.345e-06	4.157e-05
2.650e+04	1.826e-05	6.345e-06	4.157e-05
2.660e+04	1.826e-05	6.345e-06	4.157e-05
2.670e+04	1.826e-05	6.345e-06	4.157e-05
2.680e+04	1.826e-05	6.345e-06	4.157e-05
2.690e+04	1.826e-05	6.345e-06	4.157e-05
2.700e+04	1.826e-05	6.345e-06	4.157e-05
2.710e+04	1.826e-05	6.345e-06	4.157e-05
2.720e+04	1.826e-05	6.345e-06	4.157e-05
2.730e+04	1.826e-05	6.345e-06	4.157e-05
2.740e+04	1.826e-05	6.345e-06	4.157e-05
2.750e+04	1.826e-05	6.345e-06	4.157e-05
2.760e+04	1.826e-05	6.345e-06	4.157e-05
2.770e+04	1.826e-05	6.345e-06	4.157e-05
2.780e+04	1.826e-05	6.345e-06	4.157e-05
2.790e+04	1.826e-05	6.345e-06	4.157e-05
2.800e+04	1.826e-05	6.345e-06	4.157e-05
2.810e+04	1.826e-05	6.345e-06	4.157e-05
2.820e+04	1.826e-05	6.345e-06	4.157e-05
2.830e+04	1.826e-05	6.345e-06	4.157e-05
2.840e+04	1.826e-05	6.345e-06	4.157e-05
2.850e+04	1.826e-05	6.345e-06	4.157e-05
2.860e+04	1.826e-05	6.345e-06	4.157e-05
2.870e+04	1.826e-05	6.345e-06	4.157e-05
2.880e+04	1.826e-05	6.345e-06	4.157e-05
2.890e+04	1.826e-05	6.345e-06	4.157e-05
2.900e+04	1.826e-05	6.345e-06	4.157e-05
2.910e+04	1.826e-05	6.345e-06	4.157e-05
2.920e+04	1.826e-05	6.345e-06	4.157e-05
2.930e+04	1.826e-05	6.345e-06	4.157e-05
2.940e+04	1.826e-05	6.345e-06	4.157e-05
2.950e+04	1.826e-05	6.345e-06	4.157e-05
2.960e+04	1.826e-05	6.345e-06	4.157e-05
2.970e+04	1.826e-05	6.345e-06	4.157e-05
2.980e+04	1.826e-05	6.345e-06	4.157e-05
2.990e+04	1.826e-05	6.345e-06	4.157e-05
3.000e+04	1.826e-05	6.345e-06	4.157e-05
3.010e+04	1.826e-05	6.345e-06	4.157e-05
3.020e+04	1.826e-05	6.345e-06	4.157e-05
3.030e+04	1.826e-05	6.345e-06	4.157e-05
3.040e+04	1.826e-05	6.345e-06	4.157e-05
3.050e+04	1.826e-05	6.345e-06	4.157e-05
3.060e+04	1.826e-05	6.345e-06	4.157e-05
3.070e+04	1.826e-05	6.345e-06	4.157e-05
3.080e+04	1.826e-05	6.345e-06	4.157e-05
3.090e+04	1.826e-05	6.345e-06	4.157e-05
3.100e+04	1.826e-05	6.345e-06	4.157e-05
3.110e+04	1.826e-05	6.345e-06	4.157e-05
3.120e+04	4.157e-05	1.826e-05	1.524e-04
3.130e+04	4.157e-05	1.826e-05	1.524e-04
3.140e+04	4.157e-05	1.826e-05	1.524e-04
3.150e+04	4.157e-05	1.826e-05	1.524e-04
3.160e+04	4.157e-05	1.826e-05	1.524e-04
3.170e+04	4.157e-05	1.826e-05	1.524e-04
3.180e+04	4.157e-05	1.826e-05	1.524e-04
3.190e+04	4.157e-05	1.826e-05	1.524e-04
3.200e+04	4.157e-05	1.826e-05	1.524e-04
3.210e+04	4.157e-05	1.826e-05	1.524e-04
3.220e+04	4.157e-05	1.826e-05	1.524e-04
3.230e+04	4.157e-05	1.826e-05	1.524e-04
3.240e+04	4.157e-05	1.826e-05	1.524e-04
3.250e+04	4.157e-05	1.826e-05	1.524e-04
3.260e+04	4.157e-05	1.826e-05	1.524e-04
3.270e+04	4.157e-05	1.826e-05	1.524e-04
3.280e+04	4.157e-05	1.826e-05	1.524e-04
3.290e+04	4.157e-05	1.826e-05	1.524e-04
3.300e+04	4.157e-05	1.826e-05	1.524e-04
3.310e+04	4.157e-05	1.826e-05	1.524e-04
3.320e+04	4.157e-05	1.826e-05	1.524e-04
3.330e+04	4.157e-05	1.826e-05	1.524e-04
3.340e+04	4.157e-05	1.826e-05	1.524e-04
3.350e+04	4.157e-05	1.826e-05	1.524e-04
3.360e+04	4.157e-05	1.826e-05	1.524e-04
