row;0;1;2;3;4;5;6;7;8
0.0;0.014225994631991232;-0.014425330802646071;0.012114224750798302;-0.007671768090796846;0.013691484518994292;-4.2259699334481343E-4;-0.01921651975451428;9.268524538216388E-4;0.007328132877913614
1.0;0.014225995631991232;-0.014425329802646072;0.012114225750798301;-0.007671769090796847;0.013691483518994293;-4.2259799334481345E-4;-0.01921651875451428;9.268534538216388E-4;0.007328133877913615
2.0;-1.1429968985175;-0.014425328802646072;0.0121142267507983;-1.1648946632402881;0.013691484518994292;-4.2259699334481343E-4;-1.1764394129040057;-1.1562960406956697;0.007328134877913615
3.0;-1.1429968975175;-1.1716482229521374;-1.145108667398693;-1.1648946642402882;1.1709143786684857;1.1568002971561464;-1.1764394119040056;-2.313518934845161;-1.1498947592715778
4.0;-1.1429968965175;-2.3288711171016288;-2.3023315615481845;-1.1648946652402883;2.328137272817977;2.3140231913056377;-1.1764394109040055;-3.4707418289946523;-2.307117653421069
5.0;-2.3002197906669912;-2.3288711161016287;-2.3023315605481844;-2.3221175593897794;2.328137273817977;2.314023192305638;-2.3336623050534966;-3.4707418279946523;-2.307117652421069
6.0;-3.4574426848164825;-2.3288711151016286;-2.3023315595481844;-3.4793404535392707;2.328137274817977;2.314023193305638;-3.490885199202988;-3.470741826994652;-2.307117651421069
7.0;-4.614665578965974;-2.3288711141016285;-2.3023315585481843;-4.636563347688762;2.3281372758179772;2.314023194305638;-4.648108093352479;-3.470741825994652;-2.307117650421069
8.0;-4.614665577965974;-3.48609400825112;-3.4595544526976756;-4.636563348688762;3.4853601699674686;3.4712460884551293;-4.648108092352479;-4.627964720144144;-3.46434054457056
9.0;-4.614665576965974;-4.643316902400612;-4.616777346847167;-4.636563349688762;4.64258306411696;4.628468982604621;-4.648108091352479;-5.785187614293635;-4.6215634387200515
10.0;-5.771888471115465;-4.6433169014006115;-4.616777345847167;-5.7937862438382535;4.64258306511696;4.628468983604621;-5.80533098550197;-5.785187613293635;-4.621563437720051
11.0;-6.929111365264957;-4.643316900400611;-4.616777344847167;-6.951009137987745;4.64258306611696;4.628468984604621;-6.962553879651462;-5.785187612293635;-4.621563436720051
12.0;-8.086334259414448;-4.643316899400611;-4.616777343847167;-8.108232032137236;4.64258306711696;4.628468985604621;-8.119776773800954;-5.785187611293635;-4.621563435720051
13.0;-9.24355715356394;-4.643316898400611;-4.616777342847167;-9.265454926286727;4.64258306811696;4.628468986604621;-9.276999667950445;-5.785187610293635;-4.621563434720051
14.0;-9.24355715256394;-5.8005397925501025;-5.774000236996658;-9.265454927286727;5.7998059622664515;5.785691880754112;-9.276999666950445;-6.942410504443126;-5.7787863288695425
15.0;-9.24355715156394;-6.957762686699594;-6.931223131146149;-9.265454926286727;4.64258306811696;4.628468986604621;-9.276999665950445;-8.099633398592617;-6.936009223019034
16.0;-10.0;-6.957762685699594;-6.931223130146149;-8.108232032137236;4.64258306711696;4.628468985604621;-10.0;-8.099633397592617;-6.936009222019034
17.0;-10.0;-6.957762684699594;-6.931223129146149;-9.265454926286727;4.64258306811696;4.628468986604621;-10.0;-8.099633396592617;-6.936009221019034
18.0;-10.0;-6.957762683699594;-6.931223128146149;-10.0;4.64258306911696;4.628468987604621;-10.0;-8.099633395592617;-6.9360092200190335
19.0;-9.999999999;-8.114985577849085;-8.08844602229564;-10.0;5.799805963266452;5.785691881754112;-9.999999999;-9.256856289742109;-8.093232114168526
20.0;-9.999999998;-9.272208471998576;-9.245668916445132;-10.0;6.957028857415943;6.942914775903604;-9.999999998;-10.0;-9.250455008318017
21.0;-9.999999997;-10.0;-10.0;-10.0;8.114251751565433;8.100137670053094;-9.999999997;-10.0;-10.0
22.0;-10.0;-9.999999999;-9.999999999;-8.842777105850509;8.114251750565433;8.100137669053094;-10.0;-9.999999999;-9.999999999
23.0;-10.0;-9.999999998;-9.999999998;-10.0;8.114251751565433;8.100137670053094;-10.0;-9.999999998;-9.999999998
24.0;-10.0;-9.999999997;-9.999999997;-10.0;8.114251752565433;8.100137671053094;-10.0;-9.999999997;-9.999999997
25.0;-10.0;-9.999999996;-9.999999996;-8.842777105850509;8.114251751565433;8.100137670053094;-10.0;-9.999999996;-9.999999996
26.0;-9.999999999;-10.0;-10.0;-8.842777106850509;9.271474645714925;9.257360564202585;-9.999999999;-10.0;-10.0
27.0;-10.0;-9.999999999;-9.999999999;-10.0;9.271474646714925;9.257360565202585;-10.0;-9.999999999;-9.999999999
28.0;-10.0;-9.999999998;-9.999999998;-10.0;9.271474647714925;9.257360566202586;-10.0;-9.999999998;-9.999999998
29.0;-10.0;-9.999999997;-9.999999997;-10.0;9.271474648714925;9.257360567202586;-10.0;-9.999999997;-9.999999997
30.0;-10.0;-9.999999996;-9.999999996;-10.0;9.271474649714925;9.257360568202586;-10.0;-9.999999996;-9.999999996
31.0;-9.999999999;-10.0;-10.0;-10.0;10.0;10.0;-9.999999999;-10.0;-10.0
32.0;-9.999999998;-10.0;-10.0;-10.0;10.0;10.0;-9.999999998;-10.0;-10.0
33.0;-10.0;-9.999999999;-9.999999999;-10.0;10.0;10.0;-10.0;-9.999999999;-9.999999999
34.0;-9.999999999;-10.0;-10.0;-10.0;10.0;10.0;-9.999999999;-10.0;-10.0
35.0;-9.999999998;-9.999999999;-9.999999999;-10.0;9.999999999;9.999999999;-9.999999998;-9.999999999;-9.999999999
36.0;-9.999999997;-10.0;-10.0;-10.0;10.0;10.0;-9.999999997;-10.0;-10.0
37.0;-10.0;-9.999999999;-9.999999999;-8.842777105850509;9.999999999;9.999999999;-10.0;-9.999999999;-9.999999999
38.0;-10.0;-9.999999998;-9.999999998;-10.0;10.0;10.0;-10.0;-9.999999998;-9.999999998
39.0;-10.0;-9.999999997;-9.999999997;-8.842777105850509;9.999999999;9.999999999;-10.0;-9.999999997;-9.999999997
40.0;-10.0;-9.999999996;-9.999999996;-10.0;10.0;10.0;-10.0;-9.999999996;-9.999999996
41.0;-9.999999999;-9.999999995;-9.999999995;-10.0;9.999999999;9.999999999;-9.999999999;-9.999999995;-9.999999995
42.0;-9.999999998;-10.0;-10.0;-10.0;10.0;10.0;-9.999999998;-10.0;-10.0
