problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→maturePerformance;best→quality→increase;best→quality→inconsistency
nav-lives;me-hebbian-network;6;[8];1;100;100;1.61400e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19687e-03;3.13013e-06;1.93909e-06
nav-lives;me-hebbian-network;2;[8];1;100;100;1.88200e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19628e-03;3.71956e-06;3.52835e-07
nav-lives;me-hebbian-network;4;[8];1;100;100;2.02000e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19819e-03;1.80853e-06;3.08446e-07
nav-lives;me-hebbian-network;3;[8];1;100;100;2.77400e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19651e-03;3.48566e-06;6.24193e-07
nav-lives;me-hebbian-network;8;[8];1;100;100;3.35000e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19691e-03;3.09228e-06;1.02450e-06
nav-lives;me-hebbian-network;7;[8];1;100;100;4.00400e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19669e-03;3.30626e-06;1.39884e-06
nav-lives;me-hebbian-network;1;[8];1;100;100;4.83500e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19767e-03;2.32978e-06;2.62409e-07
nav-lives;me-hebbian-network;5;[8];1;100;100;5.55800e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19809e-03;1.91132e-06;1.90920e-07
nav-lives;me-hebbian-network;6;[8];2;200;200;6.69600e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19041e-03;9.58819e-06;1.20747e-06
nav-lives;me-hebbian-network;2;[8];2;200;200;7.90100e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19432e-03;5.68306e-06;5.93149e-07
nav-lives;me-hebbian-network;4;[8];2;200;200;8.90000e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19696e-03;3.04497e-06;4.50517e-07
nav-lives;me-hebbian-network;3;[8];2;200;200;1.02070e+01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;-6.19630e-03;3.70087e-06;1.17109e-06
