problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→maturePerformance;best→quality→increase;best→quality→inconsistency
nav-lives;me-hebbian-neuron;1;[8];1;100;100;2.48800e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;-3.08991e-03;3.69071e-03;4.85161e-04
nav-lives;me-hebbian-neuron;2;[8];1;100;100;2.96900e+00;2;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.92421e-02;5.56618e-02;1.50252e-01
nav-lives;me-hebbian-neuron;1;[8];2;200;200;4.25900e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;-2.53984e-03;4.13998e-03;1.86180e-04
nav-lives;me-hebbian-neuron;2;[8];2;200;200;4.87100e+00;4;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;2.57754e-01;2.66131e-01;2.50892e-01
nav-lives;me-hebbian-neuron;1;[8];3;300;300;5.63700e+00;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;-2.01294e-03;4.53544e-03;5.89613e-04
nav-lives;me-hebbian-neuron;2;[8];3;300;300;7.69600e+00;7;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];4;400;400;8.49600e+00;3;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.04299e-01;1.13820e-01;2.07959e-01
nav-lives;me-hebbian-neuron;2;[8];4;400;400;9.20300e+00;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];5;500;500;9.92700e+00;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.56762e-01;4.63275e-01;1.38502e-01
nav-lives;me-hebbian-neuron;2;[8];5;500;500;1.05500e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];6;600;600;1.13060e+01;5;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.56762e-01;4.63275e-01;1.38502e-01
nav-lives;me-hebbian-neuron;2;[8];6;600;600;1.20100e+01;17;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];7;700;700;1.26980e+01;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.56762e-01;4.63275e-01;1.38502e-01
nav-lives;me-hebbian-neuron;2;[8];7;700;700;1.33820e+01;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];8;800;800;1.40960e+01;8;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.56762e-01;4.63275e-01;1.38502e-01
nav-lives;me-hebbian-neuron;2;[8];8;800;800;1.47950e+01;20;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];9;900;900;1.55230e+01;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.56762e-01;4.63275e-01;1.38502e-01
nav-lives;me-hebbian-neuron;2;[8];9;900;900;1.61570e+01;21;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];10;1000;1000;1.68710e+01;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.56762e-01;4.63275e-01;1.38502e-01
nav-lives;me-hebbian-neuron;2;[8];10;1000;1000;1.75340e+01;21;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];11;1100;1100;1.82650e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.16108e-01;6.22437e-01;4.11253e-01
nav-lives;me-hebbian-neuron;2;[8];11;1100;1100;1.89630e+01;22;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];12;1200;1200;1.96940e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.16108e-01;6.22437e-01;4.11253e-01
nav-lives;me-hebbian-neuron;2;[8];12;1200;1200;2.03930e+01;24;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];13;1300;1300;2.11320e+01;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.16108e-01;6.22437e-01;4.11253e-01
nav-lives;me-hebbian-neuron;2;[8];13;1300;1300;2.17470e+01;26;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];14;1400;1400;2.24210e+01;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.16108e-01;6.22437e-01;4.11253e-01
nav-lives;me-hebbian-neuron;2;[8];14;1400;1400;2.31790e+01;27;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];15;1500;1500;2.38540e+01;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.16108e-01;6.22437e-01;4.11253e-01
nav-lives;me-hebbian-neuron;2;[8];15;1500;1500;2.47600e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;9.99828e-01;1.00794e+00;5.83013e-04
nav-lives;me-hebbian-neuron;1;[8];16;1600;1600;2.52570e+01;20;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.16108e-01;6.22437e-01;4.11253e-01
