n.evals.q.1.0.	nav.lives._.me.hebbian.neuron.best.quality.inconsistency	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.min	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.max	nav.lives._.me.freeForm.best.quality.inconsistency	nav.lives._.me.freeForm.best.quality.inconsistency.min	nav.lives._.me.freeForm.best.quality.inconsistency.max
1.000e+02	1.503e-01	9.654e-04	2.254e-01	5.783e-06	0.000e+00	4.454e-04
2.000e+02	2.363e-01	6.451e-02	2.509e-01	4.552e-04	2.396e-04	5.940e-04
3.000e+02	1.911e-03	5.896e-04	6.451e-02	5.195e-04	1.895e-04	6.477e-04
4.000e+02	6.451e-02	5.830e-04	2.080e-01	6.477e-04	2.156e-04	9.889e-04
5.000e+02	6.451e-02	5.830e-04	1.385e-01	7.361e-04	6.645e-04	9.889e-04
6.000e+02	6.451e-02	5.830e-04	1.385e-01	2.514e-04	3.102e-10	7.361e-04
7.000e+02	7.267e-04	5.830e-04	1.385e-01	6.743e-04	3.485e-04	7.169e-04
8.000e+02	7.267e-04	5.830e-04	1.385e-01	7.169e-04	3.485e-04	9.256e-04
9.000e+02	7.267e-04	5.830e-04	1.385e-01	7.169e-04	3.485e-04	9.301e-04
1.000e+03	7.267e-04	5.830e-04	1.385e-01	7.169e-04	2.467e-04	9.431e-04
1.100e+03	7.267e-04	5.830e-04	4.113e-01	9.055e-04	7.169e-04	9.431e-04
1.200e+03	7.267e-04	5.830e-04	4.113e-01	9.055e-04	7.169e-04	9.431e-04
1.300e+03	7.267e-04	5.830e-04	3.996e-01	9.055e-04	7.169e-04	9.431e-04
1.400e+03	7.267e-04	5.830e-04	3.996e-01	9.055e-04	7.169e-04	9.431e-04
1.500e+03	7.267e-04	5.830e-04	3.996e-01	7.678e-04	7.169e-04	9.055e-04
1.600e+03	7.267e-04	5.830e-04	2.146e-01	7.678e-04	7.169e-04	9.055e-04
1.700e+03	5.830e-04	3.708e-04	2.146e-01	7.678e-04	7.169e-04	9.055e-04
1.800e+03	5.830e-04	3.708e-04	2.146e-01	7.678e-04	7.169e-04	9.055e-04
1.900e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
2.000e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
2.100e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
2.200e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
2.300e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
2.400e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
2.500e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
2.600e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
2.700e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
2.800e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
2.900e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
3.000e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
3.100e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
3.200e+03	5.183e-04	3.708e-04	5.830e-04	7.678e-04	7.169e-04	9.055e-04
