row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0.0;-0.012272635884058528;-0.012012864952731484;0.004307020392059383;-0.004500875352547293;0.010616628116473573;0.010733111358258569;0.015550641673338899;-0.010339256647142152;-0.0024274751854789986;-0.008811132630749152;0.013574110100677755;0.008029700727819607;0.009980406105186287;0.006386431442227919;0.006665114246068957
1.0;0.0025705582228618736;-0.037706610285712705;-0.02138672494092184;0.010216692242360775;-0.014678956486607029;-0.014562473244822034;0.009352004917908906;-0.017372646097248475;-0.009478545839860813;-0.015140540894359285;0.006361774395028453;7.986634108275792E-4;-0.0016512615813438249;-0.005846066063312007;-0.005582484086823991
2.0;0.017804319285420128;-0.06463821872291323;-0.04831833337812236;0.025319689701644242;-0.041196122694294623;-0.04107963945250963;0.0031123961582892844;-0.02440613719389943;-0.016530773933495946;-0.021499739326706763;-8.32460723032391E-4;-0.006415280018064813;-0.012776021492043403;-0.01785535667485396;-0.017611946108510797
3.0;0.033442121464018426;-0.09285039527503978;-0.07653050993024892;0.04082265269207456;-0.0689809398561127;-0.0688644566143277;-0.003178701579783714;-0.03144964930240246;-0.023594038256269212;-0.027898982108569434;-0.0080186197796768;-0.013622097025278848;-0.023433092002727814;-0.02966555612404439;-0.02944569446999491
4.0;0.04949359644132601;-0.12237366660195362;-0.10605378125716275;0.05673658740728518;-0.09806829100765885;-0.09795180776587385;-0.009532220536093237;-0.038513295462178104;-0.030678365565637085;-0.03434901678053061;-0.015207093513680117;-0.020832076439718426;-0.03366601162131172;-0.04130369301671304;-0.04110914407023
5.0;0.06331845431827568;-0.10854880872500394;-0.09222892338021307;0.07078968668401797;-0.08401519173092606;-0.08389870848914106;-0.01580553244378158;-0.0457969177853058;-0.03792880559002593;-0.04078247967622701;-0.02271999441686724;-0.028309524640560548;-0.043443655501879966;-0.05271768361297615;-0.05257278845561962
6.0;0.07738212030862829;-0.09448514273465133;-0.07816525738986047;0.08508821517405186;-0.06971666324089217;-0.06960017999910717;-0.022118009675860688;-0.05310131130649798;-0.045198482880877036;-0.04724849337038384;-0.030241919495761112;-0.035794493714946155;-0.052840557722941814;-0.06397552295765008;-0.06388436558645408
7.0;0.09280388262632593;-0.12201260244376476;-0.06274349507216283;0.10046020874556927;-0.09708638586101108;-0.05422818642758976;-0.028562813114428563;-0.06038127601624562;-0.05248621321907508;-0.05381040780939736;-0.03767792903819271;-0.04323863090653691;-0.06196895401968696;-0.07516472106594074;-0.0751178525277427
8.0;0.10927193664869074;-0.1528561796040922;-0.09358707223249027;0.11678621755630407;-0.12747976485667134;-0.08462156542325;-0.03514965636465421;-0.0676780138283589;-0.05980636813423389;-0.06048578283070129;-0.04508687773581557;-0.05067177780385321;-0.07089942293187362;-0.08632584724951088;-0.0863142984208524
9.0;0.12615793099176634;-0.18502437702556934;-0.1257552696539674;0.13353102618204304;-0.15920048819512392;-0.11634228876170258;-0.04183857591213218;-0.07503257964543317;-0.0671851045086635;-0.06725196717310326;-0.05253736820355568;-0.058147116394697995;-0.07964304792023023;-0.09745248990969292;-0.09747328085536872
