row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0.0;-6.849296665864871;0.06015030989838488;8.988312150805461;0.131068891773317;10.0;-3.3163652521763636;-8.630612893808708;-9.310561351565186;-6.977413408647074;7.901916497943541;-9.885571530708823;-6.341568941721486;-4.094580875208387;-4.091711326131236;0.07995189208233483
1.0;-6.872159825081743;0.02977526751914823;9.009206865593857;0.13204961515569272;10.0;-3.3225021494142686;-8.643666930694755;-9.299769454908212;-6.98335156871932;7.920126044494898;-9.916990084816582;-6.358695692151247;-4.102849364403085;-4.10716844147814;0.08303022300470018
2.0;-6.895022984298616;-5.997748600884492E-4;9.030101580382253;0.13303033850290613;10.0;-3.3286390466777833;-8.656720967675016;-9.28897755857431;-6.989289728453953;7.938335591046256;-9.948408638924342;-6.37582244316398;-4.111117853579992;-4.12262555696753;0.0861085539441904
3.0;-6.917886143515489;-0.03097481723932515;9.050996295170648;0.13401106181445313;10.0;-3.334775943967275;-8.669775004752928;-9.278185662575261;-6.99522788784346;7.9565451375976135;-9.9798271930321;-6.392949194768041;-4.119386342739828;-4.1380826726047575;0.08918688490011273
4.0;-6.940749302732361;-0.06134985961856189;9.071891009959044;0.13499178508982235;10.0;-3.3409128412831164;-8.682829041932052;-9.267393766923275;-7.001166046880127;7.974754684148971;-10.0;-6.410075946971909;-4.127654831883285;-4.153539788395361;0.09226521587180242
5.0;-6.949359261654691;-0.04614884929478817;9.098033536127215;0.13476718260381088;10.0;-3.3411030425764956;-8.70745255841109;-9.307754390899136;-7.040076377374684;8.001971998458153;-9.989285009296943;-6.378116644882835;-4.138180098980256;-4.164375575647232;0.08770455805032563
6.0;-6.957955044135832;-0.030923492727057765;9.124183294055019;0.13454258011905515;10.0;-3.3412932438897496;-8.732076074890127;-9.348126432832649;-7.0789867078194515;8.029189312683766;-9.978541106904009;-6.34615734347875;-4.148717091600615;-4.17509515662288;0.0831378687198425
7.0;-6.966514570747901;0.006910538495104937;9.150351547014612;0.13552330595398113;10.0;-3.360560480540121;-8.756699591364086;-9.388527675871726;-7.070104467412495;8.047399698952571;-10.0;-6.363283431866922;-4.159666171319968;-4.181730731654484;0.08363537764891557
8.0;-6.989377729964773;-0.023464503884132105;9.171246261803008;0.13650402908573042;10.0;-3.3666973779605662;-8.769753628029802;-9.377735778459222;-7.076042626220799;8.065609245503929;-10.0;-6.380410186451926;-4.16793466039976;-4.197187846650441;0.08671370868188882
9.0;-7.012240889181646;-0.05383954626336916;9.192140976591404;0.13748475217872416;10.0;-3.372834275409238;-8.7828076647817;-9.36694388134224;-7.081980784679613;8.083818792055286;-10.0;-6.397536941679475;-4.176203149466409;-4.212644961777088;0.08979203972751248
