row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
0.0;-10.0;-6.489036775112137;-6.493376201321134;-10.0;-6.485479772559134;-6.4920514602475325;-10.0;-6.494990504802533;-6.492554741683414;-10.0;-6.4900205857693605;-6.489911304680308;-10.0;-6.497393580145287;-6.500059885850249;-10.0;-6.501757259214505;-6.51295821467566;-10.0;-6.483342790415799;-6.495857735812472;-10.0;-6.481037555882674;-6.50055375270794;-10.0;-1.2356412208175203;-1.2668175695553456;-1.2452621918751574;-1.2656911712201917;-1.2314123908534504;-1.2125963397375397;-1.2553115743254872;-1.2659179697155114
1.0;-10.0;-6.461233123228127;-6.465572549437124;-10.0;-6.457677117296386;-6.464248804984785;-10.0;-6.467185815537974;-6.4647500524188555;-10.0;-6.462217439196062;-6.462108158107009;-10.0;-6.469586917865774;-6.472253223570736;-10.0;-6.473947251143446;-6.485148206604601;-10.0;-6.4555397932725604;-6.468054738669234;-10.0;-6.4532340710675635;-6.472750267892829;-10.0;-1.2693773939467166;-1.300553193099168;-1.2789989370663788;-1.2994270656965174;-1.2651502240609551;-1.2463360179770224;-1.2890473863988192;-1.299654050714802
2.0;-10.0;-6.433441417248084;-6.437780843457081;-10.0;-6.42988652404407;-6.436458211732469;-10.0;-6.439392951306114;-6.436957188186995;-10.0;-6.434426297397393;-6.4343170163083405;-10.0;-6.441791850685461;-6.444458156390423;-10.0;-6.4461484481180165;-6.457349403579171;-10.0;-6.427748818312379;-6.440263763709052;-10.0;-6.425442551621034;-6.444958748446299;-10.0;-1.3031069795242027;-1.3342821650645356;-1.3127291613601781;-1.3331563401569888;-1.2988816631675377;-1.2800695172100685;-1.322776568856445;-1.3333835334286483
3.0;-10.0;-6.405663047858187;-6.410002474067184;-10.0;-6.402109396807976;-6.408681084496375;-10.0;-6.41161328892287;-6.409177525803751;-10.0;-6.406648557813592;-6.40653927672454;-10.0;-6.4140097290234745;-6.416676034728437;-10.0;-6.418362155744368;-6.429563111205522;-10.0;-6.39997126497252;-6.4124862103691935;-10.0;-6.39766439046249;-6.417180587287755;-10.0;-1.3368292106580675;-1.3680037112144567;-1.346452105513381;-1.36687822398518;-1.3326059634864962;-1.3137961174620267;-1.3564983499806798;-1.3671056497336302
4.0;-10.0;-6.3778995650324894;-6.382238991241486;-10.0;-6.3743473003587185;-6.380918988047117;-10.0;-6.383848362953017;-6.381412599833899;-10.0;-6.378885777921811;-6.378776496832758;-10.0;-6.386242058116058;-6.38890836382102;-10.0;-6.390589829460197;-6.401790784921351;-10.0;-6.372208692948596;-6.384723638345269;-10.0;-6.369901140046908;-6.389417336872174;-10.0;-1.3705432326173292;-1.401716968658407;-1.3801669232924292;-1.4005918583125359;-1.3663222949574507;-1.347515016133855;-1.3902118696796022;-1.4008195435306647
5.0;-10.0;-6.411691898911012;-6.4160313251200085;-10.0;-6.408139634237241;-6.4147113219256395;-10.0;-6.41764069683154;-6.415204933712421;-10.0;-6.412678111800333;-6.4125688307112805;-10.0;-6.42003439199458;-6.422700697699542;-10.0;-6.424382163338719;-6.435583118799873;-10.0;-6.406001026827118;-6.418515972223791;-10.0;-6.40369347392543;-6.423209670750696;-10.0;-1.3469156877030892;-1.378089423744167;-1.3565393783781892;-1.3769643133982958;-1.3426947500432107;-1.323887471219615;-1.3665843247653622;-1.3771919986164247
6.0;-10.0;-6.445484232789534;-6.449823658998531;-10.0;-6.441931968115763;-6.448503655804162;-10.0;-6.451433030710062;-6.4489972675909435;-10.0;-6.446470445678855;-6.446361164589803;-10.0;-6.453826725873102;-6.456493031578065;-10.0;-6.458174497217241;-6.4693754526783955;-10.0;-6.43979336070564;-6.452308306102314;-10.0;-6.437485807803952;-6.457002004629218;-10.0;-1.324959504890519;-1.3561332409315967;-1.3345831955656189;-1.3550081305857256;-1.3207385672306404;-1.3019312884070446;-1.344628141952792;-1.3552358158038544
7.0;-10.0;-6.457346623279482;-6.483615992858375;-10.0;-6.453794358606073;-6.48229598966409;-10.0;-6.463295421198901;-6.482789601450533;-10.0;-6.458332836168077;-6.48015349844948;-10.0;-6.465689116362778;-6.490285365437846;-10.0;-6.4700368877082965;-6.503167786538494;-10.0;-6.451655751196906;-6.486100639962461;-10.0;-6.44934819829633;-6.490794338489621;-10.0;-1.30500668863484;-1.3361804246754951;-1.3146303793112344;-1.3350553143308945;-1.3007857509752794;-1.2819784721500727;-1.3246753256955741;-1.3352829995453388
8.0;-10.0;-6.429551749534612;-6.455821119113506;-10.0;-6.426000565031877;-6.454502196089894;-10.0;-6.435499423058896;-6.454993603310529;-10.0;-6.430538510101131;-6.452359172382534;-10.0;-6.4378909795772845;-6.4624872286523525;-10.0;-6.442235123852137;-6.475366022682334;-10.0;-6.423861587086582;-6.458306475852137;-10.0;-6.421553505629355;-6.462999645822646;-10.0;-1.3387380210717232;-1.3699111614538002;-1.348362331794212;-1.3687863447515676;-1.3345188828112629;-1.3157136041290034;-1.3584062668054993;-1.3690142321270753
9.0;-10.0;-6.401769843818805;-6.428039213397699;-10.0;-6.398219865179207;-6.426721496237223;-10.0;-6.407716262090192;-6.427210442341824;-10.0;-6.402757215795237;-6.42457787807664;-10.0;-6.41010543101226;-6.434701680087328;-10.0;-6.414445525842322;-6.44757642467252;-10.0;-6.396080473582929;-6.430525362348484;-10.0;-6.393771802063563;-6.4352179422568545;-10.0;-1.372462202307469;-1.403634677718039;-1.3820872052373785;-1.402510188826189;-1.368245072891016;-1.3494420272693126;-1.392130011176982;-1.402738301887483
