x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen
4	8	nan	nan	nan	nan	nan	nan	4.625e-01	1.060e-02	5.083e-01	2.386e-01
4	9	2.708e-01	2.500e-01	7.500e-01	5.428e-01	7.500e-01	5.428e-01	7.917e-01	5.374e-01	7.917e-01	5.374e-01
5	0	nan	nan	nan	nan	nan	nan	2.625e-01	1.416e-02	7.500e-01	9.808e-03
5	1	nan	nan	nan	nan	2.125e-01	3.456e-02	3.500e-01	7.944e-03	5.708e-01	1.481e-02
5	2	nan	nan	nan	nan	2.625e-01	5.390e-02	3.500e-01	5.188e-02	3.500e-01	5.188e-02
5	3	nan	nan	nan	nan	2.375e-01	7.515e-02	3.417e-01	7.405e-02	5.000e-01	7.251e-03
5	4	nan	nan	nan	nan	nan	nan	3.042e-01	5.786e-02	5.000e-01	1.198e-01
5	5	nan	nan	nan	nan	nan	nan	3.542e-01	7.729e-02	4.542e-01	8.459e-03
5	6	nan	nan	nan	nan	nan	nan	3.458e-01	7.752e-02	4.542e-01	5.010e-02
5	7	nan	nan	nan	nan	nan	nan	3.292e-01	1.308e-01	4.625e-01	3.530e-02
5	8	nan	nan	nan	nan	nan	nan	3.625e-01	1.659e-01	5.083e-01	3.750e-02
5	9	nan	nan	7.500e-01	5.504e-01	7.500e-01	5.504e-01	7.917e-01	5.367e-01	7.917e-01	5.367e-01
6	0	nan	nan	nan	nan	nan	nan	nan	nan	8.750e-02	-3.677e-08
6	1	nan	nan	nan	nan	nan	nan	3.000e-01	2.434e-02	3.000e-01	2.434e-02
6	2	nan	nan	nan	nan	nan	nan	2.792e-01	5.356e-02	3.333e-01	5.478e-02
6	3	nan	nan	nan	nan	nan	nan	2.792e-01	2.888e-02	3.500e-01	2.919e-02
6	4	nan	nan	nan	nan	nan	nan	2.083e-01	7.642e-02	3.792e-01	2.944e-02
6	5	nan	nan	nan	nan	nan	nan	3.208e-01	1.089e-01	3.292e-01	7.386e-02
6	6	nan	nan	nan	nan	nan	nan	2.792e-01	1.322e-01	3.417e-01	1.280e-01
6	7	nan	nan	nan	nan	nan	nan	1.667e-01	1.435e-01	3.042e-01	1.476e-01
6	8	nan	nan	nan	nan	nan	nan	nan	nan	4.542e-01	1.739e-02
6	9	nan	nan	7.083e-01	5.458e-01	7.500e-01	5.503e-01	7.917e-01	5.378e-01	7.917e-01	5.378e-01
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
