n.evals.q.1.0.	nav.lives._.me.hebbian.neuron.best.quality.inconsistency	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.min	nav.lives._.me.hebbian.neuron.best.quality.inconsistency.max	nav.lives._.me.freeForm.best.quality.inconsistency	nav.lives._.me.freeForm.best.quality.inconsistency.min	nav.lives._.me.freeForm.best.quality.inconsistency.max
1.800e+03	4.610e-01	3.978e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
1.900e+03	4.610e-01	3.978e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
2.000e+03	4.610e-01	3.986e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
2.100e+03	4.610e-01	3.986e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
2.200e+03	4.610e-01	3.986e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
2.300e+03	4.610e-01	3.986e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
2.400e+03	4.610e-01	3.986e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
2.500e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
2.600e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
2.700e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
2.800e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
2.900e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.614e-01
3.000e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
3.100e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
3.200e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
3.300e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
3.400e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
3.500e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
3.600e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
3.700e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
3.800e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
3.900e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
4.000e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
4.100e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
4.200e+03	4.610e-01	4.119e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
4.300e+03	4.613e-01	4.610e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
4.400e+03	4.613e-01	4.610e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
4.500e+03	4.613e-01	4.610e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
4.600e+03	4.613e-01	4.610e-01	4.659e-01	4.254e-01	8.712e-04	4.634e-01
4.700e+03	4.659e-01	4.613e-01	4.706e-01	4.254e-01	8.712e-04	4.634e-01
4.800e+03	4.659e-01	4.613e-01	4.706e-01	4.254e-01	8.712e-04	4.634e-01
4.900e+03	4.659e-01	4.613e-01	4.996e-01	4.254e-01	8.712e-04	4.634e-01
5.000e+03	4.659e-01	4.613e-01	4.996e-01	4.254e-01	8.712e-04	4.634e-01
5.100e+03	4.659e-01	4.613e-01	4.996e-01	4.254e-01	8.712e-04	4.634e-01
5.200e+03	4.659e-01	4.613e-01	4.996e-01	4.254e-01	8.712e-04	4.634e-01
5.300e+03	4.659e-01	4.613e-01	4.996e-01	4.254e-01	8.712e-04	4.634e-01
5.400e+03	4.659e-01	4.613e-01	4.996e-01	4.634e-01	8.712e-04	4.712e-01
