problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→maturePerformance;best→quality→increase;best→quality→inconsistency
nav-lives;me-hebbian-neuron;2;[8];17;1700;1700;2.56670e+01;28;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];17;1700;1700;2.64620e+01;22;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];18;1800;1800;2.71240e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];18;1800;1800;2.78610e+01;22;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];19;1900;1900;2.85120e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];19;1900;1900;2.93050e+01;22;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];20;2000;2000;2.99230e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];20;2000;2000;3.06670e+01;23;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];21;2100;2100;3.13900e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];21;2100;2100;3.21160e+01;23;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];22;2200;2200;3.28120e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
nav-lives;me-hebbian-neuron;1;[8];22;2200;2200;3.35680e+01;23;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.40730e-01;3.51012e-01;4.61003e-01
nav-lives;me-hebbian-neuron;2;[8];23;2300;2300;3.42850e+01;29;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.25005e-01;3.30114e-01;4.65933e-01
