x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen
0	0	-4.167e-01	-2.558e-03	4.340e-01	1.324e-02	4.590e-01	1.204e-02	4.688e-01	2.011e-02	4.757e-01	9.028e-03
0	1	-4.167e-01	-3.099e-02	4.375e-01	6.323e-02	4.479e-01	4.713e-02	4.757e-01	3.945e-02	4.760e-01	4.528e-02
0	2	nan	nan	4.479e-01	6.486e-02	4.549e-01	7.052e-02	4.757e-01	6.092e-02	4.757e-01	6.092e-02
0	3	nan	nan	4.514e-01	8.903e-02	4.674e-01	7.495e-02	4.757e-01	7.886e-02	4.760e-01	9.108e-02
0	4	nan	nan	4.444e-01	1.058e-01	4.722e-01	1.162e-01	4.757e-01	1.112e-01	4.757e-01	1.112e-01
0	5	2.361e-01	5.282e-02	4.444e-01	1.203e-01	4.722e-01	1.715e-01	4.750e-01	1.326e-01	4.771e-01	1.225e-01
0	6	3.819e-01	6.924e-03	4.444e-01	1.385e-01	4.750e-01	1.814e-01	4.750e-01	1.814e-01	4.757e-01	1.449e-01
0	7	nan	nan	4.444e-01	1.848e-01	4.688e-01	2.005e-01	4.757e-01	2.039e-01	4.760e-01	1.889e-01
0	8	nan	nan	4.514e-01	1.990e-01	4.653e-01	2.611e-01	4.757e-01	2.265e-01	4.757e-01	2.265e-01
0	9	4.340e-01	4.219e-01	4.514e-01	2.334e-01	4.722e-01	3.218e-01	4.757e-01	2.559e-01	4.757e-01	2.559e-01
1	0	nan	nan	4.167e-01	1.196e-02	4.167e-01	1.196e-02	4.375e-01	3.160e-02	4.375e-01	3.160e-02
1	1	nan	nan	4.281e-01	4.978e-02	4.281e-01	4.978e-02	4.410e-01	3.744e-02	4.410e-01	3.744e-02
1	2	nan	nan	4.167e-01	4.194e-02	4.306e-01	6.397e-02	4.410e-01	7.483e-02	4.722e-01	5.331e-02
1	3	nan	nan	4.375e-01	8.958e-02	4.375e-01	8.958e-02	4.597e-01	1.018e-01	4.722e-01	9.694e-02
1	4	nan	nan	4.278e-01	9.997e-02	4.722e-01	1.269e-01	4.750e-01	1.150e-01	4.757e-01	1.255e-01
1	5	nan	nan	4.361e-01	1.444e-01	4.715e-01	1.635e-01	4.729e-01	1.575e-01	4.757e-01	1.396e-01
1	6	nan	nan	4.340e-01	4.012e-02	4.722e-01	1.933e-01	4.757e-01	1.782e-01	4.757e-01	1.782e-01
1	7	nan	nan	4.340e-01	7.091e-02	4.722e-01	2.261e-01	4.722e-01	2.261e-01	4.757e-01	2.218e-01
1	8	nan	nan	4.340e-01	1.447e-01	4.694e-01	2.514e-01	4.757e-01	2.059e-01	4.760e-01	2.192e-01
1	9	4.340e-01	1.424e-01	4.514e-01	4.219e-01	4.757e-01	3.051e-01	4.757e-01	3.051e-01	4.757e-01	3.051e-01
2	0	nan	nan	4.167e-01	1.687e-02	4.167e-01	1.687e-02	4.229e-01	1.146e-02	4.299e-01	1.861e-02
2	1	nan	nan	4.181e-01	2.925e-02	4.410e-01	6.131e-02	4.410e-01	6.131e-02	4.410e-01	6.131e-02
2	2	nan	nan	4.243e-01	7.692e-02	4.410e-01	8.444e-02	4.410e-01	8.444e-02	4.410e-01	8.444e-02
2	3	nan	nan	4.271e-01	8.568e-02	4.410e-01	9.400e-02	4.493e-01	7.674e-02	4.618e-01	9.119e-02
2	4	nan	nan	4.236e-01	1.130e-01	4.653e-01	1.583e-01	4.674e-01	1.712e-01	4.736e-01	1.157e-01
2	5	nan	nan	4.347e-01	1.410e-01	4.722e-01	1.900e-01	4.722e-01	1.900e-01	4.722e-01	1.900e-01
2	6	nan	nan	4.462e-01	1.820e-01	4.722e-01	2.183e-01	4.722e-01	2.183e-01	4.736e-01	2.211e-01
2	7	nan	nan	4.410e-01	1.092e-01	4.688e-01	2.135e-01	4.722e-01	2.341e-01	4.743e-01	2.423e-01
2	8	nan	nan	4.340e-01	1.107e-01	4.715e-01	2.392e-01	4.722e-01	2.866e-01	4.757e-01	2.601e-01
2	9	4.375e-01	4.219e-01	4.410e-01	4.211e-01	4.757e-01	4.635e-01	4.757e-01	4.635e-01	4.757e-01	4.635e-01
3	0	nan	nan	nan	nan	4.167e-01	1.626e-02	4.167e-01	1.626e-02	4.167e-01	1.626e-02
3	1	nan	nan	4.167e-01	4.410e-02	4.326e-01	5.809e-02	4.326e-01	5.809e-02	4.347e-01	6.244e-02
3	2	nan	nan	4.222e-01	6.752e-02	4.375e-01	9.391e-02	4.389e-01	7.619e-02	4.410e-01	9.758e-02
3	3	nan	nan	4.271e-01	9.832e-02	4.410e-01	1.012e-01	4.410e-01	1.012e-01	4.410e-01	1.012e-01
3	4	nan	nan	4.271e-01	1.157e-01	4.618e-01	1.503e-01	4.618e-01	1.503e-01	4.694e-01	1.396e-01
