x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen
0	0	nan	nan	4.295e-01	5.322e-03	4.719e-01	7.709e-03	4.719e-01	7.709e-03	4.764e-01	1.044e-02
0	1	nan	nan	4.340e-01	3.245e-02	4.736e-01	3.941e-02	4.753e-01	2.558e-02	4.757e-01	3.407e-02
0	2	nan	nan	4.340e-01	6.727e-02	4.757e-01	6.120e-02	4.757e-01	6.120e-02	4.757e-01	6.120e-02
0	3	nan	nan	4.375e-01	6.973e-02	4.674e-01	9.066e-02	4.757e-01	9.987e-02	4.757e-01	9.987e-02
0	4	nan	nan	4.340e-01	9.792e-02	4.715e-01	1.052e-01	4.757e-01	1.081e-01	4.760e-01	1.115e-01
0	5	4.167e-01	6.865e-02	4.340e-01	8.148e-02	4.753e-01	1.426e-01	4.757e-01	1.245e-01	4.760e-01	1.442e-01
0	6	4.340e-01	3.294e-02	4.444e-01	1.462e-01	4.701e-01	1.616e-01	4.757e-01	1.621e-01	4.771e-01	1.605e-01
0	7	nan	nan	4.340e-01	1.288e-01	4.688e-01	2.231e-01	4.757e-01	1.778e-01	4.760e-01	1.768e-01
0	8	nan	nan	4.410e-01	1.849e-01	4.757e-01	2.248e-01	4.757e-01	2.248e-01	4.757e-01	2.248e-01
0	9	4.340e-01	4.219e-01	4.646e-01	4.427e-01	4.757e-01	4.635e-01	4.757e-01	4.635e-01	4.757e-01	4.635e-01
1	0	nan	nan	4.194e-01	1.048e-02	4.194e-01	1.048e-02	4.208e-01	1.333e-03	4.271e-01	1.404e-02
1	1	nan	nan	4.167e-01	2.264e-02	4.340e-01	6.058e-02	4.340e-01	6.058e-02	4.410e-01	3.629e-02
1	2	nan	nan	4.174e-01	4.525e-02	4.410e-01	6.194e-02	4.653e-01	5.269e-02	4.653e-01	5.269e-02
1	3	nan	nan	4.236e-01	5.410e-02	4.618e-01	7.298e-02	4.618e-01	7.298e-02	4.674e-01	7.092e-02
1	4	nan	nan	4.167e-01	8.955e-02	4.733e-01	1.392e-01	4.733e-01	1.392e-01	4.750e-01	1.282e-01
1	5	nan	nan	4.375e-01	7.610e-02	4.715e-01	1.560e-01	4.736e-01	1.517e-01	4.757e-01	1.363e-01
1	6	nan	nan	4.368e-01	1.397e-01	4.701e-01	2.162e-01	4.722e-01	1.933e-01	4.750e-01	1.673e-01
1	7	nan	nan	4.681e-01	2.416e-01	4.729e-01	2.244e-01	4.736e-01	2.543e-01	4.757e-01	2.115e-01
1	8	nan	nan	4.410e-01	1.970e-01	4.708e-01	2.762e-01	4.750e-01	2.165e-01	4.757e-01	2.070e-01
