x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.00.frozen	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.10.frozen	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.25.frozen	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.0.50.frozen	progress.rate.q.0.05.1.00.fitness	progress.rate.q.0.05.1.00.frozen
0	0	nan	nan	4.698e-01	2.273e-02	4.698e-01	2.273e-02	4.757e-01	3.438e-02	4.757e-01	3.438e-02
0	1	-4.167e-01	-3.163e-02	4.691e-01	7.184e-02	4.757e-01	4.867e-02	4.757e-01	4.867e-02	4.760e-01	4.367e-02
0	2	nan	nan	4.767e-01	7.515e-02	4.767e-01	7.515e-02	4.767e-01	7.515e-02	4.767e-01	7.515e-02
0	3	nan	nan	4.757e-01	1.094e-01	4.757e-01	1.094e-01	4.760e-01	1.061e-01	4.760e-01	1.061e-01
0	4	nan	nan	4.757e-01	1.536e-01	4.757e-01	1.536e-01	4.757e-01	1.536e-01	4.760e-01	1.633e-01
0	5	nan	nan	4.736e-01	1.435e-01	4.757e-01	1.709e-01	4.757e-01	1.709e-01	4.757e-01	1.709e-01
0	6	nan	nan	4.750e-01	1.841e-01	4.764e-01	1.849e-01	4.764e-01	1.849e-01	4.764e-01	1.849e-01
0	7	nan	nan	4.757e-01	2.180e-01	4.757e-01	2.180e-01	4.771e-01	2.068e-01	4.771e-01	2.068e-01
0	8	nan	nan	4.757e-01	2.521e-01	4.771e-01	2.537e-01	4.771e-01	2.537e-01	4.771e-01	2.537e-01
0	9	4.340e-01	4.218e-01	4.747e-01	3.173e-01	4.757e-01	2.992e-01	4.757e-01	2.992e-01	4.760e-01	3.646e-01
1	0	nan	nan	4.167e-01	1.067e-02	4.167e-01	1.067e-02	4.167e-01	1.067e-02	4.167e-01	1.067e-02
1	1	nan	nan	1.389e-03	4.932e-02	4.167e-01	2.809e-02	4.167e-01	2.809e-02	4.271e-01	4.285e-02
1	2	nan	nan	4.604e-01	9.053e-02	4.604e-01	9.053e-02	4.743e-01	1.152e-01	4.743e-01	1.152e-01
1	3	nan	nan	4.688e-01	1.411e-01	4.757e-01	1.264e-01	4.760e-01	1.338e-01	4.760e-01	1.338e-01
