problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→maturePerformance;best→quality→increase;best→quality→inconsistency
nav-lives;me-hebbian-neuron;1;[8];1;100;100;2.32900e+00;6;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;-2.41384e-03;3.51470e-03;1.13381e-03
nav-lives;me-hebbian-neuron;2;[8];1;100;100;2.88400e+00;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.99416e-01;5.05826e-01;3.03724e-04
nav-lives;me-hebbian-neuron;1;[8];2;200;200;3.93800e+00;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.82068e-01;1.88208e-01;2.42017e-01
nav-lives;me-hebbian-neuron;2;[8];2;200;200;4.64000e+00;9;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.99416e-01;5.05826e-01;3.03724e-04
nav-lives;me-hebbian-neuron;1;[8];3;300;300;5.24300e+00;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;1.82068e-01;1.88208e-01;2.42017e-01
nav-lives;me-hebbian-neuron;2;[8];3;300;300;6.05000e+00;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.99416e-01;5.05826e-01;3.03724e-04
nav-lives;me-hebbian-neuron;1;[8];4;400;400;7.04400e+00;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.16175e-01;3.22669e-01;4.20185e-01
nav-lives;me-hebbian-neuron;2;[8];4;400;400;7.71100e+00;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.99416e-01;5.05826e-01;3.03724e-04
nav-lives;me-hebbian-neuron;1;[8];5;500;500;8.39100e+00;10;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;3.97869e-01;4.04504e-01;2.00266e-01
nav-lives;me-hebbian-neuron;2;[8];5;500;500;9.12400e+00;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.99416e-01;5.05826e-01;3.03724e-04
nav-lives;me-hebbian-neuron;1;[8];6;600;600;9.78800e+00;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.93927e-01;5.00490e-01;3.44478e-04
nav-lives;me-hebbian-neuron;2;[8];6;600;600;1.04770e+01;11;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.99416e-01;5.05826e-01;3.03724e-04
nav-lives;me-hebbian-neuron;1;[8];7;700;700;1.11550e+01;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.93927e-01;5.00490e-01;3.44478e-04
nav-lives;me-hebbian-neuron;2;[8];7;700;700;1.18260e+01;12;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.99416e-01;5.05826e-01;3.03724e-04
nav-lives;me-hebbian-neuron;1;[8];8;800;800;1.25480e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.93927e-01;5.00490e-01;3.44478e-04
nav-lives;me-hebbian-neuron;2;[8];8;800;800;1.32490e+01;13;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.99416e-01;5.05826e-01;3.03724e-04
nav-lives;me-hebbian-neuron;1;[8];9;900;900;1.39920e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.93927e-01;5.00490e-01;3.44478e-04
nav-lives;me-hebbian-neuron;2;[8];9;900;900;1.47750e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.99416e-01;5.05826e-01;3.03724e-04
nav-lives;me-hebbian-neuron;1;[8];10;1000;1000;1.54170e+01;14;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.93927e-01;5.00490e-01;3.44478e-04
nav-lives;me-hebbian-neuron;2;[8];10;1000;1000;1.60820e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.99416e-01;5.05826e-01;3.03724e-04
nav-lives;me-hebbian-neuron;1;[8];11;1100;1100;1.67680e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.93927e-01;5.00490e-01;3.44478e-04
nav-lives;me-hebbian-neuron;2;[8];11;1100;1100;1.76810e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;5.24394e-01;5.32455e-01;4.98052e-01
nav-lives;me-hebbian-neuron;1;[8];12;1200;1200;1.80770e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.93927e-01;5.00490e-01;3.44478e-04
nav-lives;me-hebbian-neuron;2;[8];12;1200;1200;1.89780e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;5.24394e-01;5.32455e-01;4.98052e-01
nav-lives;me-hebbian-neuron;1;[8];13;1300;1300;1.96380e+01;15;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.93927e-01;5.00490e-01;3.44478e-04
nav-lives;me-hebbian-neuron;2;[8];13;1300;1300;2.03540e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;5.24394e-01;5.32455e-01;4.98052e-01
nav-lives;me-hebbian-neuron;1;[8];14;1400;1400;2.10360e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;4.93927e-01;5.00490e-01;3.44478e-04
nav-lives;me-hebbian-neuron;2;[8];14;1400;1400;2.16960e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;5.24394e-01;5.32455e-01;4.98052e-01
nav-lives;me-hebbian-neuron;1;[8];15;1500;1500;2.23710e+01;16;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.82604e-01;6.88895e-01;2.41549e-01
nav-lives;me-hebbian-neuron;2;[8];15;1500;1500;2.30720e+01;18;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;5.24394e-01;5.32455e-01;4.98052e-01
nav-lives;me-hebbian-neuron;1;[8];16;1600;1600;2.37640e+01;17;1;1;1.00000e+00;1.00000e+00;1.00000e+00;40;6.82604e-01;6.88895e-01;2.41549e-01
