row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
0.0;-0.018303290663313834;0.01488900607860184;0.019622099971585236;-0.013036022788793278;-0.017863726405838453;-0.005816827063020421;0.015989397429253333;-0.0020346361126079814;0.015417153715423283;0.017703428349588348;0.0062568909537452505;-0.01820628108329979;-0.004935801814244467;0.008535291807141507;0.015174940349489092;0.010450275521802426;-0.016169176513224467;-0.013367318778703546;-0.011111472855673252;0.019084477206106103;-0.004697445393200099;0.009746145950386375;0.01617413841955122;-0.010199051336875447;0.0069819177616578555;-0.007820799375593341;0.0015687889830702136;-0.01201243570044285;-0.01790774251416481;-5.59613706081933E-4;6.169924655096415E-4;-0.016998229479288904
1.0;-0.057765030343115746;-0.024572733601200072;-0.019839639708216675;-0.052497762468595194;-0.05732546608564036;-0.04527856674282233;0.02103997069388118;-0.04234011648104531;-0.02488832665301405;-0.022602052018848986;-0.03404858941469208;-0.05851176145173712;-0.0452412821826818;0.01164499632285902;-0.025311422683145016;-0.007658452054310535;-0.03518786522401868;-0.053302080065232876;-0.028296887428295454;9.739862826216583E-4;-0.04479019107101827;-0.007703714925851868;-0.002196469654778415;-0.05018096563932323;-0.010282425119402017;-0.026008926501327932;-0.03866142395900851;-0.029692399750832335;-0.03650468682856366;-0.04073809812649595;-0.01697638444652928;-0.03551000414140065
2.0;-0.0968201036306535;-0.018586699830034248;-0.013853605937050853;-0.09155283575613296;-0.09638053937317811;-0.03929253297165651;-0.01801510259365658;-0.08192132103207952;-0.020112560136822603;-0.017826285502657538;-0.0736297939657263;-0.09809296600277134;-0.04046551566649035;-0.027936208228175198;-0.06502707587945537;-0.024028344389752723;-0.05213835125964174;-0.0924596015323704;-0.04372516489667095;-0.015044421859062882;-0.08409628964734753;-0.02338265439319323;-0.01846300101143974;-0.08939682111343442;-0.025809116932189333;-0.04212475221582381;-0.0781359002483108;-0.045655406490344476;-0.05305240833423634;-0.08015601487442629;-0.032843970513381886;-0.051963271425160135
3.0;-0.13495441553056486;-0.05672101172994561;-0.051987917836962216;-0.12968714765604433;-0.0882764650398846;-0.03118845863836299;-0.056149414493567945;-0.12045825981665771;-0.05864949892140079;-0.056363224287235725;-0.11216673275030449;-0.09091506003903316;-0.03328760970275216;-0.06647314701275339;-0.10405443272520243;-0.0382003666358346;-0.0667636786014445;-0.13091994961639297;-0.05692364024552033;-0.02870361663988727;-0.12268694980566308;-0.03680487393113421;-0.032344235990867394;-0.12792593900915553;-0.03912566918094192;-0.05590112464676466;-0.11694772636313855;-0.059457365188013846;-0.06731049045676012;-0.11889957775429086;-0.046528722097017736;-0.06610503905932388
4.0;-0.17637884410914076;-0.09814544030852151;-0.09341234641553811;-0.12915137567903062;-0.08774069306287088;-0.030652686661349283;-0.055613642516554235;-0.16199698828730996;-0.10018822739205305;-0.09790195275788799;-0.1118938864464542;-0.09064221373518287;-0.033014763398901865;-0.0662003007089031;-0.14203552223881724;-0.05439199908559275;-0.0830878816488721;-0.1683991394125483;-0.07230714723006612;-0.044221557349315016;-0.16034767529703067;-0.052480677589781824;-0.048153799486602186;-0.16544955570503334;-0.05458070939763991;-0.07149043366901318;-0.15464771258059984;-0.07519638385044679;-0.08318312321456209;-0.15657838261639634;-0.0622336359531412;-0.0819436456391921
5.0;-0.21210931435006544;-0.08451177469665454;-0.07977868080367113;-0.1648818459199553;-0.12347116330379557;-0.01701902104948231;-0.09134411275747892;-0.19824498069347635;-0.08774502540356606;-0.085458750769401;-0.1481418788526206;-0.12689020614134927;-0.020571561410414878;-0.1024482931150695;-0.17996430117702533;-0.06388560004229264;-0.09318260931183853;-0.20573665690293202;-0.08073939980150077;-0.05326487438131992;-0.19777168479634302;-0.061068188303536636;-0.05735092092783315;-0.20287285626006363;-0.06316694751553754;-0.08068629443012088;-0.1924193873036682;-0.0844079736838602;-0.09299848031722122;-0.19425022832796862;-0.0712660269557432;-0.091581481808681
6.0;-0.2526843653454652;-0.08202216734176214;-0.07728907344877874;-0.20545689691535501;-0.12098155594890317;-0.014529413694589918;-0.08885450540258652;-0.23997002330738507;-0.0879007601827394;-0.08561448554857434;-0.1898669214665293;-0.1270459409205226;-0.020727296189588212;-0.10260402789424285;-0.21643032339023588;-0.0766108286637395;-0.10729824003610464;-0.24175944130844493;-0.09273872952673756;-0.06667116052422369;-0.23394847145816636;-0.07331973042114644;-0.07100366769330613;-0.2389167137154441;-0.07520078897098548;-0.09412630525417036;-0.22863800070648096;-0.09672801624206646;-0.1067181653527642;-0.2304405641864267;-0.08353975884758005;-0.10525591230475584
7.0;-0.2825478450128246;-0.11188564700912158;-0.10715255311613818;-0.23532037658271446;-0.09385196818019387;0.01260017407411939;-0.11871798506994596;-0.2700199906920254;-0.11795072756737976;-0.1156644529332147;-0.21991688885116967;-0.1003453335096428;0.005973311221291595;-0.1326539952788832;-0.2541814252953633;-0.07893684412592908;-0.10984194600797063;-0.27877293523379654;-0.09360014941549223;-0.06775473833023746;-0.2709617083851031;-0.07418064001344121;-0.07208673675940047;-0.2760807195049241;-0.07636106545565013;-0.0955078280636744;-0.2663472607145989;-0.09897095036725252;-0.10917904340788935;-0.2679657897729173;-0.08541727393356739;-0.10735248594632786
8.0;-0.32985756660059623;-0.12488789854286457;-0.12015480464988117;-0.24832262811645744;-0.10685421971393685;-4.020774596236003E-4;-0.13172023660368895;-0.31799796773619465;-0.13249017666558832;-0.13020390203142326;-0.23445633794937823;-0.11488478260785134;-0.008566137876916955;-0.14719344437709175;-0.28808773750113914;-0.09617243829913096;-0.12794105089668145;-0.3124378246970323;-0.11049316592754026;-0.08551650518550445;-0.30486071125310577;-0.0914058622729925;-0.09017562836992452;-0.30971034323750335;-0.09320404007272153;-0.11322031840048902;-0.29991223477183687;-0.11572218741917259;-0.12680119927947106;-0.30160056476906383;-0.10226755816781188;-0.1250721741018038
9.0;-0.37306740291806034;-0.1680977348603287;-0.1237260315780348;-0.2518938550446111;-0.11042544664209049;-0.04361191377708773;-0.1352914635318426;-0.36151576122250695;-0.17600797015190062;-0.13448352723059898;-0.23873596314855394;-0.11916440780702704;-0.05208393136322926;-0.15147306957626747;-0.3220144079527571;-0.108141814865706;-0.140308161960802;-0.3460152432545975;-0.12192045181818241;-0.09734501865605555;-0.33861131161745306;-0.10310195198201448;-0.10227121356140592;-0.3433008067981019;-0.10465157374049047;-0.12506894917709202;-0.33357679607316415;-0.12728473175700727;-0.13876409962919595;-0.33527634839188625;-0.11384752121102355;-0.13705238091558658
