n.evals.q.1.0.	train._.me.hebbian.network.best.quality.fitness	train._.me.hebbian.network.best.quality.fitness.min	train._.me.hebbian.network.best.quality.fitness.max	train._.me.hebbian.layer.best.quality.fitness	train._.me.hebbian.layer.best.quality.fitness.min	train._.me.hebbian.layer.best.quality.fitness.max	train._.me.hebbian.neuron.best.quality.fitness	train._.me.hebbian.neuron.best.quality.fitness.min	train._.me.hebbian.neuron.best.quality.fitness.max	train._.me.hebbian.synapse.best.quality.fitness	train._.me.hebbian.synapse.best.quality.fitness.min	train._.me.hebbian.synapse.best.quality.fitness.max	train._.me.freeForm.best.quality.fitness	train._.me.freeForm.best.quality.fitness.min	train._.me.freeForm.best.quality.fitness.max
4.900e+03	1.081e+01	-2.401e+00	1.766e+01	4.824e+01	-2.145e+00	5.608e+01	3.366e+02	2.813e+02	3.800e+02	4.488e+02	3.736e+02	4.565e+02	3.033e+01	-2.216e+00	1.927e+02
5.000e+03	1.081e+01	-2.401e+00	1.766e+01	4.824e+01	-2.145e+00	5.608e+01	3.366e+02	2.813e+02	3.800e+02	4.488e+02	3.736e+02	4.565e+02	3.033e+01	-2.216e+00	1.930e+02
5.100e+03	1.081e+01	-2.401e+00	1.766e+01	4.824e+01	-2.145e+00	5.608e+01	3.366e+02	2.813e+02	3.800e+02	4.488e+02	3.736e+02	4.565e+02	3.033e+01	-2.216e+00	1.930e+02
5.200e+03	1.081e+01	-2.401e+00	1.766e+01	4.824e+01	-2.145e+00	5.608e+01	3.366e+02	3.028e+02	3.800e+02	4.488e+02	3.870e+02	4.565e+02	3.033e+01	-2.216e+00	1.930e+02
5.300e+03	1.081e+01	-2.401e+00	1.766e+01	4.824e+01	-2.145e+00	5.608e+01	3.536e+02	3.028e+02	3.800e+02	4.488e+02	3.870e+02	4.565e+02	3.033e+01	-2.216e+00	1.930e+02
5.400e+03	1.081e+01	-2.401e+00	1.766e+01	4.824e+01	-2.145e+00	5.608e+01	3.536e+02	3.028e+02	3.800e+02	4.488e+02	3.870e+02	4.565e+02	3.033e+01	-2.216e+00	1.930e+02
5.500e+03	1.081e+01	-2.401e+00	1.766e+01	4.824e+01	-2.145e+00	5.608e+01	3.751e+02	3.028e+02	4.000e+02	4.488e+02	3.870e+02	4.565e+02	3.033e+01	-2.216e+00	1.930e+02
5.600e+03	1.081e+01	-2.401e+00	1.766e+01	4.824e+01	-2.145e+00	5.608e+01	3.751e+02	3.095e+02	4.000e+02	4.488e+02	4.101e+02	4.565e+02	3.033e+01	-2.216e+00	1.930e+02
5.700e+03	1.081e+01	-2.401e+00	1.766e+01	4.824e+01	-2.145e+00	5.608e+01	3.801e+02	3.095e+02	4.000e+02	4.488e+02	4.101e+02	4.565e+02	3.033e+01	-2.216e+00	1.930e+02
5.800e+03	1.081e+01	-2.401e+00	1.766e+01	4.824e+01	-2.145e+00	5.608e+01	3.801e+02	3.095e+02	4.000e+02	4.488e+02	4.162e+02	4.565e+02	3.033e+01	-1.895e+00	1.930e+02
5.900e+03	1.081e+01	-2.401e+00	1.766e+01	4.824e+01	-2.145e+00	5.608e+01	3.801e+02	3.095e+02	4.000e+02	4.488e+02	4.162e+02	4.565e+02	3.033e+01	-1.895e+00	1.930e+02
6.000e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.608e+01	3.801e+02	3.095e+02	4.000e+02	4.488e+02	4.162e+02	4.565e+02	3.033e+01	-1.895e+00	1.930e+02
6.100e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.608e+01	3.801e+02	3.095e+02	4.000e+02	4.488e+02	4.263e+02	4.565e+02	3.033e+01	-1.895e+00	1.930e+02
6.200e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.608e+01	3.801e+02	3.095e+02	4.000e+02	4.520e+02	4.413e+02	4.565e+02	3.033e+01	-1.895e+00	1.930e+02
6.300e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.608e+01	3.801e+02	3.095e+02	4.020e+02	4.520e+02	4.413e+02	4.565e+02	3.033e+01	-1.895e+00	1.930e+02
6.400e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.608e+01	3.801e+02	3.095e+02	4.020e+02	4.520e+02	4.413e+02	4.565e+02	3.033e+01	-1.895e+00	1.930e+02
6.500e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.608e+01	3.801e+02	3.095e+02	4.020e+02	4.520e+02	4.413e+02	4.565e+02	3.033e+01	-1.895e+00	1.930e+02
6.600e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.608e+01	4.000e+02	3.095e+02	4.046e+02	4.520e+02	4.413e+02	4.565e+02	3.033e+01	-1.895e+00	1.930e+02
6.700e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.608e+01	4.000e+02	3.095e+02	4.046e+02	4.520e+02	4.413e+02	4.565e+02	3.033e+01	-1.770e+00	1.930e+02
6.800e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.608e+01	4.000e+02	3.095e+02	4.046e+02	4.554e+02	4.424e+02	4.664e+02	3.033e+01	-1.770e+00	1.930e+02
6.900e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.845e+01	4.000e+02	3.095e+02	4.046e+02	4.584e+02	4.424e+02	4.734e+02	3.033e+01	-1.770e+00	1.930e+02
7.000e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.845e+01	4.000e+02	3.095e+02	4.046e+02	4.584e+02	4.424e+02	4.734e+02	3.033e+01	-1.770e+00	1.930e+02
7.100e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.845e+01	4.020e+02	3.227e+02	4.076e+02	4.584e+02	4.424e+02	4.734e+02	3.033e+01	2.279e+01	1.930e+02
7.200e+03	1.081e+01	-2.401e+00	1.766e+01	4.856e+01	-2.145e+00	5.845e+01	4.020e+02	3.227e+02	4.076e+02	4.584e+02	4.424e+02	4.734e+02	3.033e+01	2.279e+01	1.930e+02
7.300e+03	1.081e+01	-2.031e+00	1.766e+01	4.856e+01	-2.145e+00	5.845e+01	4.020e+02	3.227e+02	4.076e+02	4.584e+02	4.424e+02	4.807e+02	3.033e+01	2.279e+01	1.930e+02
7.400e+03	1.081e+01	-2.031e+00	1.766e+01	4.856e+01	-2.145e+00	5.845e+01	4.020e+02	3.227e+02	4.076e+02	4.644e+02	4.488e+02	4.807e+02	3.174e+01	2.505e+01	1.930e+02
7.500e+03	1.081e+01	-2.031e+00	1.766e+01	4.856e+01	-2.145e+00	5.845e+01	4.020e+02	3.227e+02	4.076e+02	4.644e+02	4.488e+02	4.807e+02	3.174e+01	2.505e+01	1.986e+02
7.600e+03	1.081e+01	-2.031e+00	1.766e+01	4.856e+01	-2.145e+00	5.845e+01	4.020e+02	3.227e+02	4.076e+02	4.644e+02	4.488e+02	4.807e+02	3.174e+01	2.505e+01	2.217e+02
7.700e+03	1.081e+01	-2.031e+00	1.766e+01	4.856e+01	-2.145e+00	5.845e+01	4.020e+02	3.227e+02	4.076e+02	4.734e+02	4.554e+02	4.818e+02	3.174e+01	2.505e+01	2.217e+02
7.800e+03	1.081e+01	-2.031e+00	1.766e+01	4.856e+01	-2.145e+00	5.845e+01	4.020e+02	3.227e+02	4.076e+02	4.734e+02	4.554e+02	4.818e+02	3.174e+01	2.505e+01	2.217e+02
7.900e+03	1.081e+01	-2.031e+00	1.766e+01	4.856e+01	-2.145e+00	6.052e+01	4.020e+02	3.227e+02	4.076e+02	4.734e+02	4.554e+02	4.818e+02	3.174e+01	2.505e+01	2.217e+02
8.000e+03	1.081e+01	-2.031e+00	2.324e+01	4.856e+01	-2.145e+00	6.052e+01	4.020e+02	3.227e+02	4.076e+02	4.734e+02	4.554e+02	4.818e+02	3.174e+01	2.505e+01	2.217e+02
8.100e+03	1.081e+01	-2.031e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.020e+02	3.227e+02	4.076e+02	4.734e+02	4.554e+02	4.818e+02	3.270e+01	2.505e+01	2.217e+02
8.200e+03	1.081e+01	-2.031e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.020e+02	3.227e+02	4.076e+02	4.734e+02	4.554e+02	4.818e+02	3.270e+01	2.505e+01	2.217e+02
8.300e+03	1.081e+01	-1.920e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.020e+02	3.227e+02	4.076e+02	4.734e+02	4.559e+02	4.818e+02	3.270e+01	2.505e+01	2.217e+02
8.400e+03	1.081e+01	-1.920e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.020e+02	3.248e+02	4.076e+02	4.734e+02	4.559e+02	4.818e+02	3.270e+01	2.505e+01	2.217e+02
8.500e+03	1.081e+01	-1.920e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.020e+02	3.248e+02	4.076e+02	4.734e+02	4.559e+02	4.818e+02	3.270e+01	2.505e+01	2.217e+02
8.600e+03	1.081e+01	-1.920e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.020e+02	3.248e+02	4.076e+02	4.734e+02	4.559e+02	4.818e+02	3.270e+01	2.505e+01	2.217e+02
8.700e+03	1.081e+01	-1.808e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.020e+02	3.248e+02	4.076e+02	4.807e+02	4.559e+02	4.849e+02	3.270e+01	2.505e+01	2.217e+02
8.800e+03	1.081e+01	-1.808e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.020e+02	3.248e+02	4.076e+02	4.807e+02	4.559e+02	4.849e+02	3.270e+01	2.505e+01	2.217e+02
8.900e+03	1.081e+01	-1.808e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.020e+02	3.248e+02	4.076e+02	4.807e+02	4.559e+02	4.849e+02	3.270e+01	2.505e+01	2.217e+02
9.000e+03	1.081e+01	-1.808e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.045e+02	3.248e+02	4.076e+02	4.807e+02	4.559e+02	4.849e+02	3.270e+01	2.505e+01	2.217e+02
9.100e+03	1.081e+01	-1.808e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.045e+02	3.248e+02	4.076e+02	4.807e+02	4.559e+02	4.849e+02	3.270e+01	2.559e+01	2.217e+02
9.200e+03	1.081e+01	-1.808e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.045e+02	3.248e+02	4.076e+02	4.807e+02	4.559e+02	4.849e+02	3.273e+01	2.559e+01	2.217e+02
9.300e+03	1.081e+01	-1.808e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.045e+02	3.248e+02	4.076e+02	4.807e+02	4.559e+02	4.849e+02	3.273e+01	2.559e+01	2.217e+02
9.400e+03	1.081e+01	-1.808e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.045e+02	3.248e+02	4.076e+02	4.807e+02	4.559e+02	4.849e+02	3.273e+01	2.559e+01	2.217e+02
9.500e+03	1.081e+01	-1.808e+00	2.324e+01	5.073e+01	-2.145e+00	6.052e+01	4.045e+02	3.530e+02	4.076e+02	4.807e+02	4.559e+02	4.849e+02	3.373e+01	2.559e+01	2.217e+02
9.600e+03	1.081e+01	-1.808e+00	2.324e+01	5.810e+01	-2.145e+00	6.336e+01	4.045e+02	3.530e+02	4.076e+02	4.807e+02	4.559e+02	4.849e+02	3.373e+01	2.559e+01	2.217e+02
9.700e+03	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-2.145e+00	6.336e+01	4.046e+02	3.530e+02	4.089e+02	4.807e+02	4.559e+02	4.849e+02	3.373e+01	2.559e+01	2.217e+02
9.800e+03	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-2.145e+00	6.336e+01	4.046e+02	3.530e+02	4.089e+02	4.807e+02	4.559e+02	4.849e+02	3.373e+01	2.559e+01	2.217e+02
9.900e+03	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-2.145e+00	6.336e+01	4.046e+02	3.530e+02	4.089e+02	4.807e+02	4.559e+02	4.849e+02	3.373e+01	2.559e+01	2.217e+02
1.000e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-2.145e+00	6.336e+01	4.046e+02	3.530e+02	4.089e+02	4.818e+02	4.559e+02	4.849e+02	3.373e+01	2.559e+01	2.217e+02
1.010e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-1.947e+00	6.336e+01	4.046e+02	3.530e+02	4.089e+02	4.818e+02	4.584e+02	4.849e+02	3.373e+01	2.559e+01	2.339e+02
1.020e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-1.947e+00	6.336e+01	4.089e+02	3.530e+02	4.134e+02	4.818e+02	4.584e+02	4.849e+02	3.373e+01	2.912e+01	2.339e+02
1.030e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-1.947e+00	6.336e+01	4.089e+02	3.530e+02	4.134e+02	4.818e+02	4.584e+02	4.849e+02	3.373e+01	2.912e+01	2.339e+02
1.040e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-1.947e+00	6.336e+01	4.089e+02	3.530e+02	4.134e+02	4.818e+02	4.584e+02	4.849e+02	4.274e+01	3.033e+01	2.339e+02
1.050e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-1.947e+00	6.336e+01	4.089e+02	3.530e+02	4.134e+02	4.818e+02	4.597e+02	4.849e+02	4.274e+01	3.033e+01	2.339e+02
1.060e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-1.947e+00	6.336e+01	4.089e+02	3.530e+02	4.134e+02	4.818e+02	4.597e+02	4.849e+02	4.274e+01	3.033e+01	2.339e+02
1.070e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-1.947e+00	6.336e+01	4.089e+02	3.530e+02	4.134e+02	4.826e+02	4.641e+02	4.849e+02	4.274e+01	3.033e+01	2.339e+02
1.080e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-1.947e+00	6.336e+01	4.089e+02	3.530e+02	4.134e+02	4.826e+02	4.641e+02	4.849e+02	4.274e+01	3.033e+01	2.339e+02
1.090e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-1.947e+00	6.336e+01	4.089e+02	3.530e+02	4.134e+02	4.826e+02	4.641e+02	4.849e+02	4.274e+01	3.033e+01	2.339e+02
1.100e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-1.947e+00	6.336e+01	4.089e+02	3.530e+02	4.134e+02	4.826e+02	4.641e+02	4.849e+02	4.274e+01	3.033e+01	2.339e+02
1.110e+04	1.081e+01	-1.808e+00	3.146e+01	5.810e+01	-1.947e+00	6.336e+01	4.089e+02	3.530e+02	4.134e+02	4.826e+02	4.641e+02	4.849e+02	4.274e+01	3.033e+01	2.339e+02
1.120e+04	2.324e+01	-1.808e+00	3.371e+01	5.810e+01	-1.947e+00	6.336e+01	4.089e+02	3.530e+02	4.134e+02	4.826e+02	4.641e+02	4.849e+02	4.274e+01	3.033e+01	2.339e+02
1.130e+04	2.324e+01	-1.808e+00	3.371e+01	6.052e+01	-1.947e+00	7.635e+01	4.089e+02	3.530e+02	4.134e+02	4.826e+02	4.641e+02	4.849e+02	4.274e+01	3.273e+01	2.339e+02
1.140e+04	2.324e+01	-1.808e+00	3.371e+01	6.052e+01	-1.947e+00	7.635e+01	4.089e+02	3.530e+02	4.134e+02	4.826e+02	4.641e+02	4.849e+02	4.274e+01	3.273e+01	2.339e+02
1.150e+04	2.324e+01	-1.808e+00	3.371e+01	6.052e+01	-1.947e+00	7.635e+01	4.089e+02	3.530e+02	4.134e+02	4.826e+02	4.641e+02	4.849e+02	4.274e+01	3.273e+01	2.339e+02
