n.evals.q.1.0.	train._.me.hebbian.network.best.quality.fitness	train._.me.hebbian.network.best.quality.fitness.min	train._.me.hebbian.network.best.quality.fitness.max	train._.me.hebbian.layer.best.quality.fitness	train._.me.hebbian.layer.best.quality.fitness.min	train._.me.hebbian.layer.best.quality.fitness.max	train._.me.hebbian.neuron.best.quality.fitness	train._.me.hebbian.neuron.best.quality.fitness.min	train._.me.hebbian.neuron.best.quality.fitness.max	train._.me.hebbian.synapse.best.quality.fitness	train._.me.hebbian.synapse.best.quality.fitness.min	train._.me.hebbian.synapse.best.quality.fitness.max	train._.me.freeForm.best.quality.fitness	train._.me.freeForm.best.quality.fitness.min	train._.me.freeForm.best.quality.fitness.max
1.160e+04	2.324e+01	-1.808e+00	3.371e+01	6.052e+01	-1.947e+00	7.635e+01	4.089e+02	3.530e+02	4.134e+02	4.826e+02	4.641e+02	4.849e+02	4.274e+01	3.273e+01	2.339e+02
1.170e+04	2.324e+01	-1.808e+00	3.371e+01	6.052e+01	-1.947e+00	7.635e+01	4.089e+02	3.530e+02	4.134e+02	4.826e+02	4.698e+02	4.865e+02	4.274e+01	3.273e+01	2.339e+02
1.180e+04	2.324e+01	-1.808e+00	3.371e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.826e+02	4.698e+02	4.865e+02	4.274e+01	3.273e+01	2.339e+02
1.190e+04	2.324e+01	-1.808e+00	3.371e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.826e+02	4.698e+02	4.865e+02	4.274e+01	3.273e+01	2.339e+02
1.200e+04	2.324e+01	-1.808e+00	3.371e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.826e+02	4.698e+02	4.865e+02	4.274e+01	3.273e+01	2.339e+02
1.210e+04	2.324e+01	-1.808e+00	3.371e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.826e+02	4.698e+02	4.865e+02	4.274e+01	3.273e+01	2.339e+02
1.220e+04	2.324e+01	-1.808e+00	3.371e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.826e+02	4.734e+02	4.865e+02	4.274e+01	3.273e+01	2.339e+02
1.230e+04	2.324e+01	-1.808e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.826e+02	4.734e+02	4.865e+02	4.990e+01	3.273e+01	2.339e+02
1.240e+04	2.324e+01	-1.808e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.826e+02	4.734e+02	4.865e+02	4.990e+01	3.273e+01	2.339e+02
1.250e+04	2.324e+01	-1.808e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.826e+02	4.734e+02	4.865e+02	4.990e+01	3.273e+01	2.339e+02
1.260e+04	2.324e+01	-1.808e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.826e+02	4.734e+02	4.865e+02	4.990e+01	3.273e+01	2.339e+02
1.270e+04	2.324e+01	-1.808e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.826e+02	4.734e+02	4.865e+02	4.990e+01	3.273e+01	2.339e+02
1.280e+04	2.324e+01	-1.808e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.826e+02	4.734e+02	4.865e+02	4.990e+01	3.273e+01	2.339e+02
1.290e+04	2.324e+01	-1.808e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.849e+02	4.815e+02	4.884e+02	4.990e+01	3.273e+01	2.339e+02
1.300e+04	2.324e+01	-1.808e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.543e+02	4.134e+02	4.849e+02	4.815e+02	4.884e+02	4.990e+01	3.273e+01	2.339e+02
1.310e+04	2.324e+01	-1.808e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.623e+02	4.134e+02	4.849e+02	4.815e+02	4.884e+02	4.990e+01	3.273e+01	2.339e+02
1.320e+04	2.324e+01	1.366e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.623e+02	4.134e+02	4.849e+02	4.815e+02	4.884e+02	4.990e+01	3.273e+01	2.339e+02
1.330e+04	2.324e+01	1.366e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.623e+02	4.134e+02	4.849e+02	4.815e+02	4.884e+02	4.990e+01	3.273e+01	2.339e+02
1.340e+04	2.324e+01	1.366e+00	4.025e+01	6.202e+01	-1.947e+00	7.635e+01	4.089e+02	3.623e+02	4.134e+02	4.849e+02	4.815e+02	4.884e+02	4.990e+01	3.273e+01	2.339e+02
