row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0.0;-2.1325515355675773;-2.156335348137906;-2.1499487241994095;9.919131125343005;9.792386178271332;9.792386178271332;-2.7193193196804435;-2.7503932321627644;-2.7344908910996555;9.955070876386278;6.669867659778393;9.918784787392052;-0.012657683740214325;-0.0051241592979192115;0.007575625614041677
1.0;-2.132674718422691;-2.1564585309930195;-2.150071907054523;9.848847438146155;9.65906290422893;9.63586391705021;-2.7206915177483793;-2.7517654302307;-2.7358630891675912;9.932574584803715;6.380085962005543;9.847252038935762;-0.012656532295360134;-0.005123007853065021;0.007576777058895867
2.0;-2.132402338362906;-2.1561861509332347;-2.1497995269947383;9.74439996551675;9.50293620592271;9.466651163628795;-2.722070894916816;-2.753144807399137;-2.737242466336028;9.910071085765383;6.143968492188789;9.741152746516699;-0.012655303272664222;-0.00512177883036911;0.0075780060815917785
3.0;-2.131297172205493;-2.1550809847758217;-2.1486943608373252;9.58910605460262;9.347642293455232;9.311357251161317;-2.723477573489424;-2.754551485971745;-2.738649144908636;9.887540247308543;5.983904634843891;9.583346990872545;-0.012653842650790637;-0.005120318208495523;0.007579466703465365
4.0;-2.1297953674916683;-2.153579180061997;-2.1471925561235006;9.3567016349485;9.215944006230462;9.179658963936546;-2.7248914096714874;-2.7559653221538083;-2.7400629810906993;9.865002211594687;5.875715628694643;9.348027244630773;-0.012652417889277076;-0.005118893446981963;0.007580891464978925
5.0;-2.127859324878992;-2.151643137449321;-2.1452565135108244;9.649752483706173;9.505276407045924;9.46917631068398;-2.726321485557194;-2.757395398039515;-2.741493056976406;10.0;6.162563119691651;9.634178472888173;-0.012650997675799596;-0.005117473233504483;0.007582311678456405
6.0;-2.1259232796886005;-2.149707092258929;-2.1433204683204328;9.9427999299347;9.79460544882612;9.758690296232878;-2.7277478247714355;-2.7588217372537565;-2.7429193961906475;10.0;6.449410975397929;9.920330074040786;-0.01264985109771515;-0.005116326655420038;0.007583458256540851
7.0;-2.123986721148812;-2.147770533719141;-2.1413839097806444;9.949947104368634;9.801686067373714;9.7657742250972;-2.729170872263935;-2.760244784746256;-2.744342443683147;10.0;6.453147760371829;9.924054396872968;-0.012649022995619557;-0.005115498553324443;0.007584286358636445
8.0;-2.121647764343937;-2.1454315769142656;-2.139044952975769;9.660060417986895;9.707369480870469;9.654653515876893;-2.730601259108927;-2.7616751715912478;-2.745772830528139;9.977445388422318;6.379402697579113;9.634131003646349;-0.01264843625573437;-0.005114911813439256;0.0075848730985216325
9.0;-2.1193020278472496;-2.1430858404175783;-2.136699216479082;9.370160567514079;9.613059674020027;9.54353958631786;-2.7320279464950254;-2.7631018589773464;-2.7471995179142374;9.954894465427719;6.305654981111463;9.344191620840071;-0.012648219211456615;-0.0051146947691615005;0.007585090142799388
10.0;-2.117352705809866;-2.1411365183801947;-2.1347498944416983;9.663207387347057;9.90238826699263;9.8330531142264;-2.733439778125274;-2.764513690607595;-2.748611349544486;10.0;6.592503360839163;9.630343995090024;-0.012648475404100738;-0.005114950961805624;0.007584833950155264
11.0;-2.11579904213281;-2.139582854703139;-2.1331962307646424;9.95191295691858;10.0;10.0;-2.7348368319064638;-2.7659107443887847;-2.7500084033256758;10.0;6.878942004663697;9.916800487207892;-0.012649172324007567;-0.005115647881712453;0.007584137030248435
12.0;-2.1146409413600993;-2.138424753930428;-2.1320381299919315;10.0;10.0;10.0;-2.736219174894468;-2.767293087376789;-2.75139074631368;10.0;7.165108209106668;10.0;-0.012650252494684492;-0.0051167280523893785;0.00758305685957151
13.0;-2.1143174515627856;-2.1381012641331143;-2.131714640194618;10.0;10.0;10.0;-2.7375675205899386;-2.7686414330722595;-2.7527390920091506;10.0;7.168873981433704;10.0;-0.012651842300676706;-0.005118317858381592;0.007581467053579296
14.0;-2.114829716744044;-2.1386135293143727;-2.1322269053758762;10.0;10.0;10.0;-2.7388819070499735;-2.7699558195322944;-2.7540534784691855;10.0;7.172671106281293;10.0;-0.01265384596077375;-0.0051203215184786365;0.007579463393482252
15.0;-2.1157806607859553;-2.139564473356284;-2.1331778494177875;10.0;10.0;10.0;-2.740173286931913;-2.771247199414234;-2.755344858351125;10.0;7.1764842224795915;10.0;-0.012656040610369604;-0.005122516168074491;0.007577268743886398
16.0;-2.1171806284102015;-2.14096444098053;-2.1345778170420338;10.0;10.0;10.0;-2.74144133068751;-2.772515243169831;-2.756612902106722;10.0;7.18040933802427;10.0;-0.012658316802924879;-0.005124792360629765;0.007574992551331123
17.0;-2.11858824871955;-2.142372061289879;-2.1359854373513825;10.0;10.0;10.0;-2.7427058473746087;-2.7737797598569296;-2.7578774187938206;10.0;7.1843239827734715;10.0;-0.012660365025693362;-0.0051268405833982495;0.007572944328562639
18.0;-2.1208448127721646;-2.1446286253424933;-2.138242001403997;10.0;10.0;10.0;-2.7439361855241047;-2.7750100980064256;-2.7591077569433167;10.0;7.188257587293154;10.0;-0.012662411501139987;-0.0051288870588448755;0.007570897853116013
19.0;-2.123950200119131;-2.1477340126894595;-2.141347388750963;10.0;10.0;10.0;-2.7451324210947368;-2.7762063335770577;-2.7603039925139488;10.0;7.192204056106924;10.0;-0.012664372527437238;-0.005130848085142126;0.007568936826818762
20.0;-2.1266531557668134;-2.150436968337142;-2.1440503443986456;9.965782215012943;9.840897965986436;9.883837378940916;-2.746336148569628;-2.777410061051949;-2.76150771998884;9.977672206691487;6.90264208096069;9.967281434886706;-0.01266575175931491;-0.005132227317019799;0.007567557594941089
21.0;-2.128955819600115;-2.1527396321704435;-2.146353008231947;9.916460180440875;9.639522552815375;9.725135636741717;-2.7475472875091773;-2.7786211999914983;-2.7627188589283893;9.955336989971384;6.613017222674038;9.919050899959997;-0.012666514174518974;-0.005132989732223862;0.007566795179737026
22.0;-2.1316851009007842;-2.155468913471113;-2.1490822895326165;9.918706305064406;9.641775760434168;9.72738884436051;-2.748736582346109;-2.77981049482843;-2.763908153765321;9.959123101058651;6.616805389269255;9.922879259089441;-0.012666958881928373;-0.005133434439633261;0.007566350472327627
23.0;-2.1339755388154265;-2.157759351385755;-2.1513727274472587;10.0;9.927006179145978;10.0;-2.749941925600354;-2.781015838082675;-2.765113497019566;10.0;6.902829498865366;10.0;-0.01266671738153757;-0.005133192939242459;0.007566591972718429
24.0;-2.135826852503813;-2.159610665074142;-2.1532240411356454;10.0;10.0;10.0;-2.7511633318392237;-2.7822372443215446;-2.7663349032584357;10.0;7.188833419329869;10.0;-0.012665846953738343;-0.005132322511443232;0.007567462400517656
25.0;-2.1376603679073543;-2.161444180477683;-2.1550575565391865;10.0;10.0;10.0;-2.7523826204980573;-2.783456532980378;-2.7675541919172693;10.0;7.192533082572102;10.0;-0.012664624190688846;-0.005131099748393736;0.007568685163567152
26.0;-2.138653177283011;-2.1624369898533398;-2.1560503659148433;9.928846686106457;9.815329712939818;9.842608112258386;-2.7536286704232498;-2.7847025829055707;-2.7688002418424618;9.977629865415297;6.90282241948436;9.9285934112834;-0.012662858711874553;-0.005129334269579443;0.007570450642381445
27.0;-2.13919819494396;-2.1629820075142887;-2.1565953835757923;10.0;10.0;10.0;-2.7548910820073513;-2.7859649944896723;-2.7700626534265633;10.0;7.188887433444868;10.0;-0.01266078313280638;-0.0051272586905112705;0.007572526221449618
28.0;-2.139296662137984;-2.1630804747083126;-2.156693850769816;10.0;10.0;10.0;-2.7561697737211515;-2.7872436862034724;-2.7713413451403635;10.0;7.474931402464445;10.0;-0.012658527567531138;-0.005125003125236028;0.007574781786724861
29.0;-2.139379242739076;-2.1631630553094046;-2.156776431370908;10.0;10.0;10.0;-2.757446309439545;-2.788520221921866;-2.772617880858757;10.0;7.4786354676776945;10.0;-0.01265641552967474;-0.0051228910873796305;0.007576893824581258
30.0;-2.1398642453307133;-2.163648057901042;-2.1572614339625455;10.0;10.0;10.0;-2.7587086983724305;-2.7897826108547514;-2.7738802697916425;10.0;7.764578214056395;10.0;-0.012654697462479622;-0.005121173020184512;0.0075786118917763766
31.0;-2.1403595528783286;-2.1641433654486573;-2.157756741510161;9.952485321829043;9.902849150026913;9.876572404109004;-2.7599672475137003;-2.791041159996021;-2.7751388189329123;9.977617382846924;7.47497265645578;9.951722068037277;-0.01265336565379382;-0.005119841211498709;0.007579943700462179
