row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
0.0;-5.3667227092805465;-5.578017327226587;-5.611711093187393;-5.316098301969965;-5.606349272120186;-5.596559575171936;7.241589746313334;-4.588770824406268;-4.556043788215509;7.244912083353834;-4.58512234273763;-4.547730786016103;-0.3098218739998109;0.16105934953113557;0.1396586617496121
1.0;-5.363066416143323;-5.587984083856945;-5.62167784981775;-5.312441984410638;-5.616316029610011;-5.606526332661761;7.269037599539895;-4.5613231302829185;-4.5285960750312455;7.272352395699527;-4.557682189632243;-4.520290613833377;-0.29783178802289983;0.17471270579987547;0.15331089589345534
2.0;-5.359410113611801;-5.597950840817909;-5.631644606778714;-5.308785658582452;-5.626282787390834;-5.616493090442584;7.2964421034816755;-4.533918778864078;-4.501191705339808;7.2997480920113995;-4.530286645996054;-4.4928950519062925;-0.2856054712911971;0.18842630490747003;0.16702331848904342
3.0;-5.355753802118895;-5.607917598094243;-5.6416113640550485;-5.305129324866461;-5.636249545449247;-5.626459848500997;7.3237960144802985;-4.506565014196548;-4.473837923141467;7.327091735063671;-4.5029431494447385;-4.465551537803815;-0.2731658906706338;0.20219405071738417;0.1807898338673764
4.0;-5.352097482077571;-5.617884355671414;-5.65157812163222;-5.301472983626159;-5.646216303772456;-5.636426606824206;7.351090996107327;-4.479270173087086;-4.446543065197655;7.3543747722942285;-4.475660252920237;-4.438268624422384;-0.260538712859844;0.21600902229504612;0.19460351855253094
5.0;-5.371728363077915;-5.637515236671758;-5.671209002632564;-5.321103864626503;-5.6658471847728;-5.65605748782455;7.3673613742063315;-4.504388539103196;-4.471661431213766;7.370645150393233;-4.500778618936348;-4.463386990438495;-0.2682132505250755;0.20833448462981471;0.18692898088729953
6.0;-5.391359244078259;-5.657146117672102;-5.690839883632908;-5.340734745626847;-5.685478065773144;-5.675688368824894;7.383631752305336;-4.529506905119308;-4.496779797229878;7.386915528492237;-4.5258969849524595;-4.488505356454606;-0.2752385076604883;0.201309227494402;0.17990372375188682
7.0;-5.410989673252837;-5.666293364193272;-5.710470312807486;-5.360365081233154;-5.694625315587183;-5.695318704431202;7.39990213040434;-4.5546244681037935;-4.521897193915125;7.403185906591241;-4.551014547936945;-4.513622753139853;-0.28166607698172136;0.194881658173169;0.1734761544306538
8.0;-5.4073333294809345;-5.676260122605574;-5.720437071219788;-5.356708719105231;-5.704592074645473;-5.705285463489491;7.4272123400876175;-4.52731437988528;-4.494587091144816;7.4304846361748185;-4.523715939974999;-4.486324130607319;-0.26912008629214734;0.208674855955276;0.18726805526709095
9.0;-5.403676978648129;-5.686226881266364;-5.730403829880578;-5.353052350762309;-5.7145588339224815;-5.7152522227665;7.454456520071439;-4.50007031662934;-4.467343013904564;7.457715486601604;-4.496485206449841;-4.459093383077033;-0.25640546411635984;0.22250994538991947;0.20110178370283993
10.0;-5.423307859648473;-5.705857762266708;-5.750034710880922;-5.372683231762653;-5.734189714922826;-5.734883103766844;7.470726898170443;-4.525188682645451;-4.492461379920676;7.473985864700608;-4.521603572465953;-4.484211749093145;-0.26456030308287365;0.21435510642340574;0.1929469447363262
11.0;-5.442938740648817;-5.725488643267052;-5.7696655918812665;-5.392314112762997;-5.75382059592317;-5.754513984767188;7.486997276269447;-4.550307048661563;-4.5175797459367875;7.490256242799612;-4.546721938482064;-4.509330115109257;-0.2720285223828849;0.20688688712339456;0.18547872543631502
12.0;-5.462569621649161;-5.7451195242673965;-5.7892964728816105;-5.411944993763341;-5.773451476923514;-5.774144865767532;7.503267654368451;-4.5754254146776745;-4.542698111952899;7.506526620898616;-4.571840304498176;-4.534448481125368;-0.27886372248685587;0.20005168701942366;0.17864352533234412
13.0;-5.482200044764969;-5.764749947383205;-5.798443719616001;-5.431575410292789;-5.793081893452962;-5.783292112733711;7.519538032467455;-4.600542966893887;-4.567815652463148;7.52279699899762;-4.596957856714388;-4.559566021635617;-0.28511655921602147;0.19379885029025815;0.1723906886031786
