x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.1.00.fitness
0	0	-1.568e-03	-7.604e-04	-5.590e-04	-5.556e-04	-5.274e-04
0	1	nan	7.600e-03	7.705e-03	7.705e-03	7.800e-03
0	2	nan	2.388e-02	2.389e-02	2.422e-02	2.441e-02
0	3	nan	4.853e-02	4.935e-02	4.936e-02	4.944e-02
0	4	nan	9.068e-02	9.068e-02	9.099e-02	9.114e-02
0	5	nan	9.179e-02	9.271e-02	9.305e-02	9.305e-02
0	6	nan	8.992e-02	8.992e-02	9.106e-02	9.113e-02
0	7	nan	nan	nan	9.303e-02	9.303e-02
0	8	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan
1	4	nan	nan	nan	9.075e-02	9.075e-02
1	5	nan	1.743e-01	1.743e-01	1.743e-01	1.745e-01
1	6	nan	1.922e-01	1.922e-01	1.922e-01	1.927e-01
1	7	nan	1.280e-01	1.828e-01	1.828e-01	1.865e-01
1	8	nan	1.737e-01	1.911e-01	1.911e-01	1.911e-01
1	9	nan	1.824e-01	1.909e-01	1.909e-01	1.910e-01
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan
2	6	nan	2.911e-01	2.911e-01	2.911e-01	2.911e-01
2	7	nan	2.157e-01	2.577e-01	2.907e-01	2.907e-01
2	8	nan	nan	2.903e-01	2.903e-01	2.905e-01
2	9	nan	2.898e-01	2.908e-01	2.912e-01	2.913e-01
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan
3	5	nan	3.872e-01	3.910e-01	3.911e-01	3.912e-01
3	6	nan	3.140e-01	3.218e-01	3.236e-01	3.912e-01
3	7	nan	3.152e-01	3.152e-01	3.828e-01	3.911e-01
3	8	nan	nan	3.898e-01	3.898e-01	3.898e-01
3	9	nan	3.827e-01	3.912e-01	3.912e-01	3.912e-01
4	0	nan	nan	4.926e-01	4.928e-01	4.934e-01
4	1	nan	4.908e-01	4.908e-01	4.911e-01	4.912e-01
4	2	nan	4.772e-01	4.819e-01	4.828e-01	4.829e-01
4	3	nan	4.615e-01	4.660e-01	4.662e-01	4.913e-01
4	4	nan	4.143e-01	4.402e-01	4.410e-01	4.897e-01
4	5	nan	nan	4.568e-01	4.568e-01	4.618e-01
4	6	nan	nan	4.822e-01	4.822e-01	4.822e-01
4	7	nan	4.395e-01	4.892e-01	4.911e-01	4.911e-01
4	8	nan	4.412e-01	4.412e-01	4.822e-01	4.822e-01
4	9	nan	4.899e-01	4.912e-01	4.912e-01	4.913e-01
5	0	nan	4.995e-01	4.997e-01	4.997e-01	4.997e-01
5	1	nan	nan	5.077e-01	5.077e-01	5.080e-01
5	2	nan	nan	5.146e-01	5.244e-01	5.246e-01
5	3	nan	5.312e-01	5.312e-01	5.496e-01	5.496e-01
5	4	nan	nan	5.824e-01	5.829e-01	5.914e-01
5	5	nan	nan	nan	5.497e-01	5.497e-01
5	6	nan	nan	5.323e-01	5.663e-01	5.746e-01
5	7	nan	nan	nan	5.558e-01	5.829e-01
5	8	nan	5.657e-01	5.657e-01	5.829e-01	5.912e-01
5	9	nan	5.913e-01	5.913e-01	5.913e-01	5.913e-01
6	0	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan
6	5	nan	nan	6.660e-01	6.747e-01	6.748e-01
6	6	nan	nan	6.913e-01	6.914e-01	6.914e-01
6	7	nan	nan	6.246e-01	6.913e-01	6.913e-01
6	8	nan	6.162e-01	6.912e-01	6.912e-01	6.912e-01
6	9	nan	6.829e-01	6.914e-01	6.914e-01	6.914e-01
7	0	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan
7	6	nan	7.912e-01	7.912e-01	7.914e-01	7.914e-01
7	7	nan	nan	nan	7.580e-01	7.914e-01
7	8	nan	7.329e-01	7.496e-01	7.747e-01	7.914e-01
7	9	nan	7.829e-01	7.914e-01	7.914e-01	7.914e-01
8	0	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan
8	5	nan	8.664e-01	8.914e-01	8.914e-01	8.915e-01
8	6	nan	nan	8.165e-01	8.746e-01	8.914e-01
8	7	nan	8.579e-01	8.831e-01	8.914e-01	8.915e-01
8	8	nan	8.163e-01	8.830e-01	8.831e-01	8.832e-01
8	9	nan	8.081e-01	8.331e-01	8.414e-01	8.414e-01
9	0	nan	9.997e-01	9.999e-01	9.999e-01	1.000e+00
9	1	nan	9.915e-01	9.915e-01	9.915e-01	9.916e-01
9	2	nan	9.831e-01	9.831e-01	9.832e-01	9.832e-01
9	3	nan	9.664e-01	9.832e-01	9.832e-01	9.832e-01
9	4	nan	9.413e-01	9.581e-01	9.664e-01	9.664e-01
9	5	nan	9.497e-01	9.497e-01	9.498e-01	9.498e-01
9	6	nan	9.163e-01	9.248e-01	9.248e-01	9.331e-01
9	7	nan	nan	nan	9.081e-01	9.081e-01
9	8	nan	nan	nan	nan	nan
9	9	nan	nan	nan	nan	nan
