row;0;1;2;3;4;5;6;7;8
0.0;-0.0023989831155634307;0.014196394962587264;-0.01981410096357906;-0.009442053754390943;-0.004885706191618593;0.005617720601937375;0.006344812881529872;0.01994593140233643;-0.011300064763748612
1.0;-0.016370427958794835;0.00893240809130474;-0.025078087834861585;-0.02339193658279423;-0.010344858454169143;1.5856833938682376E-4;-0.00763195333971808;0.010335538211072132;-0.02085179278837686
2.0;-0.03033632877892857;0.003618240314124491;-0.030392255612041834;-0.037336939194546656;-0.015848183276646534;-0.005344756483090565;-0.02158636823086742;6.502245396443791E-4;-0.030481705419414595
3.0;-0.04429685609232676;-0.0017445649652968274;-0.03575506089146315;-0.051277212035232916;-0.021394318923070286;-0.010890892129514315;-0.035518670040056176;-0.009110259989314333;-0.040189893536546985
4.0;-0.058252175284680574;-0.007154510782812571;-0.04116500670897889;-0.06521290096797763;-0.026981945134920297;-0.016478518341364327;-0.0494290979606388;-0.018946101719849687;-0.049976390898701255
5.0;-0.07204750254677822;-0.02094983804491022;-0.054960333971076546;-0.07900488339950518;-0.040773927566447835;-0.030270500772891864;-0.06332776723885941;-0.02843338410793031;-0.05945538819385094
6.0;-0.0857772743001335;-0.03467960979826551;-0.06869010572443184;-0.09273136126021209;-0.054500405427154744;-0.04399697863359878;-0.07721312018655778;-0.03782172398818798;-0.06883570607097095
7.0;-0.09955159402407196;-0.041727845560120116;-0.0824644254483703;-0.10656553327284604;-0.06100689704150455;-0.057831150646232725;-0.09107158224983576;-0.04744292247195938;-0.07859764584565784
8.0;-0.11355752053092948;-0.04667972674801409;-0.08741630663626426;-0.12055155388451022;-0.06613895349849638;-0.06296320710322456;-0.1048882166158351;-0.057771945052923226;-0.08888245919168422
9.0;-0.12755684586928973;-0.05169135743718927;-0.09242793732543944;-0.13453158282444544;-0.07132524268682865;-0.06814949629155682;-0.11868312540800577;-0.06817152494893143;-0.09924049210662034
10.0;-0.14109615857867278;-0.06523067014657233;-0.10596725003482249;-0.14806740989038206;-0.08486106975276525;-0.08168532335749343;-0.13253034654626988;-0.07730034321886405;-0.10836123627203224
11.0;-0.15457535514038198;-0.07870986670828153;-0.1194464465965317;-0.16154321585414977;-0.09833687571653298;-0.09516112932126115;-0.14637426650556032;-0.08630821766043004;-0.11736129171034734
12.0;-0.1679961512437657;-0.09213066281166526;-0.13286724269991543;-0.1749607229317954;-0.11175438279417861;-0.10857863639890679;-0.16021659097083443;-0.09519055530201588;-0.12623606096319562
13.0;-0.18175862300600262;-0.10589313457390219;-0.14002271853648665;-0.18864317881137296;-0.12543683867375616;-0.11645836417442529;-0.1739811927343655;-0.10522145256554218;-0.1361022462152047
14.0;-0.19548891247654385;-0.11962342404444341;-0.14746948763116757;-0.20229534592576348;-0.13908900578814667;-0.1246122462326429;-0.18773614757001456;-0.11523204411645638;-0.1459543760586368
15.0;-0.20918776800097047;-0.13332227956887002;-0.15520077644450464;-0.2159179679847586;-0.15271162784714176;-0.13303355099426972;-0.20148250490912353;-0.12522066291111858;-0.15579041042066163
16.0;-0.22278849296879277;-0.14194178261578866;-0.16880150141232694;-0.22957227566351682;-0.16084613490326954;-0.14668785867302794;-0.21522030241988355;-0.13505709544886024;-0.16573265926219366
17.0;-0.23636096531006437;-0.15081701013739468;-0.18237397375359854;-0.24319698528558364;-0.16924854439620557;-0.16031256829509477;-0.22895153889318162;-0.1448722116538223;-0.17564986494929047
18.0;-0.2499059088773965;-0.15994141028873182;-0.19591891732093067;-0.2567928353559301;-0.1779121718573244;-0.17390841836544121;-0.24267710410087875;-0.15466381648505428;-0.18554005727561135
19.0;-0.26342403744495146;-0.16930852244843547;-0.20943704588848563;-0.27036055703080486;-0.18683039933387488;-0.18747614004031599;-0.25639783875153266;-0.16442969385847023;-0.19540123077557633
20.0;-0.27757515081604034;-0.17294626618718248;-0.21307478962723264;-0.2844935741672762;-0.1906319384664087;-0.1912776791728498;-0.26990170063245145;-0.1761598105690352;-0.20710882509830691
21.0;-0.2917153317899112;-0.1766829629040047;-0.21681148634405487;-0.2986161838921853;-0.19452767874692528;-0.1951734194533664;-0.28338565693795176;-0.18794564784281298;-0.21887388517295348
22.0;-0.3052848710740965;-0.19025250218819;-0.22571326199849626;-0.3121164208929542;-0.2080279157476942;-0.20470247448622161;-0.29707500767937867;-0.19797552050214692;-0.22877737855082012
23.0;-0.3182566540823538;-0.2032242851964473;-0.23868504500675355;-0.32508463099084495;-0.22099612584558492;-0.21767068458411234;-0.31098820875646893;-0.20531928563402402;-0.23611213156842398
24.0;-0.33119061567243147;-0.21615824678652495;-0.25161900659683123;-0.3380152009134585;-0.23392669576819847;-0.2306012545067259;-0.3249102777108065;-0.2125033775971503;-0.24328757468922402
25.0;-0.3446941599526293;-0.22966179106672283;-0.2611181262786105;-0.3514522938487522;-0.2473637887034922;-0.24070184871822253;-0.33858379137157607;-0.2224995318218531;-0.2531658336497999
26.0;-0.35889396393864;-0.23285881889890697;-0.2643151541107946;-0.36563714790101415;-0.2506961336520386;-0.24403419366676887;-0.35193113886457905;-0.2348062254320944;-0.26546122468017364
27.0;-0.3717425117971828;-0.2457073667574498;-0.27716370196933743;-0.37848212034499634;-0.26354110609602077;-0.25687916611075107;-0.3658908925378861;-0.24148932330048414;-0.2721347845589135
