x	y	progress.rate.q.0.05.0.00.quality.fitness	progress.rate.q.0.05.0.10.quality.fitness	progress.rate.q.0.05.0.25.quality.fitness	progress.rate.q.0.05.0.50.quality.fitness	progress.rate.q.0.05.1.00.quality.fitness
0	0	-3.720e+00	2.481e+02	3.682e+02	4.203e+02	4.303e+02
0	1	nan	nan	4.468e+01	3.495e+02	3.922e+02
0	2	nan	nan	8.122e+01	3.600e+02	3.729e+02
0	3	nan	nan	1.027e+02	3.550e+02	3.645e+02
0	4	nan	1.076e+02	1.089e+02	1.921e+02	3.564e+02
0	5	nan	nan	1.392e+02	3.055e+02	3.451e+02
0	6	nan	1.027e+02	1.542e+02	3.243e+02	3.317e+02
0	7	nan	3.047e+02	3.047e+02	3.191e+02	3.215e+02
0	8	nan	1.429e+02	2.145e+02	2.609e+02	3.198e+02
0	9	nan	2.281e+02	2.282e+02	2.397e+02	2.575e+02
1	0	nan	3.922e+02	4.022e+02	4.203e+02	4.303e+02
1	1	nan	nan	nan	3.648e+02	4.012e+02
1	2	nan	nan	nan	3.692e+02	3.771e+02
1	3	nan	nan	7.551e+01	3.530e+02	3.622e+02
1	4	nan	nan	nan	1.921e+02	3.577e+02
1	5	nan	nan	1.391e+02	3.055e+02	3.451e+02
1	6	nan	1.553e+02	1.668e+02	3.231e+02	3.317e+02
1	7	nan	3.047e+02	3.047e+02	3.134e+02	3.293e+02
1	8	nan	2.157e+02	2.157e+02	2.453e+02	3.202e+02
1	9	nan	2.282e+02	2.346e+02	2.403e+02	2.575e+02
2	0	nan	3.191e+02	3.682e+02	4.002e+02	4.222e+02
2	1	nan	nan	nan	3.628e+02	4.012e+02
2	2	nan	nan	nan	3.654e+02	3.771e+02
2	3	nan	nan	nan	3.468e+02	3.702e+02
2	4	nan	nan	nan	3.225e+02	3.577e+02
2	5	nan	nan	nan	3.125e+02	3.451e+02
2	6	nan	nan	nan	3.127e+02	3.393e+02
2	7	nan	nan	nan	3.191e+02	3.293e+02
2	8	nan	nan	nan	2.177e+02	3.196e+02
2	9	nan	nan	2.464e+02	2.464e+02	2.530e+02
3	0	nan	3.922e+02	4.022e+02	4.203e+02	4.222e+02
3	1	nan	nan	nan	3.616e+02	3.892e+02
3	2	nan	nan	nan	3.682e+02	3.724e+02
3	3	nan	nan	nan	3.402e+02	3.702e+02
3	4	nan	nan	nan	3.341e+02	3.577e+02
3	5	nan	nan	nan	3.125e+02	3.463e+02
3	6	nan	nan	nan	3.146e+02	3.393e+02
3	7	nan	nan	3.047e+02	3.191e+02	3.293e+02
3	8	nan	nan	nan	2.155e+02	3.202e+02
3	9	nan	nan	nan	2.341e+02	2.540e+02
4	0	nan	nan	3.599e+02	4.203e+02	4.222e+02
4	1	nan	nan	nan	3.616e+02	3.922e+02
4	2	nan	nan	nan	3.654e+02	3.724e+02
4	3	nan	nan	nan	nan	3.700e+02
4	4	nan	nan	nan	3.289e+02	3.565e+02
4	5	nan	nan	nan	2.642e+02	3.488e+02
4	6	nan	nan	nan	3.300e+02	3.393e+02
4	7	nan	nan	3.047e+02	3.176e+02	3.502e+02
4	8	nan	nan	nan	2.464e+02	3.200e+02
4	9	nan	nan	nan	2.403e+02	2.437e+02
5	0	nan	nan	3.599e+02	4.203e+02	4.203e+02
5	1	nan	nan	nan	nan	3.360e+02
5	2	nan	nan	nan	3.600e+02	3.740e+02
5	3	nan	nan	nan	3.075e+02	3.702e+02
5	4	nan	nan	nan	2.885e+02	3.577e+02
5	5	nan	nan	nan	2.984e+02	3.411e+02
5	6	nan	nan	nan	3.069e+02	3.300e+02
5	7	nan	nan	nan	3.176e+02	3.215e+02
5	8	nan	nan	nan	2.609e+02	2.621e+02
5	9	nan	nan	nan	nan	nan
6	0	nan	nan	3.599e+02	4.203e+02	4.212e+02
6	1	nan	nan	nan	3.580e+02	4.012e+02
6	2	nan	nan	nan	3.564e+02	3.704e+02
6	3	nan	nan	nan	3.506e+02	3.824e+02
6	4	nan	nan	nan	3.521e+02	3.577e+02
6	5	nan	nan	nan	3.135e+02	3.411e+02
6	6	nan	nan	nan	3.168e+02	3.300e+02
6	7	nan	nan	nan	3.191e+02	3.215e+02
6	8	nan	nan	nan	nan	nan
6	9	nan	nan	nan	nan	nan
7	0	nan	nan	3.599e+02	3.922e+02	4.212e+02
7	1	nan	nan	nan	3.648e+02	3.815e+02
7	2	nan	nan	nan	3.692e+02	3.718e+02
7	3	nan	nan	nan	3.614e+02	3.692e+02
7	4	nan	nan	nan	nan	3.577e+02
7	5	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan
7	9	nan	nan	nan	nan	nan
8	0	nan	nan	nan	4.203e+02	4.203e+02
8	1	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan
8	8	nan	nan	nan	nan	nan
8	9	nan	nan	nan	nan	nan
9	0	nan	nan	nan	nan	nan
9	1	nan	nan	nan	nan	nan
9	2	nan	nan	nan	nan	nan
9	3	nan	nan	nan	nan	nan
9	4	nan	nan	nan	nan	nan
9	5	nan	nan	nan	nan	nan
9	6	nan	nan	nan	nan	nan
9	7	nan	nan	nan	nan	nan
9	8	nan	nan	nan	nan	nan
9	9	nan	nan	nan	nan	nan
