row;0;1;2;3;4;5;6;7;8
0.0;0.01804793974366572;-0.007064592994853807;0.005266544340467593;-0.005637396263280317;0.01844844309435886;-0.017269713371841768;-0.008751730455928258;-0.016559002970104146;-0.007035871370286256
1.0;0.005857130646832711;-0.010521756868764068;0.0018093804665573329;-0.017945313732544224;0.014735288931557636;-0.020982867534642992;-0.021069382696892437;-0.024670205967494745;-0.015032662623036664
2.0;-0.0063568498526236274;-0.014029571724567657;-0.0016984343892462563;-0.030274673061066966;0.010975264441451098;-0.02474289202474953;-0.03344070408422996;-0.03284380047666143;-0.023094370979596948
3.0;-0.018593662138383094;-0.017587295185967168;-0.005256157850645767;-0.04262515429591529;0.007169069017619023;-0.028549087448581607;-0.04586520056394196;-0.04107966484377586;-0.03122082322006227
4.0;-0.030852970262422785;-0.021194192895293295;-0.008863055559971893;-0.05499644137346996;0.0033173935518867703;-0.03240076291431386;-0.058342368674104306;-0.049377647066190807;-0.0394118161878593
5.0;-0.04339818018085525;-0.03373940281372576;-0.02140826547840436;-0.0676428922689772;-0.009329057343620458;-0.04504721380982109;-0.07084870537728913;-0.05744998375790466;-0.04738782174787645
6.0;-0.05610764892634001;-0.04644887155921052;-0.03411773422388912;-0.08045422517330238;-0.02214039024794564;-0.05785854671414627;-0.08338753199490115;-0.06541967525550106;-0.05526103589975187
7.0;-0.0685778022310453;-0.050516661325948724;-0.04658788752859441;-0.09324023550801083;-0.026898620251196083;-0.07064455704885472;-0.09599056784368884;-0.07371997525241535;-0.06326491977156769
8.0;-0.08073050137400639;-0.053890519643656765;-0.049961745846302454;-0.10549931015717956;-0.030505007601626208;-0.07425094439928484;-0.10869925073966018;-0.08248469549608436;-0.07193132890215591
9.0;-0.09290692742550657;-0.05731624323833288;-0.053387469440978566;-0.11778055187558578;-0.03415985053503629;-0.07790578733269493;-0.12146088946764418;-0.09131111836189236;-0.08066163149782403
10.0;-0.10606715810854792;-0.07047647392137421;-0.0665477001240199;-0.13105077543609858;-0.047430074095549106;-0.09117601089320775;-0.13411092492168997;-0.09904428097362686;-0.0882922690895213
11.0;-0.11939242784793444;-0.08380174366076074;-0.07987296986340643;-0.144485389793917;-0.060864688453367545;-0.10461062525102618;-0.14677119819934933;-0.1066413654944075;-0.0957875839471286
12.0;-0.13288167010087346;-0.09729098591369975;-0.09336221211634545;-0.15808295725585905;-0.07446225591530958;-0.11820819271296823;-0.15943731882683818;-0.11409610753902959;-0.10314159061993115
13.0;-0.14575690027880955;-0.11016621609163584;-0.0983154701348313;-0.17086101144625776;-0.0872403101057083;-0.1229490311699267;-0.17229258365516698;-0.12243838951140044;-0.11157175882768641
14.0;-0.15872153306672337;-0.12313084887954966;-0.10346415568322591;-0.18372909079715644;-0.100108389456607;-0.12788665800644738;-0.18517365530747076;-0.13074331685169283;-0.1199636730160659
15.0;-0.171774918406695;-0.13618423421952128;-0.10880684778272767;-0.19668662155672012;-0.11306592021617068;-0.13301981904321808;-0.19807785895976293;-0.13900755495660005;-0.12831396904909984
16.0;-0.18468282640209532;-0.1412089235435522;-0.12171475577812799;-0.2099016340971806;-0.11876191748836784;-0.14623483158367856;-0.21101317035305778;-0.14745460079342515;-0.13648658700203326
17.0;-0.1976799079783013;-0.14642853975656664;-0.13471183735433395;-0.22320318672487563;-0.12464708502629387;-0.1595363842113736;-0.2239669289625079;-0.15585313773124848;-0.1446138075103572
18.0;-0.21076548789767335;-0.1518416068387478;-0.147797417273706;-0.23659038119921327;-0.13071945934207974;-0.17292357868571123;-0.23693665775359227;-0.16419999404440494;-0.15269254304754695
19.0;-0.2239388235359421;-0.15744650146806236;-0.16097075291197474;-0.2500622614611876;-0.13697695056105602;-0.18639545894768558;-0.2499199647647045;-0.17249211044850885;-0.16071981489162318
20.0;-0.2358030092096648;-0.1601896905619892;-0.16371394200590159;-0.2620187795450104;-0.13992197151247426;-0.18934047989910383;-0.263388326214017;-0.18269117906320478;-0.17084301922308817
21.0;-0.2476949787820728;-0.1629936132149549;-0.16651786465886728;-0.27400181494391646;-0.1429249573643336;-0.19234346575096317;-0.27690934294605996;-0.19294855351978235;-0.18102621734925542
22.0;-0.26102471938059135;-0.17632335381347342;-0.17246464902780695;-0.2872500735869577;-0.15617321600737488;-0.1981121365581732;-0.2900151195243998;-0.2013143971419419;-0.18946299811109588
23.0;-0.27569233651367364;-0.1909909709465557;-0.18713226616088924;-0.302014106733518;-0.17093724915393516;-0.21287616970473347;-0.302614403038886;-0.20754529882819983;-0.19560336932432118
24.0;-0.29049278073364004;-0.20579141516652208;-0.2019327103808556;-0.3169070706512118;-0.18583021307162897;-0.2277691336224273;-0.31518622571412175;-0.2135983871193712;-0.20156924265880843
25.0;-0.3040276794779127;-0.21932631391079474;-0.20832795536716853;-0.3303633681554306;-0.19928651057584776;-0.2339925620790514;-0.3283312202781406;-0.22185474953290385;-0.20989361819141347
26.0;-0.315765343642444;-0.22179293629120214;-0.21079457774757593;-0.3421908498214461;-0.201949467408482;-0.23665551891168563;-0.3421915804975467;-0.23275362292718987;-0.22072344631061677
27.0;-0.33082905600850365;-0.23685664865726178;-0.22585829011363556;-0.35733801582950836;-0.21709663341654428;-0.2518026849197479;-0.35469084736976314;-0.23841567553553308;-0.22630601285423066
28.0;-0.34600806408326423;-0.25203565673202233;-0.24103729818839614;-0.3725962624437613;-0.2323548800307972;-0.26706093153400084;-0.367160668955436;-0.24390947782320574;-0.2317240288334187
29.0;-0.3597049679529309;-0.2587850330070772;-0.2547342020580628;-0.3865706336876237;-0.23971077957830284;-0.2810353027778632;-0.3803009686042217;-0.25201728022954806;-0.23959156476077345
30.0;-0.3750710924467798;-0.2741511575009261;-0.2701003265519117;-0.4020107028573051;-0.25515084874798427;-0.29647537194754464;-0.3927135962855285;-0.25721716877089;-0.2447201593337655
31.0;-0.38661290993169456;-0.27618967344408496;-0.27213884249507053;-0.4136363144988721;-0.2573725325545803;-0.2986970557541407;-0.40692414480013933;-0.2687896334390352;-0.25623217005075977
32.0;-0.4004939381361113;-0.28334153197268097;-0.28601987069948726;-0.4277854673633237;-0.26511049186962193;-0.31284620861859225;-0.4200678257808572;-0.27674411564539875;-0.26395459826740775
33.0;-0.41606051371654185;-0.29890810755311154;-0.3015864462799178;-0.4434194915028377;-0.28074451600913597;-0.3284802327581063;-0.4323951125922368;-0.2815769096245979;-0.2687215845294391
34.0;-0.42753737847840556;-0.3008046416209103;-0.3034829803477166;-0.45497572685799825;-0.28281454835622727;-0.3305502651051976;-0.4467981868017102;-0.293482101716663;-0.2805715767967016
35.0;-0.43904691886478137;-0.302772602200622;-0.3054509409274283;-0.46656369832491396;-0.28495395350944547;-0.3326896702584158;-0.4612490792388192;-0.30543578147652234;-0.2924712163922251
36.0;-0.45314821354617507;-0.31040594704743674;-0.319552235608822;-0.4809207168287829;-0.2931462918238738;-0.3470466887622847;-0.47437737942829494;-0.3131713429337811;-0.29998492548565653
37.0;-0.46891557127546407;-0.32617330477672574;-0.335319593338111;-0.4967478500352782;-0.3089734250303691;-0.36287382196878004;-0.4865817209870329;-0.31755448240233175;-0.3043087516229011
38.0;-0.4830819783847885;-0.34033971188605017;-0.3430952691634064;-0.5108532230612334;-0.3230787980563243;-0.37051608177684653;-0.49982534018583585;-0.32544665099674613;-0.31225292004881255
39.0;-0.498975865886649;-0.35623359938791066;-0.3589891566652669;-0.5267991821822658;-0.33902475717735675;-0.386462040897879;-0.5119768399081985;-0.32959427178584666;-0.3163485003799466
40.0;-0.5132897888710454;-0.36433173406641883;-0.3733030796496633;-0.541354645582545;-0.3476508814398475;-0.4010175042981582;-0.5251015642776307;-0.33713868938042313;-0.3236832537900876
41.0;-0.5276738446242251;-0.37258317381926864;-0.38768713540284294;-0.5559752050036318;-0.3564193008160549;-0.41563806371924505;-0.5382078579188883;-0.34458763048413066;-0.33092631435749664
42.0;-0.5389481159840112;-0.37403685361073596;-0.38914081519431026;-0.5673184865300493;-0.3580238317561264;-0.41724259465931657;-0.5531051575055197;-0.35735404204192;-0.3436493353772783
43.0;-0.555013835192736;-0.3901025728194607;-0.405206534403035;-0.5834282313378929;-0.37413357656396995;-0.4333523394671601;-0.5651426829145588;-0.3610901026756043;-0.3473407194246508
44.0;-0.5694570898293126;-0.40454582745603745;-0.41358737856095235;-0.5978188721741301;-0.38852421740020715;-0.4416181737272452;-0.5783722040278845;-0.3687198242877382;-0.3550153670804678
45.0;-0.5839678433547162;-0.419056580981441;-0.4221157703253466;-0.6122781009653657;-0.4029834461914428;-0.4500339362123584;-0.5915789598103365;-0.3762487840428746;-0.36258848128001814
46.0;-0.5951402543092809;-0.42028760141885946;-0.42334679076276505;-0.6235185340392573;-0.40436315797872796;-0.45141364799964356;-0.6067036252353566;-0.38940749508175104;-0.37570651070940436
47.0;-0.6097525025645611;-0.4348998496741398;-0.43209704254180004;-0.6380811568969474;-0.4189257808364181;-0.4600554223094615;-0.6198670715730038;-0.39676684134283235;-0.3831086738859562
48.0;-0.6244112511196629;-0.44375174768851816;-0.4467557910969017;-0.6529552813695974;-0.4282484747658012;-0.4749295467821114;-0.6329205464624325;-0.4038755448086316;-0.390028353296954
49.0;-0.6391327877272718;-0.4527408957676578;-0.46147732770451066;-0.6678870863588983;-0.43769725406221965;-0.4898613517714123;-0.645949384685817;-0.4108817708729689;-0.3968493386486235
50.0;-0.6538633523311408;-0.4674714603715268;-0.47048621031947174;-0.6825729240120878;-0.45238309171540925;-0.4987724645618256;-0.6590902182958291;-0.41809552594236654;-0.4041018207665076
51.0;-0.668655046085761;-0.48226315412614695;-0.4796287167619664;-0.6973209291839502;-0.4671310968872716;-0.507819470975678;-0.6722039922303982;-0.42520406513963616;-0.4112483475171864
