n.evals.q.1.0.	train._.me.hebbian.synapse.best.quality.consistency	train._.me.hebbian.synapse.best.quality.consistency.min	train._.me.hebbian.synapse.best.quality.consistency.max	train._.me.freeForm.best.quality.consistency	train._.me.freeForm.best.quality.consistency.min	train._.me.freeForm.best.quality.consistency.max
1.000e+02	6.035e+00	3.210e-01	9.653e+01	0.000e+00	0.000e+00	8.342e-04
2.000e+02	1.453e+02	6.387e+01	1.758e+02	0.000e+00	0.000e+00	1.090e-09
3.000e+02	1.693e+02	4.482e+01	1.854e+02	4.441e-16	0.000e+00	7.026e-07
4.000e+02	1.693e+02	1.412e+02	1.854e+02	4.441e-16	0.000e+00	7.026e-07
5.000e+02	1.854e+02	1.453e+02	2.050e+02	0.000e+00	0.000e+00	7.026e-07
6.000e+02	1.854e+02	1.453e+02	2.050e+02	0.000e+00	0.000e+00	7.026e-07
7.000e+02	1.834e+02	1.607e+02	2.050e+02	4.441e-16	0.000e+00	1.437e-04
8.000e+02	1.854e+02	1.640e+02	2.050e+02	0.000e+00	0.000e+00	7.279e-02
9.000e+02	1.854e+02	1.640e+02	2.050e+02	4.441e-16	0.000e+00	7.279e-02
1.000e+03	1.834e+02	1.640e+02	1.982e+02	4.441e-16	0.000e+00	7.279e-02
1.100e+03	1.834e+02	1.639e+02	1.982e+02	4.441e-16	0.000e+00	7.279e-02
1.200e+03	1.807e+02	1.607e+02	1.854e+02	3.553e-15	0.000e+00	7.279e-02
1.300e+03	1.807e+02	1.607e+02	1.953e+02	2.071e-02	0.000e+00	1.009e+01
1.400e+03	1.807e+02	1.356e+02	1.953e+02	1.670e-02	0.000e+00	1.238e+01
1.500e+03	1.834e+02	1.005e+02	1.982e+02	1.670e-02	0.000e+00	1.238e+01
1.600e+03	1.834e+02	1.005e+02	1.953e+02	1.755e-02	0.000e+00	2.817e+01
1.700e+03	1.834e+02	1.005e+02	1.953e+02	1.970e-02	0.000e+00	3.201e+01
1.800e+03	1.834e+02	1.005e+02	1.953e+02	1.970e-02	0.000e+00	3.201e+01
1.900e+03	1.607e+02	3.269e+01	1.953e+02	1.970e-02	0.000e+00	3.201e+01
2.000e+03	1.607e+02	3.269e+01	1.953e+02	3.396e-02	0.000e+00	3.201e+01
