n.evals.q.1.0.	train._.me.hebbian.synapse.best.quality.increase	train._.me.hebbian.synapse.best.quality.increase.min	train._.me.hebbian.synapse.best.quality.increase.max	train._.me.freeForm.best.quality.increase	train._.me.freeForm.best.quality.increase.min	train._.me.freeForm.best.quality.increase.max
1.000e+02	5.956e+00	1.811e+00	6.807e+01	0.000e+00	-3.409e-03	8.702e-04
2.000e+02	6.708e+01	2.381e+01	2.036e+02	2.858e-02	1.197e-03	9.443e-02
3.000e+02	8.992e+01	4.185e+01	2.036e+02	1.105e-01	1.172e-02	9.367e-01
4.000e+02	2.036e+02	8.992e+01	2.806e+02	2.197e-02	4.312e-03	2.443e-01
5.000e+02	2.066e+02	1.028e+02	2.856e+02	1.538e-02	1.815e-03	9.367e-01
6.000e+02	2.806e+02	1.410e+02	2.933e+02	1.327e-02	3.081e-06	9.367e-01
7.000e+02	2.856e+02	2.075e+02	3.164e+02	1.327e-02	3.081e-06	9.367e-01
8.000e+02	2.856e+02	2.075e+02	3.164e+02	1.131e+00	2.154e-03	1.654e+01
9.000e+02	2.856e+02	2.075e+02	3.164e+02	1.131e+00	2.154e-03	1.654e+01
1.000e+03	2.856e+02	2.075e+02	3.565e+02	1.156e+00	1.815e-03	1.654e+01
1.100e+03	3.164e+02	2.163e+02	3.565e+02	1.131e+00	1.815e-03	1.654e+01
1.200e+03	3.249e+02	2.163e+02	3.801e+02	1.131e+00	1.815e-03	1.654e+01
1.300e+03	3.565e+02	2.856e+02	3.811e+02	3.599e+00	2.154e-03	8.823e+00
1.400e+03	3.713e+02	2.856e+02	3.811e+02	2.594e+00	1.607e-01	1.005e+01
1.500e+03	3.801e+02	2.856e+02	3.969e+02	2.594e+00	1.607e-01	1.151e+01
1.600e+03	3.801e+02	3.164e+02	3.969e+02	1.131e+00	7.651e-02	1.151e+01
1.700e+03	3.801e+02	3.164e+02	3.969e+02	2.594e+00	1.607e-01	3.415e+01
1.800e+03	3.801e+02	3.164e+02	3.969e+02	1.131e+00	4.939e-02	1.125e+01
1.900e+03	3.811e+02	3.164e+02	4.057e+02	1.131e+00	4.939e-02	1.125e+01
2.000e+03	3.811e+02	3.164e+02	4.057e+02	1.131e+00	4.939e-02	1.125e+01
2.100e+03	3.811e+02	3.164e+02	4.057e+02	2.594e+00	4.939e-02	1.125e+01
2.200e+03	3.811e+02	3.164e+02	4.057e+02	8.809e+00	4.939e-02	1.125e+01
2.300e+03	3.933e+02	3.713e+02	4.057e+02	8.809e+00	4.939e-02	1.125e+01
2.400e+03	3.933e+02	3.800e+02	4.057e+02	8.809e+00	4.939e-02	1.125e+01
2.500e+03	3.933e+02	3.800e+02	4.057e+02	8.837e+00	1.607e-01	1.151e+01
2.600e+03	3.933e+02	3.800e+02	4.057e+02	8.837e+00	1.607e-01	1.151e+01
2.700e+03	3.933e+02	3.800e+02	4.057e+02	8.837e+00	1.607e-01	1.151e+01
2.800e+03	3.933e+02	3.800e+02	4.057e+02	1.102e+01	1.607e-01	1.151e+01
2.900e+03	3.933e+02	3.800e+02	4.057e+02	1.102e+01	1.607e-01	1.151e+01
3.000e+03	3.933e+02	3.800e+02	4.530e+02	1.102e+01	1.607e-01	2.320e+01
3.100e+03	4.057e+02	3.801e+02	4.530e+02	1.102e+01	1.607e-01	2.690e+01
3.200e+03	4.057e+02	3.801e+02	4.530e+02	1.102e+01	1.607e-01	2.690e+01
3.300e+03	4.057e+02	3.801e+02	4.530e+02	1.863e+01	1.607e-01	3.136e+01
3.400e+03	4.057e+02	3.801e+02	4.530e+02	1.863e+01	1.607e-01	3.136e+01
3.500e+03	4.057e+02	3.801e+02	4.530e+02	1.863e+01	1.607e-01	3.136e+01
3.600e+03	4.165e+02	3.811e+02	4.530e+02	1.863e+01	1.607e-01	3.136e+01
3.700e+03	4.165e+02	3.811e+02	4.530e+02	2.657e+01	1.607e-01	3.136e+01
3.800e+03	4.165e+02	3.811e+02	4.530e+02	2.657e+01	1.607e-01	3.136e+01
3.900e+03	4.165e+02	3.791e+02	4.530e+02	2.657e+01	1.607e-01	3.136e+01
4.000e+03	4.198e+02	3.933e+02	4.530e+02	2.657e+01	1.607e-01	3.399e+01
