row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
0.0;0.005776517306284434;-0.005108642395838836;0.01560169598808039;-7.39192622170589E-4;0.01742674613115996;-0.004585279473775272;-0.01634489538782262;0.009406897995154439;-0.018571171156131203;-0.006456630405146133;-5.681284383897596E-4;0.018587726713053507;0.010956738943990612;-0.00834871053741331;-0.019183198068735776;-0.013523879724288927;-0.007070182039657254;0.006257749961709077;0.00999555819697627;-0.018986218553832757;-0.008319170718538329;-0.00911421984045953;-0.0012273363435314835;-0.0016083357372438725;-0.015845798732969846;0.006875685889844739;-0.005888287749998252;0.015209644934245006;-0.007065494905540773;0.011783757853287228;-0.011813883606890618;0.0012151520520484599
1.0;0.016879953414301485;0.005994793712178216;0.026705132096097442;0.010364243485846462;0.028530182239177013;0.0065181566342417795;-0.013956961736869573;-0.004802669076998178;-0.03278073822828382;-0.02066619747729875;-0.014777695510542376;0.004378159640900891;-0.0032528281281620046;-0.02735198538012733;-0.054225985512587435;-0.03240546632505338;-0.02556290662310547;5.471629014910419E-4;-0.012358655787602743;-0.04174090242948637;-0.0025485539193651164;-0.004902619949030073;0.002946751331716669;-0.0206173578341651;-0.029122243516603488;-0.006262824739012289;-0.03910656118291703;-0.0011699329624990581;-0.023039909276458617;-0.020886829549359286;-0.029140786754541365;-0.01574255971741251
2.0;0.02857851744442553;0.0094981173067108;0.030208455690630028;0.022062807515970506;0.040228746269301056;0.010021480228774363;-0.002258397706745527;-0.01915450982639208;-0.05155502996474111;-0.039440489213756036;-0.02912953625993628;-0.009973681108493011;-0.02202711986461929;-0.04170382612952123;-0.08872082352729367;-0.05007773694191535;-0.04342990500537889;-0.005056049829178325;-0.035455022716044185;-0.06463477928929734;0.0030000839636408413;-0.00101810619961989;0.006850527965693681;-0.03929426429005943;-0.042084634166604025;-0.019291363133704442;-0.07232996999705002;-0.01707898267290885;-0.03914937943269355;-0.05370793214248841;-0.04542426331627701;-0.03221746573733633
3.0;0.03977903648078409;0.02069863634306936;0.04140897472698859;0.03326332655232907;0.042798632938996696;0.012591366898470003;0.008942121329613034;-0.03655729563979603;-0.06895781577814505;-0.05684327502715999;-0.04653232207334023;-0.02383761351972621;-0.035891052275852486;-0.059106611942925186;-0.12275150011447561;-0.06792129257869037;-0.058149165494241595;-0.010713849338051614;-0.05793120715907824;-0.09035709988010628;0.00838960508932199;0.002740871038430787;0.010294792020826312;-0.057663599557595084;-0.055183022496588366;-0.03137239983010623;-0.10555755160084486;-0.03381229409931431;-0.05269911247962958;-0.08666551142469282;-0.06197516082194423;-0.04560169040323041
4.0;0.05145367747620394;0.032373277338489215;0.05308361572240844;0.036721813547304215;0.046257119933971844;0.016049853893445147;0.01240060832458818;-0.05111880494490026;-0.08351932508324929;-0.07140478433226422;-0.06496916166754713;-0.0422744531139331;-0.054327891870059375;-0.07754345153713207;-0.15617220303254672;-0.08464705857384076;-0.07485343685712986;-0.016128903431222003;-0.08101314303052777;-0.1134617817570541;0.01354822867371279;0.006174307758344558;0.013726007572885026;-0.07567755289517736;-0.06803143167331921;-0.04421415839936943;-0.13879092144484578;-0.05027612048401315;-0.06914134817659323;-0.11979107367513506;-0.07754521603963428;-0.06114914300974641
5.0;0.0625485092981493;0.03474508481925338;0.05545542320317261;0.047816645369249566;0.0573519517559172;0.018421661374209315;0.023495440146533535;-0.06623872045911651;-0.10105743491384245;-0.08894289416285737;-0.08008907718176338;-0.057394368628149346;-0.07186600170065253;-0.09266336705134832;-0.18905392449901648;-0.1015690337320446;-0.0905727443368706;-0.021450548409267474;-0.10337094738828408;-0.13710336831631773;0.0185277532019454;0.00947156150415137;0.016896491590817252;-0.09334361056743959;-0.08101600871105355;-0.056845956305296305;-0.1720292475713575;-0.06768139715003975;-0.0853535045717938;-0.15307532975526672;-0.0934741963802454;-0.07577029371575202
6.0;0.07540005400717409;0.04040932711145746;0.06111966549537669;0.060668190078274356;0.06301619404812128;0.0240859036664134;0.02915968243873762;-0.07597035112373615;-0.127267747685843;-0.11515320693485795;-0.08982070784638302;-0.08360468140014991;-0.09807631447265311;-0.1188736798233489;-0.22122419976392116;-0.11577384942518584;-0.11041330500353257;-0.02623159276481514;-0.12803829999894265;-0.15553240782716707;0.023197448088675833;0.012185079178265857;0.020223659912123836;-0.11058271126642466;-0.09334076873417625;-0.07071233961122608;-0.20527485628275144;-0.0834419557953361;-0.10659910425531921;-0.1865579891929438;-0.10660458201700862;-0.09528516533324094
7.0;0.08462199864631453;0.049631271750597915;0.07034161013451713;0.0698901347174148;0.06187783261971431;0.02294754223800642;0.03838162707787807;-0.09684527148160718;-0.14814266804371404;-0.13602812729272898;-0.11069562820425405;-0.09188036889672462;-0.10635200196922781;-0.13974860018121993;-0.2533858180485815;-0.13424476126468501;-0.1203919256772313;-0.03188147830031834;-0.14806781208446923;-0.18448154550012516;0.027992515589870624;0.015506314991839404;0.02263068374760867;-0.12778693036384056;-0.10682323059276569;-0.08188621014568333;-0.23851985997801975;-0.10333585714371103;-0.11821136951950992;-0.22007887049445318;-0.12450668848302628;-0.10349900742171415
8.0;0.09953257462145411;0.059154554565735776;0.079864892949655;0.07941341753255267;0.07140111543485217;0.03247082505314429;0.047904909893015934;-0.10087833665009584;-0.183524566549726;-0.17141002579874093;-0.146077526710266;-0.12726226740273658;-0.14173390047523976;-0.17513049868723188;-0.2842723526325363;-0.14488684317756578;-0.1440402378920703;-0.03576622919128251;-0.1757143388545495;-0.19686210610709534;0.032126101330838104;0.017311715608059698;0.02593184779147261;-0.14418072326737635;-0.1184850868620746;-0.0965881415723199;-0.27177872716949103;-0.11759362550206294;-0.14467656434817247;-0.2539386321707081;-0.13367417044823804;-0.12853026608764517
9.0;0.112500981046507;0.07212296099078867;0.08574815770409835;0.08529668228699602;0.07728438018929551;0.045439231478197194;0.05378817464745928;-0.1118934853174362;-0.19453971521706637;-0.19555457387766342;-0.1702220747891885;-0.15140681548165907;-0.15274904914258014;-0.19927504676615437;-0.31503883223873297;-0.1576916595320091;-0.1614471261822893;-0.040391879367922344;-0.20056204073066958;-0.2165285875524795;0.03631851755579998;0.019447607048400338;0.02859465452155451;-0.16053094829538458;-0.13067282435251773;-0.109842376458419;-0.30503862941999094;-0.13404214756287317;-0.16543243700832508;-0.28787031053718576;-0.14541338730505585;-0.14595555459984924
10.0;0.12334984752528444;0.0740337797327498;0.0965970241828758;0.08720750102895715;0.07919519893125664;0.056288097956974634;0.06463704112623672;-0.12919159259768503;-0.2085721230353111;-0.21285268115791225;-0.18425448260743324;-0.16543922329990382;-0.17004715642282897;-0.2165731540464032;-0.34576562971172475;-0.1729366418645246;-0.17330572129653796;-0.045622981653922125;-0.2226110396021569;-0.2422562190338041;0.04058601556954275;0.02195369378618202;0.030715462105896933;-0.17686795818987883;-0.14343135456631073;-0.12181817430255129;-0.3382986270496628;-0.15281322168740605;-0.18103430229532502;-0.3218422319525485;-0.16012241424885937;-0.15645114668259652
11.0;0.13393308625055372;0.07544675840706683;0.09801000285719283;0.09779073975422642;0.08060817760557366;0.0668713366822439;0.07522027985150599;-0.14593218708479877;-0.22350182270420116;-0.2277823808268023;-0.20099507709454698;-0.18036892296879387;-0.1867877509099427;-0.23331374853351694;-0.37594460036151406;-0.18799070163556872;-0.1851620346385312;-0.05061305572755008;-0.24432230654275425;-0.2675027223277583;0.04465987384500778;0.024272182426564426;0.032662826114388914;-0.19282739194642626;-0.15616735780791943;-0.1338726718148982;-0.3715641727770273;-0.17214506522870035;-0.19742024772414987;-0.35598859771687985;-0.1748391193677936;-0.167059984426669
12.0;0.14460899421921086;0.08612266637572395;0.09959666241307226;0.09937739931010585;0.0821948371614531;0.07754724465090103;0.08589618782016312;-0.16391052927322286;-0.24148016489262525;-0.2407199810511302;-0.2139326773188749;-0.19330652319312178;-0.2047660930983668;-0.25129209072194103;-0.4058898382783035;-0.20272314727072124;-0.1957276863697027;-0.0558604440082613;-0.26615176528329976;-0.293874021174201;0.048671970284082273;0.02650698567260399;0.03441082757511362;-0.2086862767229288;-0.16885580271273062;-0.14569273113435907;-0.404832261704018;-0.191502302090658;-0.21296729297166417;-0.39022680539647675;-0.18921590679982284;-0.17599671566915398
13.0;0.1542492280346811;0.09576290019119421;0.09924225939672339;0.10901763312557611;0.09183507097692335;0.07719284163455216;0.08554178480381425;-0.1807003600277651;-0.2582699956471675;-0.2555704371545563;-0.23072250807341713;-0.21009635394766402;-0.21961654920179288;-0.2661425468253671;-0.4350646581776636;-0.21795045545161904;-0.20664055883984928;-0.060430869161310255;-0.286617432749395;-0.3192566231050777;0.05240041050057214;0.028559100136522502;0.03594439795491623;-0.22392300913563903;-0.18160607754182553;-0.15767386078483275;-0.43810813627230205;-0.2123133827899942;-0.22992259259112824;-0.4247032085717292;-0.20470336786374196;-0.1856102565953271
