row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
0.0;0.00550420956511587;0.016740713151081502;-0.01690317107035586;0.01698299985763362;-0.003255312842756309;0.005087514761324886;0.012355945222792927;-0.010115127514752876;-0.01595220669896597;0.015947360599245907;-0.01685388806368513;0.0074914558183504995;-0.017261755353937827;0.015208352278118276;-0.01604225271081911;-0.009353155262075773;-0.01457995854708876;-0.003739995944584379;0.014925938754341918;0.0045120425248671645;0.005225774290530439;4.357786281456305E-4;-0.002408406615611706;0.00694257711034597;-0.011365960832853256;0.002769710284765709;-0.016148403800644882;1.3859252429982913E-4;-8.746137236580673E-4;-0.011508763948036013;-0.01217427836395037;0.015600980803972545;0.0129629662730311
1.0;-0.011959654280470314;0.005023057594608483;-0.028620826626828882;-8.136636416571988E-4;-0.015296567260807022;-0.006953739656725827;-0.006256825456091002;-0.022949926491224612;-0.028787005675437707;-0.0022056760165016787;-0.029241663079033867;-0.004896319196998237;-0.033950283051813177;0.004244597430213718;-0.027006007558723667;-0.026932828367614743;-0.026410221626627706;-0.015570259024123324;-0.002521131401360656;-0.0071892836308161245;-0.00647555186515285;-0.016685390964388414;-0.013792842263582917;-0.004441858537625241;-0.028227252668892013;-0.011243040503656007;-0.03018832133809743;-0.013967944610509465;-0.014943622334098058;-0.025458223316815548;-0.026196482771285334;0.0015896009002656763;-0.0010218100609002308
2.0;-0.029633065127685484;-0.006898351693033801;-0.04054223591447117;-0.018830849475634976;-0.027552247312006048;-0.019209419707924853;-0.025116813650160996;-0.03602510824930609;-0.04186218743351918;-0.02059093347966873;-0.041855238815696576;-0.017509894933660945;-0.050822633288921934;-0.0068978978814085296;-0.038148502870345914;-0.04472587287522857;-0.038447957105960495;-0.027607994503456114;-0.020177193541381446;-0.019093823844721546;-0.018380092079058268;-0.034004761420665816;-0.02536999918742417;-0.016019015461466495;-0.04443237096229108;-0.024625688206498537;-0.0435989428642318;-0.027447147054974134;-0.02838419476157823;-0.038775686731050585;-0.03958886536178582;-0.011791635095244776;-0.014375648619053284
3.0;-0.0475229389454033;-0.019030239477419206;-0.05267412369885657;-0.03707580371660123;-0.04002939873910455;-0.03168657113502336;-0.04423203434198515;-0.04934846618422993;-0.05518554536844302;-0.03921600112310389;-0.05470199478697087;-0.030356650904935233;-0.06788492181314715;-0.018225080324753135;-0.04947568531369052;-0.06273932061873577;-0.050700002412329456;-0.039860039809825075;-0.038049146747595596;-0.0312082864622932;-0.03049455469662992;-0.051528900024812044;-0.037146263107922746;-0.02779527938196507;-0.05995932001808273;-0.037356988430928655;-0.056359042012446015;-0.0402778294726371;-0.04117512314224314;-0.051439865356452244;-0.052330188093336866;-0.024521481862116917;-0.0270772857591476
4.0;-0.06563640058218001;-0.03137953362898284;-0.0650234178504202;-0.055555986152365774;-0.05273527509184634;-0.04439244748776515;-0.06361072274896219;-0.06292800783730637;-0.06876508702151946;-0.0580886858119872;-0.06778952202444777;-0.04344417814241214;-0.08514345766730834;-0.029743084518805765;-0.06099368950774316;-0.08098041412881081;-0.06317339984477277;-0.052333437242268396;-0.056144098706414874;-0.04353958266629734;-0.04282585090063406;-0.06926457676087362;-0.04912821684181528;-0.0397772331158576;-0.07478865764731507;-0.049418221560699624;-0.06844991739406678;-0.0524413316056195;-0.053297724705391306;-0.06343199434642224;-0.06440173778039832;-0.03658121884403593;-0.0391079823194004
5.0;-0.07726400753840401;-0.04300714058520684;-0.07665102480664421;-0.06750392205332006;-0.06468321099280064;-0.05634038338871944;-0.07410752178512091;-0.07342480687346509;-0.07926188605767817;-0.06946759097511823;-0.0791684271875788;-0.05482308330554316;-0.09629894336774483;-0.040898570219242265;-0.07214917520817965;-0.09143723536007071;-0.07363022107603268;-0.0627902584735283;-0.06844141985509239;-0.05583690381497485;-0.055123172049311574;-0.08102455236869768;-0.06088819244963935;-0.05153720872368167;-0.09196320883159562;-0.0632627866700234;-0.0823206707821674;-0.06619344826924109;-0.06712195736584661;-0.07723796149803275;-0.07815058608530054;-0.05048053598954411;-0.05296336913936396
6.0;-0.08770614119954359;-0.05344927424634642;-0.08709315846778379;-0.0782299811152153;-0.07540927005469587;-0.06706644245061467;-0.08354706454770093;-0.08286434963604511;-0.0887014288202582;-0.07968927055742411;-0.08939010676988468;-0.06504476288784904;-0.10632256151055168;-0.050922188362049106;-0.0821727933509865;-0.1008413195875231;-0.08303430530348506;-0.07219434270098068;-0.07947714864165768;-0.06687263260154015;-0.06615890083587687;-0.09158401380836473;-0.07144765388930639;-0.06209667016334871;-0.10980470601670865;-0.07766636839859122;-0.096747539230563;-0.08051480046394363;-0.08150745810428452;-0.09160721782424819;-0.09246903007604942;-0.06493280263090995;-0.06737657374457232
7.0;-0.10073323663302684;-0.060852823128554015;-0.10012025390126704;-0.09304632959939756;-0.084552605153131;-0.08188279093479693;-0.09768352341120629;-0.09134659177719967;-0.10283788768376353;-0.09501399761268825;-0.0990277654802025;-0.08036948994311317;-0.11878976672562802;-0.057781326109004244;-0.09463999856606284;-0.11495629115592186;-0.09149565420103954;-0.08630931426937945;-0.09398370806165839;-0.07571474326244222;-0.08066546025587758;-0.1059695955882098;-0.08017213153528512;-0.07648225194319377;-0.1252976965992261;-0.08996983888741591;-0.10919610379029278;-0.09290823142879615;-0.09399724808845067;-0.10386528570721071;-0.10486071859361729;-0.07735624578233673;-0.0797902065797379
8.0;-0.12010975229891922;-0.07443025210953577;-0.1136976828822488;-0.11288224669986668;-0.09857673466273811;-0.09590692044440405;-0.11832467475113446;-0.1061536935053524;-0.11764498941191627;-0.11523335242273611;-0.11342473193517423;-0.0947664563980849;-0.13723459405510077;-0.07045282480534036;-0.10731149726239896;-0.13442401597052228;-0.1051617707042553;-0.0999754307725952;-0.11343562597404466;-0.08936548987117451;-0.09431620686460987;-0.12501181599216762;-0.09342450739500116;-0.08973462780290982;-0.13650029605034145;-0.09855354439028725;-0.11781628669969071;-0.10159235157149625;-0.102647876730398;-0.1123750132647694;-0.11345166628805782;-0.0859459383766522;-0.08834736836016584
9.0;-0.13975812195648196;-0.08827201923282209;-0.1275394500055351;-0.13300464407460932;-0.11287942422968728;-0.11020961001135321;-0.13927753655758515;-0.12126388795306084;-0.1327551838596247;-0.1357512700044895;-0.12811200690446653;-0.10945373136737718;-0.15592117380299836;-0.08335939227808623;-0.12021806473514482;-0.15416651098568723;-0.1190950609352931;-0.113908721003633;-0.13316180912117;-0.10328291920251167;-0.10823363619594703;-0.1443151529846344;-0.10693078084697716;-0.10324090125488582;-0.14695005101409986;-0.10641569121207035;-0.12571593171677423;-0.1095576908851823;-0.11057880956764525;-0.12016107722353944;-0.12132125894246668;-0.09381424067273116;-0.0961822212035762
