n.evals.q.1.0.	parity._.me.hebbian.network.best.quality.inconsistency	parity._.me.hebbian.network.best.quality.inconsistency.min	parity._.me.hebbian.network.best.quality.inconsistency.max	parity._.me.hebbian.layer.best.quality.inconsistency	parity._.me.hebbian.layer.best.quality.inconsistency.min	parity._.me.hebbian.layer.best.quality.inconsistency.max	parity._.me.hebbian.neuron.best.quality.inconsistency	parity._.me.hebbian.neuron.best.quality.inconsistency.min	parity._.me.hebbian.neuron.best.quality.inconsistency.max	parity._.me.hebbian.synapse.best.quality.inconsistency	parity._.me.hebbian.synapse.best.quality.inconsistency.min	parity._.me.hebbian.synapse.best.quality.inconsistency.max	parity._.me.freeForm.best.quality.inconsistency	parity._.me.freeForm.best.quality.inconsistency.min	parity._.me.freeForm.best.quality.inconsistency.max
2.500e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.144e-01	5.184e-01	2.852e-01	2.460e-01	3.744e-01	7.234e-01	6.621e-01	7.957e-01	8.537e-01	8.021e-01	8.871e-01
2.600e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.144e-01	5.457e-01	3.113e-01	2.288e-01	3.850e-01	7.234e-01	6.561e-01	7.957e-01	8.537e-01	8.090e-01	8.847e-01
2.700e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.144e-01	5.457e-01	2.852e-01	2.288e-01	3.744e-01	7.113e-01	6.561e-01	7.957e-01	8.524e-01	8.085e-01	8.847e-01
2.800e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.144e-01	5.457e-01	2.852e-01	2.254e-01	3.744e-01	7.113e-01	6.425e-01	7.957e-01	8.513e-01	8.085e-01	8.847e-01
2.900e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	4.882e-01	2.852e-01	2.254e-01	3.744e-01	7.113e-01	6.310e-01	7.957e-01	8.513e-01	8.085e-01	8.847e-01
3.000e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	4.882e-01	2.852e-01	2.254e-01	3.744e-01	7.069e-01	6.281e-01	7.942e-01	8.513e-01	8.085e-01	8.847e-01
3.100e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	4.882e-01	2.852e-01	2.254e-01	3.744e-01	6.839e-01	6.281e-01	7.942e-01	8.513e-01	8.085e-01	8.847e-01
3.200e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	5.457e-01	2.852e-01	2.254e-01	3.744e-01	6.839e-01	6.310e-01	7.942e-01	8.513e-01	8.085e-01	8.847e-01
3.300e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	5.457e-01	3.284e-01	2.484e-01	3.951e-01	6.823e-01	6.281e-01	7.942e-01	8.513e-01	8.085e-01	8.847e-01
3.400e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	5.457e-01	3.310e-01	2.484e-01	4.131e-01	6.748e-01	6.004e-01	7.942e-01	8.513e-01	8.085e-01	8.847e-01
3.500e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	4.882e-01	3.310e-01	2.254e-01	4.131e-01	6.823e-01	6.281e-01	7.562e-01	8.513e-01	8.021e-01	8.847e-01
3.600e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	4.882e-01	3.310e-01	2.254e-01	4.131e-01	6.823e-01	6.004e-01	7.648e-01	8.513e-01	8.085e-01	8.777e-01
3.700e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	4.882e-01	3.310e-01	2.244e-01	4.131e-01	6.823e-01	5.696e-01	7.648e-01	8.424e-01	8.021e-01	8.760e-01
3.800e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	4.882e-01	3.310e-01	2.244e-01	4.131e-01	6.748e-01	4.788e-01	7.648e-01	8.424e-01	8.021e-01	8.760e-01
3.900e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	4.882e-01	3.310e-01	2.244e-01	4.131e-01	6.740e-01	4.788e-01	7.635e-01	8.424e-01	8.021e-01	8.760e-01
4.000e+03	9.532e-01	6.912e-01	9.626e-01	2.936e-01	2.026e-01	4.882e-01	2.852e-01	2.160e-01	4.120e-01	6.740e-01	4.665e-01	7.635e-01	8.424e-01	8.021e-01	8.760e-01
4.100e+03	9.532e-01	6.912e-01	9.626e-01	2.817e-01	1.975e-01	4.530e-01	2.852e-01	2.160e-01	4.120e-01	6.722e-01	4.665e-01	7.635e-01	8.424e-01	8.021e-01	8.760e-01
4.200e+03	9.532e-01	6.912e-01	9.626e-01	2.817e-01	1.931e-01	4.118e-01	2.852e-01	2.160e-01	4.120e-01	6.722e-01	4.665e-01	7.635e-01	8.424e-01	8.021e-01	8.760e-01
4.300e+03	9.532e-01	6.912e-01	9.626e-01	2.817e-01	1.931e-01	4.118e-01	2.727e-01	2.037e-01	3.744e-01	6.722e-01	4.477e-01	7.635e-01	8.424e-01	8.021e-01	8.760e-01
4.400e+03	9.532e-01	6.912e-01	9.626e-01	2.817e-01	1.931e-01	4.118e-01	2.727e-01	2.037e-01	3.744e-01	6.722e-01	4.377e-01	7.635e-01	8.424e-01	8.021e-01	8.760e-01
