n.evals.q.1.0.	parity._.me.hebbian.network.best.quality.increase	parity._.me.hebbian.network.best.quality.increase.min	parity._.me.hebbian.network.best.quality.increase.max	parity._.me.hebbian.layer.best.quality.increase	parity._.me.hebbian.layer.best.quality.increase.min	parity._.me.hebbian.layer.best.quality.increase.max	parity._.me.hebbian.neuron.best.quality.increase	parity._.me.hebbian.neuron.best.quality.increase.min	parity._.me.hebbian.neuron.best.quality.increase.max	parity._.me.hebbian.synapse.best.quality.increase	parity._.me.hebbian.synapse.best.quality.increase.min	parity._.me.hebbian.synapse.best.quality.increase.max	parity._.me.freeForm.best.quality.increase	parity._.me.freeForm.best.quality.increase.min	parity._.me.freeForm.best.quality.increase.max
2.600e+03	2.053e-01	5.367e-02	2.771e-01	1.391e-01	9.448e-02	2.799e-01	2.737e-01	1.974e-01	4.104e-01	3.786e-01	2.821e-01	5.089e-01	3.284e-01	2.124e-01	3.774e-01
2.700e+03	2.053e-01	5.367e-02	2.771e-01	1.391e-01	9.448e-02	2.799e-01	2.737e-01	2.191e-01	4.104e-01	3.640e-01	2.821e-01	5.414e-01	3.284e-01	2.124e-01	3.831e-01
2.800e+03	2.053e-01	5.367e-02	2.771e-01	1.391e-01	9.448e-02	2.799e-01	2.737e-01	2.191e-01	4.104e-01	3.902e-01	2.750e-01	5.644e-01	3.229e-01	2.124e-01	3.831e-01
2.900e+03	2.053e-01	5.367e-02	2.771e-01	1.323e-01	9.292e-02	2.475e-01	2.737e-01	2.191e-01	4.104e-01	3.902e-01	2.750e-01	5.414e-01	3.229e-01	2.124e-01	3.831e-01
3.000e+03	2.053e-01	5.367e-02	2.771e-01	1.323e-01	9.292e-02	2.475e-01	2.737e-01	2.191e-01	4.104e-01	3.817e-01	2.821e-01	5.089e-01	3.021e-01	2.124e-01	3.765e-01
3.100e+03	2.053e-01	5.367e-02	2.771e-01	1.323e-01	9.292e-02	2.475e-01	2.737e-01	2.191e-01	4.104e-01	3.640e-01	2.821e-01	5.089e-01	3.021e-01	2.124e-01	3.765e-01
3.200e+03	2.053e-01	5.367e-02	2.771e-01	1.267e-01	9.292e-02	2.799e-01	2.737e-01	2.191e-01	4.104e-01	3.640e-01	2.821e-01	4.889e-01	3.021e-01	2.124e-01	3.765e-01
3.300e+03	2.053e-01	5.367e-02	2.771e-01	1.267e-01	9.292e-02	2.799e-01	2.770e-01	2.197e-01	4.244e-01	3.447e-01	2.821e-01	4.889e-01	2.880e-01	2.027e-01	3.765e-01
3.400e+03	2.053e-01	5.367e-02	2.771e-01	1.267e-01	8.780e-02	2.799e-01	2.834e-01	2.197e-01	4.427e-01	3.447e-01	2.821e-01	4.889e-01	2.880e-01	2.027e-01	3.765e-01
3.500e+03	2.053e-01	5.367e-02	2.771e-01	1.267e-01	8.780e-02	2.319e-01	2.757e-01	2.191e-01	4.427e-01	3.640e-01	2.750e-01	4.819e-01	2.880e-01	2.027e-01	3.765e-01
3.600e+03	2.053e-01	5.367e-02	2.771e-01	1.267e-01	8.780e-02	2.319e-01	2.757e-01	2.191e-01	4.619e-01	3.817e-01	2.750e-01	4.889e-01	2.816e-01	2.027e-01	3.765e-01
3.700e+03	2.053e-01	5.367e-02	2.771e-01	1.267e-01	8.780e-02	2.319e-01	2.757e-01	2.191e-01	4.619e-01	3.470e-01	2.485e-01	4.819e-01	3.229e-01	2.390e-01	3.774e-01
3.800e+03	2.053e-01	5.367e-02	2.771e-01	1.267e-01	8.780e-02	2.319e-01	2.757e-01	2.191e-01	4.619e-01	3.025e-01	2.342e-01	4.819e-01	3.229e-01	2.390e-01	3.774e-01
3.900e+03	2.053e-01	5.367e-02	2.771e-01	1.267e-01	8.780e-02	2.319e-01	2.757e-01	2.191e-01	4.619e-01	3.025e-01	2.342e-01	4.819e-01	3.229e-01	2.390e-01	3.774e-01
4.000e+03	2.053e-01	5.367e-02	2.771e-01	1.267e-01	8.780e-02	2.319e-01	2.737e-01	1.985e-01	4.427e-01	3.025e-01	2.342e-01	4.819e-01	3.229e-01	1.852e-01	3.774e-01
4.100e+03	2.053e-01	5.367e-02	2.771e-01	1.162e-01	8.780e-02	1.885e-01	2.737e-01	1.985e-01	4.427e-01	3.025e-01	2.342e-01	4.819e-01	3.229e-01	1.852e-01	3.774e-01
4.200e+03	2.053e-01	5.367e-02	2.771e-01	1.147e-01	8.563e-02	1.885e-01	2.737e-01	1.985e-01	4.427e-01	3.025e-01	2.342e-01	4.819e-01	3.229e-01	1.852e-01	3.774e-01
