x	y	progress.rate.q.0.05.0.00.fitness	progress.rate.q.0.05.0.10.fitness	progress.rate.q.0.05.0.25.fitness	progress.rate.q.0.05.0.50.fitness	progress.rate.q.0.05.1.00.fitness
0	0	-3.249e-03	-2.609e-03	-2.340e-03	-2.007e-03	-2.007e-03
0	1	nan	8.201e-04	1.379e-03	1.379e-03	1.454e-03
0	2	2.157e-03	7.067e-03	7.067e-03	8.537e-03	8.537e-03
0	3	4.712e-03	1.580e-02	1.627e-02	1.627e-02	1.627e-02
0	4	nan	2.695e-02	2.712e-02	2.712e-02	2.712e-02
0	5	nan	3.198e-02	3.198e-02	4.103e-02	4.328e-02
0	6	nan	1.803e-02	4.384e-02	5.903e-02	6.179e-02
0	7	nan	nan	3.721e-02	4.344e-02	8.882e-02
0	8	nan	3.655e-02	4.916e-02	4.916e-02	1.269e-01
0	9	nan	nan	nan	1.267e-01	2.348e-01
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	1.291e-02	1.291e-02	1.365e-02	1.443e-02
1	4	nan	2.907e-02	2.907e-02	2.907e-02	2.907e-02
1	5	nan	4.276e-02	4.276e-02	4.276e-02	4.395e-02
1	6	nan	4.812e-02	5.747e-02	5.747e-02	6.043e-02
1	7	3.257e-02	3.905e-02	8.544e-02	8.544e-02	8.933e-02
1	8	nan	4.372e-02	4.429e-02	4.623e-02	1.251e-01
1	9	nan	nan	nan	1.171e-01	1.718e-01
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan
2	5	nan	4.355e-02	4.355e-02	4.355e-02	4.425e-02
2	6	nan	6.140e-02	6.399e-02	6.549e-02	6.549e-02
2	7	nan	7.021e-02	7.671e-02	7.671e-02	8.843e-02
2	8	nan	5.626e-02	5.750e-02	9.027e-02	1.060e-01
2	9	nan	7.619e-02	7.619e-02	1.020e-01	1.879e-01
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	6.376e-02
3	7	nan	9.326e-02	9.326e-02	9.326e-02	9.326e-02
3	8	nan	9.003e-02	9.003e-02	1.140e-01	1.188e-01
3	9	nan	8.980e-02	9.731e-02	1.027e-01	2.987e-01
4	0	nan	nan	nan	nan	nan
4	1	nan	nan	nan	nan	nan
4	2	nan	nan	nan	nan	nan
4	3	nan	nan	nan	nan	nan
4	4	nan	nan	nan	nan	nan
4	5	nan	nan	nan	nan	nan
4	6	nan	nan	nan	nan	nan
4	7	nan	nan	nan	8.723e-02	8.977e-02
4	8	nan	1.106e-01	1.106e-01	1.249e-01	1.305e-01
4	9	9.914e-02	1.404e-01	1.404e-01	1.404e-01	2.218e-01
5	0	nan	nan	nan	nan	nan
5	1	nan	nan	nan	nan	nan
5	2	nan	nan	nan	nan	nan
5	3	nan	nan	nan	nan	nan
5	4	nan	nan	nan	nan	nan
5	5	nan	nan	nan	nan	nan
5	6	nan	nan	nan	nan	nan
5	7	nan	nan	nan	nan	nan
5	8	nan	1.172e-01	1.172e-01	1.216e-01	1.336e-01
5	9	nan	1.471e-01	1.471e-01	1.901e-01	2.542e-01
6	0	nan	nan	nan	nan	nan
6	1	nan	nan	nan	nan	nan
6	2	nan	nan	nan	nan	nan
6	3	nan	nan	nan	nan	nan
6	4	nan	nan	nan	nan	nan
6	5	nan	nan	nan	nan	nan
6	6	nan	nan	nan	nan	nan
6	7	nan	nan	nan	nan	nan
6	8	nan	nan	nan	nan	nan
6	9	nan	1.558e-01	1.915e-01	1.915e-01	2.936e-01
7	0	nan	nan	nan	nan	nan
7	1	nan	nan	nan	nan	nan
7	2	nan	nan	nan	nan	nan
7	3	nan	nan	nan	nan	nan
7	4	nan	nan	nan	nan	nan
7	5	nan	nan	nan	nan	nan
7	6	nan	nan	nan	nan	nan
7	7	nan	nan	nan	nan	nan
7	8	nan	nan	nan	nan	nan
7	9	1.721e-01	1.908e-01	1.915e-01	1.915e-01	3.400e-01
8	0	nan	nan	nan	nan	nan
8	1	nan	nan	nan	nan	nan
8	2	nan	nan	nan	nan	nan
8	3	nan	nan	nan	nan	nan
8	4	nan	nan	nan	nan	nan
8	5	nan	nan	nan	nan	nan
8	6	nan	nan	nan	nan	nan
8	7	nan	nan	nan	nan	nan
8	8	nan	nan	nan	nan	nan
8	9	nan	1.939e-01	2.014e-01	2.403e-01	2.786e-01
9	0	nan	nan	nan	nan	nan
9	1	nan	nan	nan	nan	nan
9	2	nan	nan	nan	nan	nan
9	3	nan	nan	nan	nan	nan
9	4	nan	nan	nan	nan	nan
9	5	nan	nan	nan	nan	nan
9	6	nan	nan	nan	nan	nan
9	7	nan	nan	nan	nan	nan
9	8	nan	nan	nan	nan	nan
9	9	nan	3.250e-01	3.250e-01	4.179e-01	6.447e-01
